date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:41,C,303,212
2019-03-26T13:10:42,C,303,218
2019-03-26T13:20:42,C,303,223
2019-03-26T13:30:12,C,303,221
2019-03-26T13:40:13,C,303,221
2019-03-26T13:50:12,C,303,217
2019-03-26T14:00:43,C,303,217
2019-03-26T14:10:43,C,303,215
2019-03-26T14:20:44,C,303,215
2019-03-26T14:30:14,C,303,217
2019-03-26T14:40:14,C,303,215
2019-03-26T14:51:15,C,303,213
2019-03-26T15:00:45,C,303,210
2019-03-26T15:11:46,C,303,208
2019-03-26T15:20:45,C,303,208
2019-03-26T15:30:46,C,303,210
2019-03-26T15:40:16,C,303,211
2019-03-26T15:51:16,C,303,212
2019-03-26T16:00:17,C,303,212
2019-03-26T16:10:47,C,303,212
2019-03-26T16:21:48,C,303,205
2019-03-26T16:31:49,C,303,212
2019-03-26T16:41:18,C,303,207
2019-03-26T16:51:18,C,303,207
2019-03-26T17:01:20,C,303,211
2019-03-26T17:11:19,C,303,212
2019-03-26T17:21:49,C,303,207
2019-03-26T17:30:49,C,303,209
2019-03-26T17:40:50,C,303,211
2019-03-26T17:51:20,C,303,214
2019-03-26T18:12:22,C,303,214
2019-03-26T18:32:52,C,303,195
2019-03-26T18:41:51,C,303,193
2019-03-26T18:52:22,C,303,190
2019-03-26T19:02:23,C,303,190
2019-03-26T19:13:23,C,303,182
2019-03-26T19:22:53,C,303,181
2019-03-26T19:33:53,C,303,178
2019-03-26T19:41:54,C,303,177
2019-03-26T19:53:24,C,303,165
2019-03-26T20:01:54,C,303,168
2019-03-26T20:13:25,C,303,164
2019-03-26T20:22:56,C,303,160
2019-03-26T20:32:55,C,303,158
2019-03-26T20:42:56,C,303,156
2019-03-26T20:53:26,C,303,154
2019-03-26T21:03:26,C,303,155
2019-03-26T21:13:57,C,303,153
2019-03-26T21:22:56,C,303,151
2019-03-26T21:32:57,C,303,141
2019-03-26T21:43:28,C,303,135
2019-03-26T21:53:27,C,303,135
2019-03-26T22:02:27,C,303,138
2019-03-26T22:13:57,C,303,138
2019-03-26T22:23:58,C,303,131
2019-03-26T22:32:57,C,303,129
2019-03-26T22:43:28,C,303,122
2019-03-26T22:53:28,C,303,127
2019-03-26T23:03:29,C,303,118
2019-03-26T23:14:59,C,303,116
2019-03-26T23:23:59,C,303,116
2019-03-26T23:34:00,C,303,119
2019-03-26T23:44:30,C,303,117
2019-03-26T23:54:30,C,303,115
2019-03-27T00:04:30,C,303,115
2019-03-27T00:14:00,C,303,114
2019-03-27T00:23:01,C,303,116
2019-03-27T00:30:01,C,303,117
2019-03-27T00:43:01,C,303,114
2019-03-27T00:54:32,C,303,115
2019-03-27T01:04:32,C,303,112
2019-03-27T01:14:32,C,303,112
2019-03-27T01:25:03,C,303,112
2019-03-27T01:35:03,C,303,113
2019-03-27T01:45:06,C,303,112
2019-03-27T01:54:04,C,303,111
2019-03-27T02:04:34,C,303,109
2019-03-27T02:14:34,C,303,108
2019-03-27T02:24:35,C,303,107
2019-03-27T02:34:35,C,303,105
2019-03-27T02:45:05,C,303,104
2019-03-27T02:56:05,C,303,103
