date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:28,C,205,189
2019-03-26T13:10:28,C,205,190
2019-03-26T13:20:28,C,205,191
2019-03-26T13:30:29,C,205,192
2019-03-26T13:40:29,C,205,192
2019-03-26T13:50:29,C,205,193
2019-03-26T14:00:29,C,205,191
2019-03-26T14:10:30,C,205,191
2019-03-26T14:20:30,C,205,191
2019-03-26T14:30:30,C,205,191
2019-03-26T14:40:31,C,205,189
2019-03-26T14:52:31,C,205,188
2019-03-26T15:00:31,C,205,187
2019-03-26T15:12:32,C,205,187
2019-03-26T15:20:32,C,205,186
2019-03-26T15:32:32,C,205,188
2019-03-26T15:40:32,C,205,190
2019-03-26T15:52:33,C,205,189
2019-03-26T16:00:33,C,205,190
2019-03-26T16:10:33,C,205,189
2019-03-26T16:22:34,C,205,187
2019-03-26T16:32:34,C,205,185
2019-03-26T16:42:34,C,205,188
2019-03-26T16:52:35,C,205,187
2019-03-26T17:02:35,C,205,186
2019-03-26T17:12:35,C,205,187
2019-03-26T17:22:35,C,205,187
2019-03-26T17:32:36,C,205,187
2019-03-26T17:42:36,C,205,187
2019-03-26T17:52:36,C,205,186
2019-03-26T18:12:37,C,205,181
2019-03-26T18:32:38,C,205,177
2019-03-26T18:42:38,C,205,172
2019-03-26T18:52:38,C,205,169
2019-03-26T19:02:38,C,205,167
2019-03-26T19:14:39,C,205,166
2019-03-26T19:22:39,C,205,163
2019-03-26T19:34:39,C,205,161
2019-03-26T19:42:40,C,205,158
2019-03-26T19:54:40,C,205,159
2019-03-26T20:02:40,C,205,155
2019-03-26T20:14:41,C,205,156
2019-03-26T20:22:41,C,205,155
2019-03-26T20:34:41,C,205,152
2019-03-26T20:44:41,C,205,148
2019-03-26T20:54:42,C,205,144
2019-03-26T21:04:42,C,205,142
2019-03-26T21:14:42,C,205,140
2019-03-26T21:22:43,C,205,141
2019-03-26T21:34:43,C,205,138
2019-03-26T21:44:43,C,205,135
2019-03-26T21:54:44,C,205,136
2019-03-26T22:02:44,C,205,134
2019-03-26T22:14:44,C,205,131
2019-03-26T22:24:44,C,205,131
2019-03-26T22:34:45,C,205,128
2019-03-26T22:44:45,C,205,126
2019-03-26T22:54:45,C,205,126
2019-03-26T23:04:46,C,205,123
2019-03-26T23:14:46,C,205,124
2019-03-26T23:24:46,C,205,124
2019-03-26T23:34:47,C,205,119
2019-03-26T23:44:47,C,205,117
2019-03-26T23:54:47,C,205,116
2019-03-27T00:04:47,C,205,116
2019-03-27T00:14:48,C,205,116
2019-03-27T00:22:48,C,205,116
2019-03-27T00:30:48,C,205,115
2019-03-27T00:44:49,C,205,114
2019-03-27T00:54:49,C,205,114
2019-03-27T01:04:49,C,205,112
2019-03-27T01:14:49,C,205,112
2019-03-27T01:24:50,C,205,112
2019-03-27T01:34:50,C,205,112
2019-03-27T01:44:50,C,205,112
2019-03-27T01:54:51,C,205,112
2019-03-27T02:04:51,C,205,112
2019-03-27T02:14:51,C,205,112
2019-03-27T02:24:52,C,205,112
2019-03-27T02:34:52,C,205,112
2019-03-27T02:44:52,C,205,110
2019-03-27T02:55:08,C,205,110
2019-03-27T03:15:08,C,205,108
2019-03-27T03:25:09,C,205,108
2019-03-27T03:35:09,C,205,107
2019-03-27T03:45:09,C,205,107
2019-03-27T03:55:10,C,205,107
2019-03-27T04:05:10,C,205,107
2019-03-27T04:15:10,C,205,107
2019-03-27T04:25:11,C,205,107
2019-03-27T04:35:11,C,205,110
2019-03-27T04:45:11,C,205,110
2019-03-27T04:55:11,C,205,110
2019-03-27T05:05:12,C,205,110
2019-03-27T05:15:12,C,205,110
2019-03-27T05:25:12,C,205,111
2019-03-27T05:35:13,C,205,111
2019-03-27T05:45:13,C,205,110
2019-03-27T05:55:13,C,205,109
2019-03-27T06:05:14,C,205,109
2019-03-27T06:15:14,C,205,113
2019-03-27T06:25:14,C,205,111
2019-03-27T06:35:14,C,205,116
2019-03-27T06:45:15,C,205,122
2019-03-27T06:55:15,C,205,126
2019-03-27T07:05:15,C,205,131
2019-03-27T07:17:16,C,205,135
2019-03-27T07:25:16,C,205,141
2019-03-27T07:35:16,C,205,142
2019-03-27T07:45:17,C,205,143
2019-03-27T07:55:17,C,205,147
2019-03-27T08:07:17,C,205,151
2019-03-27T08:15:18,C,205,158
2019-03-27T08:25:18,C,205,163
2019-03-27T08:37:18,C,205,165
2019-03-27T08:45:19,C,205,170
2019-03-27T08:55:19,C,205,170
2019-03-27T09:07:19,C,205,171
2019-03-27T09:17:19,C,205,176
2019-03-27T09:25:20,C,205,177
2019-03-27T09:37:20,C,205,182
2019-03-27T09:45:20,C,205,184
2019-03-27T09:57:21,C,205,184
2019-03-27T10:07:21,C,205,186
2019-03-27T10:17:21,C,205,188
