date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:30,C,4,0
2019-03-26T13:10:30,C,4,0
2019-03-26T13:21:01,C,4,0
2019-03-26T13:30:01,C,4,0
2019-03-26T13:40:00,C,4,0
2019-03-26T13:50:31,C,4,0
2019-03-26T14:00:31,C,4,0
2019-03-26T14:10:32,C,4,0
2019-03-26T14:21:02,C,4,0
2019-03-26T14:30:03,C,4,0
2019-03-26T14:40:03,C,4,0
2019-03-26T14:51:03,C,4,0
2019-03-26T15:00:35,C,4,0
2019-03-26T15:11:35,C,4,0
2019-03-26T15:21:03,C,4,0
2019-03-26T15:31:04,C,4,0
2019-03-26T15:40:04,C,4,0
2019-03-26T15:51:35,C,4,0
2019-03-26T16:00:35,C,4,0
2019-03-26T16:10:36,C,4,0
2019-03-26T16:21:37,C,4,0
2019-03-26T16:32:06,C,4,0
2019-03-26T16:41:07,C,4,0
2019-03-26T16:51:06,C,4,0
2019-03-26T17:01:37,C,4,0
2019-03-26T17:11:37,C,4,0
2019-03-26T17:21:08,C,4,0
2019-03-26T17:31:08,C,4,0
2019-03-26T17:41:10,C,4,0
2019-03-26T17:51:08,C,4,0
2019-03-26T18:12:39,C,4,0
2019-03-26T18:32:40,C,4,0
2019-03-26T18:42:10,C,4,0
2019-03-26T18:52:10,C,4,0
2019-03-26T19:01:41,C,4,0
2019-03-26T19:13:41,C,4,0
2019-03-26T19:22:45,C,4,0
2019-03-26T19:33:43,C,4,0
2019-03-26T19:42:12,C,4,0
2019-03-26T19:53:13,C,4,0
2019-03-26T20:01:44,C,4,0
2019-03-26T20:13:44,C,4,0
2019-03-26T20:22:45,C,4,0
2019-03-26T20:33:15,C,4,0
2019-03-26T20:43:14,C,4,0
2019-03-26T20:53:14,C,4,0
2019-03-26T21:03:45,C,4,0
2019-03-26T21:13:49,C,4,0
2019-03-26T21:22:49,C,4,0
2019-03-26T21:33:15,C,4,0
2019-03-26T21:43:16,C,4,0
2019-03-26T21:53:16,C,4,0
2019-03-26T22:02:16,C,4,0
2019-03-26T22:13:45,C,4,0
2019-03-26T22:23:46,C,4,0
2019-03-26T22:32:46,C,4,0
2019-03-26T22:43:17,C,4,0
2019-03-26T22:53:18,C,4,0
2019-03-26T23:03:47,C,4,0
2019-03-26T23:14:48,C,4,0
2019-03-26T23:24:17,C,4,0
2019-03-26T23:34:21,C,4,0
2019-03-26T23:44:19,C,4,0
2019-03-26T23:54:48,C,4,0
2019-03-27T00:04:48,C,4,0
2019-03-27T00:13:49,C,4,0
2019-03-27T00:22:50,C,4,0
2019-03-27T00:29:50,C,4,0
2019-03-27T00:43:20,C,4,0
2019-03-27T00:54:20,C,4,0
2019-03-27T01:04:20,C,4,0
2019-03-27T01:14:51,C,4,0
2019-03-27T01:24:51,C,4,0
2019-03-27T01:34:52,C,4,0
2019-03-27T01:45:21,C,4,0
2019-03-27T01:54:22,C,4,0
2019-03-27T02:04:22,C,4,0
2019-03-27T02:14:23,C,4,0
2019-03-27T02:24:53,C,4,0
2019-03-27T02:34:53,C,4,0
2019-03-27T02:44:54,C,4,0
2019-03-27T02:55:57,C,4,0
2019-03-27T03:15:24,C,4,0
2019-03-27T03:25:25,C,4,0
2019-03-27T03:34:25,C,4,0
2019-03-27T03:45:56,C,4,0
2019-03-27T03:55:56,C,4,0
2019-03-27T04:05:56,C,4,2
2019-03-27T04:13:56,C,4,2
2019-03-27T04:24:27,C,4,1
2019-03-27T04:35:27,C,4,1
