date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:29,C,196,115
2019-03-26T13:10:30,C,196,107
2019-03-26T13:21:00,C,196,100
2019-03-26T13:30:00,C,196,84
2019-03-26T13:40:30,C,196,93
2019-03-26T13:50:30,C,196,111
2019-03-26T14:00:31,C,196,115
2019-03-26T14:10:31,C,196,110
2019-03-26T14:21:01,C,196,113
2019-03-26T14:30:02,C,196,112
2019-03-26T14:40:02,C,196,108
2019-03-26T14:51:32,C,196,108
2019-03-26T15:00:34,C,196,112
2019-03-26T15:11:34,C,196,115
2019-03-26T15:21:03,C,196,118
2019-03-26T15:31:03,C,196,122
2019-03-26T15:40:04,C,196,118
2019-03-26T15:51:35,C,196,118
2019-03-26T16:00:34,C,196,119
2019-03-26T16:10:35,C,196,128
2019-03-26T16:21:06,C,196,139
2019-03-26T16:32:05,C,196,137
2019-03-26T16:41:06,C,196,138
2019-03-26T16:51:06,C,196,142
2019-03-26T17:01:37,C,196,139
2019-03-26T17:11:37,C,196,141
2019-03-26T17:21:37,C,196,139
2019-03-26T17:31:07,C,196,137
2019-03-26T17:41:09,C,196,139
2019-03-26T17:50:38,C,196,137
2019-03-26T18:12:38,C,196,142
2019-03-26T18:32:40,C,196,147
2019-03-26T18:42:09,C,196,143
2019-03-26T18:52:09,C,196,143
2019-03-26T19:01:41,C,196,145
2019-03-26T19:13:41,C,196,144
2019-03-26T19:22:42,C,196,147
2019-03-26T19:33:42,C,196,148
2019-03-26T19:42:11,C,196,146
2019-03-26T19:53:12,C,196,146
2019-03-26T20:01:43,C,196,144
2019-03-26T20:13:43,C,196,140
2019-03-26T20:22:44,C,196,137
2019-03-26T20:33:14,C,196,134
2019-03-26T20:43:13,C,196,132
2019-03-26T20:53:13,C,196,130
2019-03-26T21:03:44,C,196,133
2019-03-26T21:13:48,C,196,134
2019-03-26T21:22:48,C,196,137
2019-03-26T21:32:44,C,196,135
2019-03-26T21:43:16,C,196,135
2019-03-26T21:53:15,C,196,135
2019-03-26T22:02:15,C,196,132
2019-03-26T22:13:44,C,196,132
2019-03-26T22:23:46,C,196,130
2019-03-26T22:32:45,C,196,127
2019-03-26T22:42:46,C,196,124
2019-03-26T22:53:17,C,196,123
2019-03-26T23:03:47,C,196,120
2019-03-26T23:14:47,C,196,124
2019-03-26T23:24:17,C,196,124
2019-03-26T23:34:20,C,196,123
2019-03-26T23:44:18,C,196,123
2019-03-26T23:54:47,C,196,119
2019-03-27T00:04:48,C,196,118
2019-03-27T00:13:48,C,196,118
2019-03-27T00:22:49,C,196,116
2019-03-27T00:30:19,C,196,115
2019-03-27T00:43:19,C,196,115
2019-03-27T00:54:19,C,196,114
2019-03-27T01:04:20,C,196,114
2019-03-27T01:14:50,C,196,114
2019-03-27T01:24:51,C,196,112
2019-03-27T01:34:51,C,196,112
2019-03-27T01:45:21,C,196,112
2019-03-27T01:54:21,C,196,111
