date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:27,C,277,0
2019-03-26T13:10:57,C,277,0
2019-03-26T13:20:57,C,277,0
2019-03-26T13:29:27,C,277,0
2019-03-26T13:40:27,C,277,0
2019-03-26T13:50:29,C,277,0
2019-03-26T14:00:29,C,277,1
2019-03-26T14:10:59,C,277,2
2019-03-26T14:20:59,C,277,9
2019-03-26T14:29:30,C,277,6
2019-03-26T14:40:00,C,277,9
2019-03-26T14:51:30,C,277,6
2019-03-26T15:00:30,C,277,4
2019-03-26T15:11:31,C,277,12
2019-03-26T15:21:01,C,277,6
2019-03-26T15:31:01,C,277,1
2019-03-26T15:40:02,C,277,0
2019-03-26T15:51:32,C,277,0
2019-03-26T16:00:32,C,277,3
2019-03-26T16:10:34,C,277,6
2019-03-26T16:22:03,C,277,0
2019-03-26T16:31:34,C,277,0
2019-03-26T16:41:04,C,277,9
2019-03-26T16:51:04,C,277,10
2019-03-26T17:01:34,C,277,13
2019-03-26T17:11:35,C,277,7
2019-03-26T17:21:36,C,277,20
2019-03-26T17:31:06,C,277,27
2019-03-26T17:41:06,C,277,26
2019-03-26T17:51:09,C,277,29
2019-03-26T18:12:37,C,277,27
2019-03-26T18:32:38,C,277,25
2019-03-26T18:42:08,C,277,17
2019-03-26T18:52:08,C,277,13
2019-03-26T19:02:09,C,277,8
2019-03-26T19:13:39,C,277,16
2019-03-26T19:22:40,C,277,13
2019-03-26T19:33:40,C,277,17
2019-03-26T19:42:10,C,277,0
2019-03-26T19:53:10,C,277,6
2019-03-26T20:02:10,C,277,30
2019-03-26T20:13:40,C,277,44
2019-03-26T20:22:44,C,277,67
2019-03-26T20:33:11,C,277,97
2019-03-26T20:42:42,C,277,122
2019-03-26T20:53:13,C,277,142
2019-03-26T21:03:42,C,277,162
2019-03-26T21:13:43,C,277,174
2019-03-26T21:22:44,C,277,184
2019-03-26T21:33:15,C,277,200
2019-03-26T21:43:14,C,277,210
2019-03-26T21:53:13,C,277,217
2019-03-26T22:02:43,C,277,219
2019-03-26T22:13:43,C,277,226
2019-03-26T22:23:44,C,277,228
2019-03-26T22:31:14,C,277,230
2019-03-26T22:43:14,C,277,239
2019-03-26T22:53:44,C,277,239
2019-03-26T23:03:45,C,277,243
2019-03-26T23:14:45,C,277,243
2019-03-26T23:24:15,C,277,242
2019-03-26T23:34:17,C,277,241
2019-03-26T23:44:16,C,277,241
2019-03-26T23:54:46,C,277,243
2019-03-27T00:04:46,C,277,242
2019-03-27T00:13:47,C,277,241
2019-03-27T00:22:47,C,277,242
2019-03-27T00:30:18,C,277,242
2019-03-27T00:43:18,C,277,243
2019-03-27T00:54:18,C,277,244
2019-03-27T01:04:48,C,277,244
2019-03-27T01:14:48,C,277,244
2019-03-27T01:24:49,C,277,242
2019-03-27T01:34:49,C,277,241
2019-03-27T01:45:20,C,277,241
2019-03-27T01:54:20,C,277,241
2019-03-27T02:04:20,C,277,240
2019-03-27T02:14:20,C,277,241
2019-03-27T02:24:51,C,277,240
2019-03-27T02:34:21,C,277,239
2019-03-27T02:44:52,C,277,240
2019-03-27T02:55:52,C,277,240
2019-03-27T03:15:22,C,277,239
2019-03-27T03:25:23,C,277,239
2019-03-27T03:34:53,C,277,239
2019-03-27T03:45:54,C,277,239
2019-03-27T03:55:54,C,277,237
2019-03-27T04:05:54,C,277,212
2019-03-27T04:14:24,C,277,212
2019-03-27T04:24:28,C,277,214
2019-03-27T04:35:25,C,277,213
2019-03-27T04:44:25,C,277,213
2019-03-27T04:55:56,C,277,211
2019-03-27T05:05:52,C,277,211
2019-03-27T05:15:52,C,277,212
2019-03-27T05:25:22,C,277,213
2019-03-27T05:35:22,C,277,211
2019-03-27T05:45:23,C,277,210
2019-03-27T05:55:23,C,277,208
2019-03-27T06:05:53,C,277,207
2019-03-27T06:15:54,C,277,204
2019-03-27T06:25:54,C,277,206
2019-03-27T06:34:54,C,277,201
2019-03-27T06:45:25,C,277,198
2019-03-27T06:55:24,C,277,194
2019-03-27T07:05:24,C,277,183
2019-03-27T07:16:55,C,277,159
2019-03-27T07:25:55,C,277,140
2019-03-27T07:35:55,C,277,110
2019-03-27T07:44:55,C,277,104
2019-03-27T07:55:26,C,277,102
2019-03-27T08:06:27,C,277,98
2019-03-27T08:15:27,C,277,117
2019-03-27T08:25:57,C,277,119
2019-03-27T08:36:57,C,277,118
2019-03-27T08:45:58,C,277,122
2019-03-27T08:54:58,C,277,118
2019-03-27T09:06:28,C,277,114
2019-03-27T09:16:28,C,277,103
2019-03-27T09:25:28,C,277,89
2019-03-27T09:36:58,C,277,78
2019-03-27T09:45:59,C,277,67
2019-03-27T09:55:59,C,277,50
2019-03-27T10:05:59,C,277,25
2019-03-27T10:16:29,C,277,8
2019-03-27T10:26:30,C,277,0
2019-03-27T10:35:30,C,277,0
2019-03-27T10:47:00,C,277,4
2019-03-27T10:57:01,C,277,0
2019-03-27T11:07:01,C,277,0
2019-03-27T11:16:01,C,277,0
2019-03-27T11:26:32,C,277,0
2019-03-27T11:36:32,C,277,0
2019-03-27T11:46:32,C,277,0
2019-03-27T11:57:32,C,277,0
2019-03-27T12:07:04,C,277,0
2019-03-27T12:17:03,C,277,0
2019-03-27T12:27:03,C,277,0
2019-03-27T12:36:04,C,277,0
2019-03-27T12:47:33,C,277,0
2019-03-27T12:56:34,C,277,0
2019-03-27T13:07:34,C,277,0
2019-03-27T13:17:05,C,277,0
2019-03-27T13:28:05,C,277,0
2019-03-27T13:36:05,C,277,0
2019-03-27T13:47:05,C,277,0
2019-03-27T13:56:36,C,277,0
2019-03-27T14:07:36,C,277,0
2019-03-27T14:16:37,C,277,0
2019-03-27T14:28:07,C,277,0
2019-03-27T14:38:10,C,277,0
2019-03-27T14:47:07,C,277,0
2019-03-27T14:56:07,C,277,0
2019-03-27T15:07:38,C,277,0
2019-03-27T15:17:38,C,277,0
2019-03-27T15:26:38,C,277,0
2019-03-27T15:37:39,C,277,0
2019-03-27T15:48:09,C,277,2
2019-03-27T15:58:09,C,277,3
2019-03-27T16:07:10,C,277,0
2019-03-27T16:17:11,C,277,0
2019-03-27T16:28:41,C,277,0
2019-03-27T16:38:44,C,277,0
2019-03-27T16:48:42,C,277,9
2019-03-27T16:59:12,C,277,12
2019-03-27T17:09:12,C,277,6
2019-03-27T17:18:13,C,277,23
2019-03-27T17:27:13,C,277,27
2019-03-27T17:38:43,C,277,41
2019-03-27T17:47:44,C,277,35
2019-03-27T17:57:44,C,277,29
2019-03-27T18:08:44,C,277,21
2019-03-27T18:18:14,C,277,10
2019-03-27T18:27:14,C,277,6
2019-03-27T18:37:15,C,277,12
2019-03-27T18:48:15,C,277,27
2019-03-27T18:58:46,C,277,3
2019-03-27T19:08:47,C,277,0
2019-03-27T19:18:46,C,277,0
2019-03-27T19:29:16,C,277,0
2019-03-27T19:38:17,C,277,0
2019-03-27T19:48:17,C,277,0
2019-03-27T19:58:18,C,277,4
2019-03-27T20:08:48,C,277,21
2019-03-27T20:19:48,C,277,21
2019-03-27T20:29:48,C,277,41
2019-03-27T20:38:49,C,277,65
2019-03-27T20:48:20,C,277,84
2019-03-27T20:58:21,C,277,91
2019-03-27T21:08:20,C,277,102
2019-03-27T21:18:20,C,277,114
