date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:34,C,860,582
2019-03-26T13:10:34,C,860,585
2019-03-26T13:20:34,C,860,592
2019-03-26T13:30:34,C,860,591
2019-03-26T13:40:34,C,860,594
2019-03-26T13:50:34,C,860,594
2019-03-26T14:00:34,C,860,593
2019-03-26T14:09:35,C,860,600
2019-03-26T14:20:35,C,860,605
2019-03-26T14:30:35,C,860,604
2019-03-26T14:40:35,C,860,606
2019-03-26T14:51:35,C,860,602
2019-03-26T15:00:35,C,860,597
2019-03-26T15:11:35,C,860,595
2019-03-26T15:19:35,C,860,599
2019-03-26T15:31:36,C,860,596
2019-03-26T15:40:36,C,860,589
2019-03-26T15:51:36,C,860,588
2019-03-26T16:00:36,C,860,590
2019-03-26T16:10:36,C,860,591
2019-03-26T16:21:36,C,860,584
2019-03-26T16:30:36,C,860,584
2019-03-26T16:41:36,C,860,577
2019-03-26T16:51:37,C,860,574
2019-03-26T17:01:37,C,860,583
2019-03-26T17:11:37,C,860,596
2019-03-26T17:21:37,C,860,584
2019-03-26T17:31:37,C,860,576
2019-03-26T17:40:37,C,860,576
2019-03-26T17:50:37,C,860,569
2019-03-26T18:12:38,C,860,566
2019-03-26T18:32:38,C,860,552
2019-03-26T18:42:38,C,860,550
2019-03-26T18:51:38,C,860,537
2019-03-26T19:01:38,C,860,523
2019-03-26T19:13:38,C,860,526
2019-03-26T19:22:39,C,860,521
2019-03-26T19:33:39,C,860,519
2019-03-26T19:42:39,C,860,513
2019-03-26T19:53:39,C,860,507
2019-03-26T20:02:39,C,860,493
2019-03-26T20:12:39,C,860,489
2019-03-26T20:22:39,C,860,495
2019-03-26T20:33:40,C,860,496
2019-03-26T20:43:40,C,860,485
2019-03-26T20:53:40,C,860,471
2019-03-26T21:03:40,C,860,473
2019-03-26T21:13:40,C,860,465
2019-03-26T21:21:40,C,860,464
2019-03-26T21:32:40,C,860,457
2019-03-26T21:43:40,C,860,451
2019-03-26T21:53:41,C,860,446
2019-03-26T22:02:41,C,860,442
2019-03-26T22:13:41,C,860,432
2019-03-26T22:23:41,C,860,429
2019-03-26T22:32:41,C,860,422
2019-03-26T22:42:41,C,860,419
2019-03-26T22:53:41,C,860,412
2019-03-26T23:03:41,C,860,405
2019-03-26T23:14:42,C,860,396
2019-03-26T23:24:42,C,860,396
2019-03-26T23:34:42,C,860,392
2019-03-26T23:43:42,C,860,386
2019-03-26T23:53:42,C,860,388
2019-03-27T00:04:42,C,860,384
2019-03-27T00:13:42,C,860,384
2019-03-27T00:22:42,C,860,383
2019-03-27T00:29:43,C,860,381
2019-03-27T00:43:43,C,860,382
2019-03-27T00:53:43,C,860,379
2019-03-27T01:03:43,C,860,376
2019-03-27T01:13:43,C,860,373
2019-03-27T01:24:43,C,860,374
2019-03-27T01:34:43,C,860,373
2019-03-27T01:44:44,C,860,372
2019-03-27T01:54:44,C,860,372
2019-03-27T02:04:44,C,860,371
