date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:23,C,108,92
2019-03-26T13:10:23,C,108,95
2019-03-26T13:20:53,C,108,95
2019-03-26T13:30:54,C,108,98
2019-03-26T13:39:54,C,108,97
2019-03-26T13:49:54,C,108,101
2019-03-26T14:00:25,C,108,98
2019-03-26T14:10:25,C,108,95
2019-03-26T14:20:25,C,108,94
2019-03-26T14:30:55,C,108,92
2019-03-26T14:40:56,C,108,90
2019-03-26T14:50:56,C,108,90
2019-03-26T14:59:56,C,108,87
2019-03-26T15:11:26,C,108,87
2019-03-26T15:20:27,C,108,87
2019-03-26T15:31:27,C,108,84
2019-03-26T15:40:28,C,108,85
2019-03-26T15:51:58,C,108,85
2019-03-26T15:59:58,C,108,86
2019-03-26T16:09:58,C,108,87
2019-03-26T16:20:58,C,108,86
2019-03-26T16:31:29,C,108,87
2019-03-26T16:41:29,C,108,84
2019-03-26T16:51:29,C,108,91
2019-03-26T17:02:01,C,108,90
2019-03-26T17:11:00,C,108,88
2019-03-26T17:21:00,C,108,84
2019-03-26T17:31:01,C,108,83
2019-03-26T17:41:31,C,108,82
2019-03-26T17:51:31,C,108,74
2019-03-26T18:13:02,C,108,70
2019-03-26T18:32:02,C,108,73
2019-03-26T18:42:03,C,108,71
2019-03-26T18:52:33,C,108,72
2019-03-26T19:02:36,C,108,68
2019-03-26T19:13:34,C,108,73
2019-03-26T19:23:04,C,108,69
2019-03-26T19:33:04,C,108,71
2019-03-26T19:42:05,C,108,66
2019-03-26T19:53:05,C,108,67
2019-03-26T20:02:35,C,108,59
2019-03-26T20:13:35,C,108,56
2019-03-26T20:22:36,C,108,50
2019-03-26T20:33:36,C,108,46
2019-03-26T20:43:06,C,108,46
2019-03-26T20:53:07,C,108,51
2019-03-26T21:03:07,C,108,47
2019-03-26T21:13:37,C,108,43
2019-03-26T21:22:38,C,108,42
2019-03-26T21:33:38,C,108,44
2019-03-26T21:43:38,C,108,42
2019-03-26T21:53:08,C,108,33
2019-03-26T22:02:08,C,108,39
2019-03-26T22:13:09,C,108,40
2019-03-26T22:23:10,C,108,46
2019-03-26T22:33:39,C,108,47
2019-03-26T22:43:40,C,108,44
2019-03-26T22:53:40,C,108,46
2019-03-26T23:03:10,C,108,45
2019-03-26T23:14:10,C,108,42
2019-03-26T23:24:11,C,108,40
2019-03-26T23:34:11,C,108,38
2019-03-26T23:44:41,C,108,38
2019-03-26T23:54:42,C,108,37
2019-03-27T00:04:42,C,108,36
2019-03-27T00:13:42,C,108,37
2019-03-27T00:23:13,C,108,33
2019-03-27T00:30:13,C,108,32
2019-03-27T00:43:13,C,108,32
2019-03-27T00:54:43,C,108,31
2019-03-27T01:04:43,C,108,32
2019-03-27T01:14:44,C,108,30
2019-03-27T01:24:44,C,108,30
2019-03-27T01:35:15,C,108,30
2019-03-27T01:44:15,C,108,31
2019-03-27T01:54:15,C,108,31
2019-03-27T02:04:15,C,108,31
2019-03-27T02:14:45,C,108,29
2019-03-27T02:24:46,C,108,31
2019-03-27T02:34:47,C,108,31
2019-03-27T02:44:46,C,108,31
2019-03-27T02:55:17,C,108,32
2019-03-27T03:15:17,C,108,32
2019-03-27T03:25:48,C,108,32
2019-03-27T03:34:48,C,108,32
2019-03-27T03:45:48,C,108,32
2019-03-27T03:55:49,C,108,32
2019-03-27T04:05:19,C,108,26
2019-03-27T04:14:19,C,108,26
2019-03-27T04:24:19,C,108,26
2019-03-27T04:35:19,C,108,27
2019-03-27T04:44:50,C,108,27
2019-03-27T04:55:50,C,108,28
2019-03-27T05:06:07,C,108,27
2019-03-27T05:16:07,C,108,27
2019-03-27T05:25:07,C,108,27
2019-03-27T05:35:07,C,108,27
2019-03-27T05:45:38,C,108,28
2019-03-27T05:55:38,C,108,28
2019-03-27T06:05:38,C,108,25
2019-03-27T06:16:09,C,108,24
2019-03-27T06:26:09,C,108,26
2019-03-27T06:35:09,C,108,32
2019-03-27T06:45:10,C,108,40
2019-03-27T06:55:40,C,108,41
2019-03-27T07:05:40,C,108,48
2019-03-27T07:16:41,C,108,57
2019-03-27T07:25:42,C,108,53
2019-03-27T07:35:12,C,108,52
2019-03-27T07:45:11,C,108,58
2019-03-27T07:55:12,C,108,61
2019-03-27T08:06:42,C,108,61
2019-03-27T08:15:44,C,108,61
2019-03-27T08:25:43,C,108,68
2019-03-27T08:35:43,C,108,69
2019-03-27T08:45:13,C,108,69
2019-03-27T08:55:15,C,108,72
2019-03-27T09:06:14,C,108,78
2019-03-27T09:16:44,C,108,77
2019-03-27T09:25:44,C,108,77
2019-03-27T09:36:45,C,108,79
2019-03-27T09:46:15,C,108,78
2019-03-27T09:56:16,C,108,81
2019-03-27T10:06:16,C,108,81
2019-03-27T10:16:16,C,108,80
2019-03-27T10:26:48,C,108,83
2019-03-27T10:35:46,C,108,82
2019-03-27T10:46:47,C,108,83
2019-03-27T10:56:47,C,108,87
2019-03-27T11:06:17,C,108,86
2019-03-27T11:16:17,C,108,87
2019-03-27T11:26:18,C,108,85
2019-03-27T11:36:18,C,108,85
2019-03-27T11:46:48,C,108,87
2019-03-27T11:57:49,C,108,89
2019-03-27T12:06:49,C,108,89
2019-03-27T12:17:19,C,108,86
2019-03-27T12:27:20,C,108,86
2019-03-27T12:36:20,C,108,88
2019-03-27T12:47:23,C,108,85
2019-03-27T12:56:51,C,108,88
2019-03-27T13:07:51,C,108,90
2019-03-27T13:16:51,C,108,91
2019-03-27T13:26:51,C,108,90
2019-03-27T13:36:21,C,108,88
2019-03-27T13:47:22,C,108,86
2019-03-27T13:56:22,C,108,88
2019-03-27T14:07:53,C,108,89
2019-03-27T14:16:53,C,108,84
2019-03-27T14:27:53,C,108,91
2019-03-27T14:37:53,C,108,92
2019-03-27T14:47:24,C,108,92
2019-03-27T14:56:24,C,108,88
2019-03-27T15:07:24,C,108,90
2019-03-27T15:17:24,C,108,89
2019-03-27T15:26:55,C,108,93
2019-03-27T15:37:55,C,108,89
