date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:58:27,C,47,5
2019-03-26T13:08:28,C,47,11
2019-03-26T13:18:28,C,47,9
2019-03-26T13:28:28,C,47,14
2019-03-26T13:38:29,C,47,10
2019-03-26T13:48:29,C,47,18
2019-03-26T13:58:29,C,47,16
2019-03-26T14:08:30,C,47,13
2019-03-26T14:18:30,C,47,11
2019-03-26T14:28:30,C,47,5
2019-03-26T14:38:30,C,47,5
2019-03-26T14:48:31,C,47,11
2019-03-26T14:58:31,C,47,8
2019-03-26T15:08:31,C,47,7
2019-03-26T15:18:32,C,47,7
2019-03-26T15:28:32,C,47,6
2019-03-26T15:38:32,C,47,9
2019-03-26T15:48:32,C,47,8
2019-03-26T15:58:33,C,47,5
2019-03-26T16:08:33,C,47,4
2019-03-26T16:18:33,C,47,11
2019-03-26T16:28:34,C,47,7
2019-03-26T16:38:34,C,47,6
2019-03-26T16:48:34,C,47,6
2019-03-26T16:58:34,C,47,10
2019-03-26T17:08:35,C,47,7
2019-03-26T17:18:35,C,47,6
2019-03-26T17:28:35,C,47,7
2019-03-26T17:38:36,C,47,11
2019-03-26T17:48:36,C,47,2
2019-03-26T18:10:36,C,47,2
2019-03-26T18:30:37,C,47,0
2019-03-26T18:40:37,C,47,0
2019-03-26T18:50:38,C,47,0
2019-03-26T19:00:38,C,47,0
2019-03-26T19:10:38,C,47,0
2019-03-26T19:20:38,C,47,0
2019-03-26T19:30:39,C,47,0
2019-03-26T19:40:39,C,47,0
2019-03-26T19:50:39,C,47,0
2019-03-26T20:00:40,C,47,0
2019-03-26T20:10:40,C,47,0
2019-03-26T20:20:40,C,47,0
2019-03-26T20:30:41,C,47,0
2019-03-26T20:40:41,C,47,0
2019-03-26T20:50:41,C,47,0
2019-03-26T21:00:41,C,47,0
2019-03-26T21:10:42,C,47,0
2019-03-26T21:20:42,C,47,0
2019-03-26T21:30:42,C,47,0
2019-03-26T21:40:43,C,47,0
2019-03-26T21:50:43,C,47,0
2019-03-26T22:00:43,C,47,0
2019-03-26T22:10:43,C,47,0
2019-03-26T22:20:44,C,47,0
2019-03-26T22:30:44,C,47,0
2019-03-26T22:40:44,C,47,0
2019-03-26T22:50:45,C,47,0
2019-03-26T23:00:45,C,47,0
2019-03-26T23:12:45,C,47,0
2019-03-26T23:22:45,C,47,0
2019-03-26T23:32:46,C,47,0
2019-03-26T23:42:46,C,47,0
2019-03-26T23:52:46,C,47,0
2019-03-27T00:02:47,C,47,0
2019-03-27T00:10:47,C,47,0
2019-03-27T00:20:47,C,47,0
2019-03-27T00:26:47,C,47,0
2019-03-27T00:40:48,C,47,0
2019-03-27T00:52:48,C,47,0
2019-03-27T01:02:48,C,47,0
2019-03-27T01:12:49,C,47,0
2019-03-27T01:22:49,C,47,0
2019-03-27T01:32:49,C,47,0
2019-03-27T01:42:49,C,47,0
2019-03-27T01:52:50,C,47,0
2019-03-27T02:02:50,C,47,0
2019-03-27T02:12:50,C,47,0
2019-03-27T02:22:51,C,47,0
2019-03-27T02:32:51,C,47,0
2019-03-27T02:42:51,C,47,0
2019-03-27T02:52:57,C,47,0
2019-03-27T03:12:57,C,47,0
2019-03-27T03:22:58,C,47,0
2019-03-27T03:32:58,C,47,0
2019-03-27T03:42:58,C,47,0
2019-03-27T03:52:59,C,47,0
2019-03-27T04:02:59,C,47,0
2019-03-27T04:12:59,C,47,0
2019-03-27T04:22:59,C,47,0
2019-03-27T04:33:00,C,47,0
2019-03-27T04:43:00,C,47,0
2019-03-27T04:53:00,C,47,0
2019-03-27T05:03:01,C,47,0
2019-03-27T05:13:01,C,47,0
2019-03-27T05:23:01,C,47,0
2019-03-27T05:33:01,C,47,0
2019-03-27T05:43:02,C,47,0
2019-03-27T05:53:02,C,47,0
2019-03-27T06:03:02,C,47,0
2019-03-27T06:13:03,C,47,0
2019-03-27T06:23:03,C,47,0
2019-03-27T06:33:03,C,47,0
2019-03-27T06:43:03,C,47,0
2019-03-27T06:53:04,C,47,1
2019-03-27T07:03:04,C,47,6
2019-03-27T07:13:04,C,47,6
2019-03-27T07:23:05,C,47,3
2019-03-27T07:33:05,C,47,0
2019-03-27T07:43:05,C,47,0
2019-03-27T07:53:05,C,47,4
2019-03-27T08:03:06,C,47,1
2019-03-27T08:13:06,C,47,2
2019-03-27T08:23:06,C,47,0
2019-03-27T08:33:07,C,47,0
2019-03-27T08:43:07,C,47,2
2019-03-27T08:53:07,C,47,0
2019-03-27T09:03:07,C,47,0
2019-03-27T09:13:08,C,47,4
2019-03-27T09:23:08,C,47,0
2019-03-27T09:33:08,C,47,0
2019-03-27T09:43:09,C,47,0
2019-03-27T09:53:09,C,47,0
2019-03-27T10:03:09,C,47,0
2019-03-27T10:13:09,C,47,0
2019-03-27T10:23:10,C,47,0
2019-03-27T10:33:10,C,47,4
2019-03-27T10:43:10,C,47,2
2019-03-27T10:53:11,C,47,0
2019-03-27T11:03:11,C,47,2
2019-03-27T11:13:11,C,47,0
2019-03-27T11:23:11,C,47,2
2019-03-27T11:33:12,C,47,0
2019-03-27T11:43:12,C,47,0
2019-03-27T11:55:12,C,47,0
2019-03-27T12:03:13,C,47,0
2019-03-27T12:15:13,C,47,0
2019-03-27T12:25:13,C,47,0
2019-03-27T12:33:13,C,47,0
2019-03-27T12:45:44,C,47,0
2019-03-27T12:53:44,C,47,0
2019-03-27T13:05:44,C,47,1
2019-03-27T13:13:45,C,47,3
2019-03-27T13:25:45,C,47,3
2019-03-27T13:33:45,C,47,6
2019-03-27T13:45:46,C,47,6
2019-03-27T13:53:46,C,47,6
2019-03-27T14:05:46,C,47,5
2019-03-27T14:13:46,C,47,6
2019-03-27T14:25:47,C,47,8
2019-03-27T14:35:47,C,47,3
2019-03-27T14:45:47,C,47,1
2019-03-27T14:53:48,C,47,4
2019-03-27T15:05:48,C,47,2
2019-03-27T15:15:48,C,47,5
2019-03-27T15:23:48,C,47,0
2019-03-27T15:35:49,C,47,2
2019-03-27T15:45:49,C,47,0
2019-03-27T15:55:49,C,47,0
2019-03-27T16:05:50,C,47,0
2019-03-27T16:15:50,C,47,0
2019-03-27T16:25:50,C,47,0
2019-03-27T16:35:50,C,47,3
2019-03-27T16:45:51,C,47,0
2019-03-27T16:55:51,C,47,0
2019-03-27T17:05:51,C,47,0
2019-03-27T17:15:52,C,47,0
2019-03-27T17:25:52,C,47,0
2019-03-27T17:35:52,C,47,0
2019-03-27T17:45:52,C,47,0
2019-03-27T17:55:53,C,47,0
2019-03-27T18:05:53,C,47,0
2019-03-27T18:15:53,C,47,0
2019-03-27T18:25:54,C,47,0
2019-03-27T18:35:54,C,47,0
2019-03-27T18:45:54,C,47,0
2019-03-27T18:55:54,C,47,0
2019-03-27T19:05:55,C,47,0
2019-03-27T19:15:55,C,47,0
2019-03-27T19:25:55,C,47,0
2019-03-27T19:35:56,C,47,0
2019-03-27T19:45:56,C,47,0
2019-03-27T19:55:56,C,47,0
2019-03-27T20:05:56,C,47,0
2019-03-27T20:17:57,C,47,0
2019-03-27T20:27:57,C,47,0
2019-03-27T20:35:57,C,47,0
2019-03-27T20:45:58,C,47,0
2019-03-27T20:55:58,C,47,0
2019-03-27T21:05:58,C,47,0
2019-03-27T21:15:58,C,47,0
2019-03-27T21:25:59,C,47,0
2019-03-27T21:35:59,C,47,0
2019-03-27T21:45:59,C,47,0
2019-03-27T21:58:00,C,47,0
2019-03-27T22:06:00,C,47,0
2019-03-27T22:16:00,C,47,0
2019-03-27T22:28:01,C,47,0
2019-03-27T22:38:01,C,47,0
2019-03-27T22:46:01,C,47,0
2019-03-27T22:58:01,C,47,0
2019-03-27T23:08:02,C,47,0
2019-03-27T23:18:02,C,47,0
2019-03-27T23:26:02,C,47,0
2019-03-27T23:38:03,C,47,0
2019-03-27T23:48:03,C,47,0
2019-03-27T23:58:03,C,47,0
2019-03-28T00:08:03,C,47,0
2019-03-28T00:18:04,C,47,0
2019-03-28T00:28:04,C,47,0
2019-03-28T00:38:04,C,47,0
2019-03-28T00:48:05,C,47,0
2019-03-28T00:58:05,C,47,0
2019-03-28T01:08:05,C,47,0
2019-03-28T01:18:05,C,47,0
2019-03-28T01:28:06,C,47,0
2019-03-28T01:38:06,C,47,0
2019-03-28T01:48:06,C,47,0
2019-03-28T01:58:07,C,47,0
2019-03-28T02:08:07,C,47,0
2019-03-28T02:18:07,C,47,0
2019-03-28T02:28:07,C,47,0
2019-03-28T02:38:08,C,47,0
2019-03-28T02:47:38,C,47,0
2019-03-28T02:56:01,C,47,0
2019-03-28T03:08:01,C,47,0
2019-03-28T03:16:02,C,47,0
2019-03-28T03:28:02,C,47,0
2019-03-28T03:38:02,C,47,0
2019-03-28T03:48:02,C,47,0
2019-03-28T03:58:03,C,47,0
