date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:22,C,43,17
2019-03-26T13:10:52,C,43,18
2019-03-26T13:20:53,C,43,17
2019-03-26T13:30:53,C,43,17
2019-03-26T13:39:53,C,43,17
2019-03-26T13:50:24,C,43,18
2019-03-26T14:00:24,C,43,19
2019-03-26T14:10:24,C,43,18
2019-03-26T14:20:54,C,43,17
2019-03-26T14:30:54,C,43,19
2019-03-26T14:40:55,C,43,18
2019-03-26T14:50:56,C,43,16
2019-03-26T15:00:25,C,43,14
2019-03-26T15:11:26,C,43,20
2019-03-26T15:20:26,C,43,21
2019-03-26T15:31:56,C,43,15
2019-03-26T15:40:56,C,43,19
2019-03-26T15:52:00,C,43,18
2019-03-26T15:59:57,C,43,19
2019-03-26T16:10:27,C,43,20
2019-03-26T16:21:28,C,43,16
2019-03-26T16:31:28,C,43,17
2019-03-26T16:41:28,C,43,19
2019-03-26T16:51:59,C,43,19
2019-03-26T17:01:59,C,43,21
2019-03-26T17:10:59,C,43,20
2019-03-26T17:21:00,C,43,23
2019-03-26T17:31:30,C,43,23
2019-03-26T17:41:30,C,43,25
2019-03-26T17:51:30,C,43,24
2019-03-26T18:13:01,C,43,25
2019-03-26T18:32:01,C,43,22
2019-03-26T18:42:32,C,43,20
2019-03-26T18:52:32,C,43,24
2019-03-26T19:02:32,C,43,28
2019-03-26T19:13:33,C,43,24
2019-03-26T19:23:03,C,43,24
2019-03-26T19:34:03,C,43,24
2019-03-26T19:42:04,C,43,25
2019-03-26T19:53:34,C,43,27
2019-03-26T20:02:34,C,43,26
2019-03-26T20:13:34,C,43,26
2019-03-26T20:22:35,C,43,27
2019-03-26T20:34:05,C,43,29
2019-03-26T20:44:05,C,43,26
2019-03-26T20:53:05,C,43,27
2019-03-26T21:03:06,C,43,28
2019-03-26T21:13:36,C,43,28
2019-03-26T21:22:36,C,43,27
2019-03-26T21:33:37,C,43,27
2019-03-26T21:44:07,C,43,24
2019-03-26T21:54:07,C,43,23
2019-03-26T22:02:07,C,43,23
2019-03-26T22:13:08,C,43,24
2019-03-26T22:23:38,C,43,23
2019-03-26T22:33:38,C,43,22
2019-03-26T22:43:39,C,43,21
2019-03-26T22:53:39,C,43,19
2019-03-26T23:04:09,C,43,22
2019-03-26T23:14:09,C,43,22
2019-03-26T23:24:10,C,43,21
2019-03-26T23:34:10,C,43,20
2019-03-26T23:44:40,C,43,18
2019-03-26T23:54:41,C,43,18
2019-03-27T00:04:41,C,43,18
2019-03-27T00:14:11,C,43,18
2019-03-27T00:23:12,C,43,18
2019-03-27T00:30:12,C,43,18
2019-03-27T00:43:12,C,43,18
2019-03-27T00:54:42,C,43,18
2019-03-27T01:04:43,C,43,18
2019-03-27T01:14:43,C,43,18
2019-03-27T01:24:43,C,43,17
2019-03-27T01:35:14,C,43,18
2019-03-27T01:44:14,C,43,19
2019-03-27T01:54:14,C,43,19
2019-03-27T02:04:44,C,43,18
2019-03-27T02:14:45,C,43,18
2019-03-27T02:24:45,C,43,18
2019-03-27T02:34:45,C,43,18
2019-03-27T02:45:16,C,43,18
2019-03-27T02:55:16,C,43,17
2019-03-27T03:15:16,C,43,17
2019-03-27T03:25:47,C,43,16
2019-03-27T03:34:47,C,43,17
2019-03-27T03:45:47,C,43,17
2019-03-27T03:55:48,C,43,18
2019-03-27T04:05:18,C,43,19
2019-03-27T04:14:18,C,43,19
2019-03-27T04:24:18,C,43,19
2019-03-27T04:35:49,C,43,19
2019-03-27T04:44:49,C,43,19
2019-03-27T04:55:49,C,43,19
2019-03-27T05:06:12,C,43,18
2019-03-27T05:16:12,C,43,17
2019-03-27T05:25:13,C,43,17
2019-03-27T05:35:13,C,43,17
2019-03-27T05:45:43,C,43,18
2019-03-27T05:55:43,C,43,17
2019-03-27T06:05:44,C,43,19
2019-03-27T06:15:44,C,43,19
2019-03-27T06:26:14,C,43,21
2019-03-27T06:35:14,C,43,20
2019-03-27T06:45:15,C,43,21
2019-03-27T06:55:45,C,43,21
2019-03-27T07:05:45,C,43,23
2019-03-27T07:16:46,C,43,25
2019-03-27T07:25:46,C,43,27
2019-03-27T07:36:17,C,43,27
2019-03-27T07:45:18,C,43,29
2019-03-27T07:55:17,C,43,29
2019-03-27T08:06:17,C,43,29
2019-03-27T08:15:48,C,43,30
2019-03-27T08:25:51,C,43,28
2019-03-27T08:36:49,C,43,27
2019-03-27T08:45:19,C,43,29
2019-03-27T08:55:19,C,43,27
2019-03-27T09:06:20,C,43,28
2019-03-27T09:16:20,C,43,29
2019-03-27T09:25:50,C,43,30
2019-03-27T09:36:50,C,43,30
2019-03-27T09:45:51,C,43,30
2019-03-27T09:57:21,C,43,29
2019-03-27T10:06:21,C,43,29
2019-03-27T10:16:22,C,43,28
2019-03-27T10:26:22,C,43,28
2019-03-27T10:35:52,C,43,28
2019-03-27T10:46:52,C,43,22
2019-03-27T10:56:53,C,43,23
2019-03-27T11:06:53,C,43,23
2019-03-27T11:16:23,C,43,22
2019-03-27T11:26:24,C,43,18
2019-03-27T11:36:24,C,43,18
2019-03-27T11:46:24,C,43,18
2019-03-27T11:57:54,C,43,17
2019-03-27T12:06:55,C,43,17
2019-03-27T12:17:58,C,43,24
2019-03-27T12:27:26,C,43,25
2019-03-27T12:36:26,C,43,23
2019-03-27T12:47:26,C,43,24
2019-03-27T12:56:26,C,43,20
2019-03-27T13:07:57,C,43,19
2019-03-27T13:16:57,C,43,19
2019-03-27T13:27:57,C,43,22
2019-03-27T13:35:57,C,43,24
