date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:48,C,196,123
2019-03-26T13:08:48,C,196,122
2019-03-26T13:18:48,C,196,122
2019-03-26T13:28:48,C,196,121
2019-03-26T13:39:48,C,196,119
2019-03-26T13:49:48,C,196,122
2019-03-26T13:59:49,C,196,122
2019-03-26T14:09:49,C,196,127
2019-03-26T14:19:49,C,196,129
2019-03-26T14:29:49,C,196,132
2019-03-26T14:39:49,C,196,129
2019-03-26T14:49:49,C,196,127
2019-03-26T15:00:49,C,196,120
2019-03-26T15:10:50,C,196,117
2019-03-26T15:20:50,C,196,115
2019-03-26T15:30:50,C,196,114
2019-03-26T15:38:50,C,196,111
2019-03-26T15:50:50,C,196,116
2019-03-26T15:58:50,C,196,108
2019-03-26T16:09:50,C,196,117
2019-03-26T16:21:50,C,196,118
2019-03-26T16:31:51,C,196,113
2019-03-26T16:39:51,C,196,118
2019-03-26T16:49:51,C,196,107
2019-03-26T16:59:51,C,196,102
2019-03-26T17:09:51,C,196,100
2019-03-26T17:20:51,C,196,104
2019-03-26T17:30:51,C,196,103
2019-03-26T17:40:51,C,196,103
2019-03-26T17:50:52,C,196,97
2019-03-26T18:10:52,C,196,98
2019-03-26T18:30:52,C,196,99
2019-03-26T18:41:52,C,196,90
2019-03-26T18:51:52,C,196,86
2019-03-26T19:01:52,C,196,84
2019-03-26T19:11:53,C,196,70
2019-03-26T19:21:53,C,196,70
2019-03-26T19:31:53,C,196,69
2019-03-26T19:41:53,C,196,70
2019-03-26T19:52:53,C,196,61
2019-03-26T20:02:53,C,196,65
2019-03-26T20:12:53,C,196,56
2019-03-26T20:20:54,C,196,56
2019-03-26T20:32:54,C,196,48
2019-03-26T20:42:54,C,196,52
2019-03-26T20:52:54,C,196,53
2019-03-26T21:03:54,C,196,49
2019-03-26T21:13:54,C,196,45
2019-03-26T21:21:54,C,196,38
2019-03-26T21:31:54,C,196,41
2019-03-26T21:41:55,C,196,37
2019-03-26T21:51:55,C,196,36
2019-03-26T22:01:55,C,196,30
2019-03-26T22:12:55,C,196,24
2019-03-26T22:22:55,C,196,27
2019-03-26T22:32:55,C,196,29
2019-03-26T22:42:55,C,196,27
2019-03-26T22:52:56,C,196,27
2019-03-26T23:02:56,C,196,25
2019-03-26T23:12:56,C,196,22
2019-03-26T23:22:56,C,196,22
2019-03-26T23:33:56,C,196,22
2019-03-26T23:43:56,C,196,20
2019-03-26T23:53:56,C,196,17
2019-03-27T00:03:56,C,196,15
2019-03-27T00:11:57,C,196,16
2019-03-27T00:21:57,C,196,14
2019-03-27T00:27:57,C,196,14
2019-03-27T00:42:57,C,196,16
2019-03-27T00:54:57,C,196,15
2019-03-27T01:04:57,C,196,14
2019-03-27T01:12:57,C,196,14
2019-03-27T01:22:57,C,196,11
2019-03-27T01:32:58,C,196,9
2019-03-27T01:42:58,C,196,9
2019-03-27T01:53:58,C,196,9
2019-03-27T02:03:58,C,196,10
2019-03-27T02:13:58,C,196,12
2019-03-27T02:23:58,C,196,8
2019-03-27T02:33:58,C,196,8
2019-03-27T02:43:59,C,196,9
2019-03-27T02:53:59,C,196,6
2019-03-27T03:14:41,C,196,4
2019-03-27T03:24:41,C,196,4
2019-03-27T03:32:41,C,196,3
2019-03-27T03:44:41,C,196,1
2019-03-27T03:54:41,C,196,2
2019-03-27T04:05:41,C,196,24
2019-03-27T04:13:41,C,196,24
2019-03-27T04:23:42,C,196,24
2019-03-27T04:35:42,C,196,25
2019-03-27T04:43:42,C,196,25
2019-03-27T04:53:42,C,196,24
2019-03-27T05:03:42,C,196,25
2019-03-27T05:14:42,C,196,26
2019-03-27T05:24:42,C,196,31
2019-03-27T05:34:42,C,196,30
2019-03-27T05:44:43,C,196,38
2019-03-27T05:54:43,C,196,41
2019-03-27T06:04:43,C,196,44
2019-03-27T06:14:43,C,196,52
2019-03-27T06:25:43,C,196,53
2019-03-27T06:35:43,C,196,64
2019-03-27T06:45:43,C,196,71
2019-03-27T06:55:43,C,196,80
2019-03-27T07:05:44,C,196,85
2019-03-27T07:15:44,C,196,90
2019-03-27T07:23:44,C,196,95
2019-03-27T07:33:44,C,196,94
2019-03-27T07:44:44,C,196,99
2019-03-27T07:54:44,C,196,106
2019-03-27T08:06:44,C,196,109
2019-03-27T08:14:44,C,196,118
2019-03-27T08:24:45,C,196,119
2019-03-27T08:34:45,C,196,119
2019-03-27T08:44:45,C,196,128
2019-03-27T08:55:45,C,196,131
2019-03-27T09:05:45,C,196,130
2019-03-27T09:15:45,C,196,131
2019-03-27T09:25:45,C,196,135
2019-03-27T09:35:46,C,196,130
2019-03-27T09:43:46,C,196,130
2019-03-27T09:55:46,C,196,129
2019-03-27T10:06:46,C,196,124
2019-03-27T10:16:46,C,196,128
2019-03-27T10:26:46,C,196,126
2019-03-27T10:34:46,C,196,131
2019-03-27T10:44:47,C,196,131
2019-03-27T10:54:47,C,196,125
2019-03-27T11:04:47,C,196,128
2019-03-27T11:14:47,C,196,128
2019-03-27T11:25:47,C,196,128
2019-03-27T11:35:47,C,196,122
2019-03-27T11:45:47,C,196,122
2019-03-27T11:57:47,C,196,124
2019-03-27T12:05:48,C,196,119
2019-03-27T12:15:48,C,196,115
2019-03-27T12:25:48,C,196,114
2019-03-27T12:36:48,C,196,119
2019-03-27T12:46:48,C,196,119
2019-03-27T12:56:48,C,196,118
2019-03-27T13:06:48,C,196,116
2019-03-27T13:14:48,C,196,110
2019-03-27T13:26:49,C,196,109
2019-03-27T13:34:49,C,196,112
2019-03-27T13:47:49,C,196,111
2019-03-27T13:55:49,C,196,119
2019-03-27T14:07:49,C,196,113
2019-03-27T14:15:49,C,196,115
2019-03-27T14:25:49,C,196,118
2019-03-27T14:35:50,C,196,117
2019-03-27T14:45:50,C,196,125
2019-03-27T14:55:50,C,196,126
2019-03-27T15:06:50,C,196,126
2019-03-27T15:16:50,C,196,127
2019-03-27T15:26:50,C,196,128
2019-03-27T15:36:50,C,196,126
2019-03-27T15:46:50,C,196,120
2019-03-27T15:56:51,C,196,119
2019-03-27T16:06:51,C,196,120
2019-03-27T16:17:51,C,196,126
2019-03-27T16:27:51,C,196,124
2019-03-27T16:37:51,C,196,121
2019-03-27T16:47:51,C,196,117
2019-03-27T16:57:51,C,196,114
2019-03-27T17:07:52,C,196,110
2019-03-27T17:17:52,C,196,107
2019-03-27T17:25:52,C,196,106
2019-03-27T17:38:52,C,196,98
2019-03-27T17:46:52,C,196,100
2019-03-27T17:56:52,C,196,97
2019-03-27T18:06:52,C,196,102
2019-03-27T18:16:52,C,196,97
2019-03-27T18:26:53,C,196,90
2019-03-27T18:36:53,C,196,87
2019-03-27T18:47:53,C,196,84
2019-03-27T18:57:53,C,196,82
2019-03-27T19:07:53,C,196,83
2019-03-27T19:17:53,C,196,80
2019-03-27T19:27:53,C,196,71
2019-03-27T19:37:53,C,196,73
2019-03-27T19:47:54,C,196,75
2019-03-27T19:58:54,C,196,68
2019-03-27T20:08:54,C,196,65
2019-03-27T20:18:54,C,196,63
