date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:48,C,553,93
2019-03-26T13:10:03,C,553,92
2019-03-26T13:20:52,C,553,93
2019-03-26T13:30:50,C,553,92
2019-03-26T13:40:57,C,553,96
2019-03-26T13:49:56,C,553,93
2019-03-26T14:00:12,C,553,92
2019-03-26T14:10:05,C,553,86
2019-03-26T14:20:50,C,553,86
2019-03-26T14:31:01,C,553,84
2019-03-26T14:40:24,C,553,84
2019-03-26T14:51:25,C,553,84
2019-03-26T15:00:07,C,553,85
2019-03-26T15:11:55,C,553,79
2019-03-26T15:20:13,C,553,84
2019-03-26T15:31:13,C,553,80
2019-03-26T15:40:28,C,553,82
2019-03-26T15:50:35,C,553,81
2019-03-26T15:59:52,C,553,86
2019-03-26T16:10:15,C,553,86
2019-03-26T16:21:14,C,553,86
2019-03-26T16:31:09,C,553,85
2019-03-26T16:41:15,C,553,84
2019-03-26T16:51:32,C,553,84
2019-03-26T17:01:33,C,553,90
2019-03-26T17:11:09,C,553,88
2019-03-26T17:21:33,C,553,89
2019-03-26T17:31:40,C,553,84
2019-03-26T17:41:36,C,553,78
2019-03-26T17:52:07,C,553,80
2019-03-26T18:12:25,C,553,72
2019-03-26T18:33:13,C,553,65
2019-03-26T18:41:44,C,553,55
2019-03-26T18:52:43,C,553,52
2019-03-26T19:01:26,C,553,54
2019-03-26T19:13:39,C,553,50
2019-03-26T19:20:58,C,553,50
2019-03-26T19:33:33,C,553,50
2019-03-26T19:41:33,C,553,47
2019-03-26T19:53:33,C,553,39
2019-03-26T20:03:09,C,553,28
2019-03-26T20:12:53,C,553,20
2019-03-26T20:22:20,C,553,16
2019-03-26T20:33:36,C,553,19
2019-03-26T20:43:35,C,553,10
2019-03-26T20:53:40,C,553,4
2019-03-26T21:02:40,C,553,0
2019-03-26T21:13:06,C,553,0
2019-03-26T21:21:50,C,553,0
2019-03-26T21:34:11,C,553,0
2019-03-26T21:42:51,C,553,0
2019-03-26T21:53:22,C,553,0
2019-03-26T22:02:08,C,553,0
2019-03-26T22:13:26,C,553,0
2019-03-26T22:23:48,C,553,0
2019-03-26T22:33:09,C,553,0
2019-03-26T22:43:25,C,553,0
2019-03-26T22:53:13,C,553,0
2019-03-26T23:03:51,C,553,0
2019-03-26T23:13:44,C,553,0
2019-03-26T23:24:23,C,553,0
2019-03-26T23:34:20,C,553,0
2019-03-26T23:43:33,C,553,0
2019-03-26T23:54:27,C,553,0
2019-03-27T00:04:35,C,553,0
2019-03-27T00:13:50,C,553,0
2019-03-27T00:22:19,C,553,0
2019-03-27T00:28:44,C,553,0
2019-03-27T00:43:31,C,553,0
2019-03-27T00:53:58,C,553,0
2019-03-27T01:02:46,C,553,0
2019-03-27T01:14:20,C,553,0
2019-03-27T01:23:01,C,553,0
2019-03-27T01:34:33,C,553,0
2019-03-27T01:44:44,C,553,0
2019-03-27T01:53:22,C,553,0
2019-03-27T02:01:35,C,553,0
2019-03-27T02:13:35,C,553,0
2019-03-27T02:24:33,C,553,0
2019-03-27T02:33:35,C,553,0
2019-03-27T02:44:54,C,553,0
2019-03-27T02:53:35,C,553,0
2019-03-27T03:15:01,C,553,0
2019-03-27T03:25:36,C,553,0
2019-03-27T03:33:36,C,553,0
2019-03-27T03:45:01,C,553,0
2019-03-27T03:53:36,C,553,0
2019-03-27T04:05:36,C,553,0
2019-03-27T04:13:44,C,553,0
2019-03-27T04:24:20,C,553,0
2019-03-27T04:33:59,C,553,0
2019-03-27T04:43:15,C,553,0
2019-03-27T04:53:36,C,553,0
2019-03-27T05:05:36,C,553,0
2019-03-27T05:14:46,C,553,0
2019-03-27T05:25:36,C,553,0
2019-03-27T05:33:36,C,553,0
2019-03-27T05:44:27,C,553,0
2019-03-27T05:55:44,C,553,0
2019-03-27T06:05:36,C,553,0
2019-03-27T06:15:42,C,553,0
2019-03-27T06:23:26,C,553,0
2019-03-27T06:34:54,C,553,0
2019-03-27T06:44:57,C,553,0
2019-03-27T06:54:54,C,553,0
2019-03-27T07:05:41,C,553,0
2019-03-27T07:16:17,C,553,0
2019-03-27T07:25:40,C,553,12
2019-03-27T07:35:23,C,553,12
2019-03-27T07:45:37,C,553,16
2019-03-27T07:55:45,C,553,21
2019-03-27T08:06:12,C,553,30
2019-03-27T08:15:33,C,553,40
2019-03-27T08:25:22,C,553,51
2019-03-27T08:36:39,C,553,58
2019-03-27T08:44:59,C,553,65
2019-03-27T08:55:29,C,553,66
2019-03-27T09:06:20,C,553,70
2019-03-27T09:16:20,C,553,73
2019-03-27T09:25:51,C,553,76
2019-03-27T09:36:02,C,553,82
2019-03-27T09:45:28,C,553,84
2019-03-27T09:56:38,C,553,82
2019-03-27T10:06:27,C,553,87
2019-03-27T10:16:56,C,553,90
2019-03-27T10:26:09,C,553,91
2019-03-27T10:34:58,C,553,89
2019-03-27T10:46:19,C,553,87
2019-03-27T10:56:46,C,553,92
2019-03-27T11:06:29,C,553,96
2019-03-27T11:16:12,C,553,98
2019-03-27T11:26:12,C,553,94
2019-03-27T11:36:55,C,553,92
2019-03-27T11:45:50,C,553,93
2019-03-27T11:57:40,C,553,95
2019-03-27T12:06:18,C,553,94
2019-03-27T12:17:46,C,553,94
2019-03-27T12:27:12,C,553,94
2019-03-27T12:36:09,C,553,99
2019-03-27T12:47:33,C,553,96
2019-03-27T12:54:50,C,553,93
2019-03-27T13:07:58,C,553,89
2019-03-27T13:15:57,C,553,92
2019-03-27T13:26:44,C,553,93
2019-03-27T13:35:36,C,553,88
2019-03-27T13:48:01,C,553,88
2019-03-27T13:56:04,C,553,89
2019-03-27T14:07:06,C,553,86
2019-03-27T14:16:32,C,553,90
2019-03-27T14:27:33,C,553,88
2019-03-27T14:38:10,C,553,90
2019-03-27T14:46:59,C,553,87
2019-03-27T14:56:16,C,553,94
2019-03-27T15:07:58,C,553,92
2019-03-27T15:16:54,C,553,92
2019-03-27T15:25:58,C,553,89
2019-03-27T15:37:17,C,553,93
2019-03-27T15:47:29,C,553,92
2019-03-27T15:57:39,C,553,95
2019-03-27T16:07:11,C,553,96
2019-03-27T16:17:39,C,553,93
2019-03-27T16:28:42,C,553,90
2019-03-27T16:37:51,C,553,83
2019-03-27T16:48:07,C,553,85
2019-03-27T16:58:00,C,553,83
2019-03-27T17:08:30,C,553,88
2019-03-27T17:18:31,C,553,88
2019-03-27T17:27:53,C,553,88
2019-03-27T17:38:07,C,553,85
2019-03-27T17:47:06,C,553,86
2019-03-27T17:57:46,C,553,79
2019-03-27T18:08:54,C,553,78
2019-03-27T18:18:11,C,553,77
2019-03-27T18:26:50,C,553,74
2019-03-27T18:36:54,C,553,69
2019-03-27T18:48:27,C,553,67
2019-03-27T18:58:28,C,553,62
2019-03-27T19:08:53,C,553,58
2019-03-27T19:18:25,C,553,55
2019-03-27T19:28:20,C,553,59
2019-03-27T19:38:33,C,553,51
2019-03-27T19:48:16,C,553,45
2019-03-27T19:59:12,C,553,39
2019-03-27T20:08:11,C,553,35
2019-03-27T20:19:37,C,553,32
2019-03-27T20:29:28,C,553,27
2019-03-27T20:38:39,C,553,26
2019-03-27T20:49:00,C,553,11
2019-03-27T20:58:16,C,553,10
2019-03-27T21:08:22,C,553,5
2019-03-27T21:17:57,C,553,0
2019-03-27T21:28:35,C,553,0
2019-03-27T21:38:54,C,553,0
2019-03-27T21:48:23,C,553,0
2019-03-27T21:59:35,C,553,0
2019-03-27T22:08:37,C,553,0
2019-03-27T22:18:59,C,553,0
2019-03-27T22:28:37,C,553,0
2019-03-27T22:38:31,C,553,0
2019-03-27T22:48:29,C,553,0
2019-03-27T22:59:18,C,553,0
2019-03-27T23:09:57,C,553,0
2019-03-27T23:19:05,C,553,0
2019-03-27T23:28:27,C,553,0
2019-03-27T23:39:33,C,553,0
2019-03-27T23:49:18,C,553,0
2019-03-27T23:58:19,C,553,0
2019-03-28T00:09:41,C,553,0
2019-03-28T00:19:14,C,553,0
2019-03-28T00:29:10,C,553,0
2019-03-28T00:39:34,C,553,0
2019-03-28T00:48:22,C,553,0
2019-03-28T00:58:54,C,553,0
2019-03-28T01:10:00,C,553,0
2019-03-28T01:19:02,C,553,0
2019-03-28T01:29:41,C,553,0
2019-03-28T01:38:54,C,553,0
2019-03-28T01:49:43,C,553,0
2019-03-28T01:59:15,C,553,0
2019-03-28T02:08:49,C,553,0
2019-03-28T02:17:41,C,553,0
2019-03-28T02:29:41,C,553,0
2019-03-28T02:39:14,C,553,0
2019-03-28T02:49:41,C,553,0
2019-03-28T02:57:41,C,553,0
2019-03-28T03:10:43,C,553,0
2019-03-28T03:19:19,C,553,0
2019-03-28T03:30:46,C,553,0
2019-03-28T03:40:09,C,553,0
2019-03-28T03:49:42,C,553,0
2019-03-28T03:57:56,C,553,0
2019-03-28T04:10:44,C,553,0
2019-03-28T04:18:36,C,553,0
2019-03-28T04:30:46,C,553,0
2019-03-28T04:37:42,C,553,0
2019-03-28T04:50:18,C,553,0
2019-03-28T05:01:42,C,553,0
2019-03-28T05:10:09,C,553,0
2019-03-28T05:21:42,C,553,0
2019-03-28T05:29:42,C,553,0
2019-03-28T05:37:43,C,553,0
2019-03-28T05:49:43,C,553,0
2019-03-28T06:00:32,C,553,0
2019-03-28T06:11:41,C,553,0
2019-03-28T06:20:07,C,553,0
2019-03-28T06:30:09,C,553,0
2019-03-28T06:40:35,C,553,0
2019-03-28T06:51:49,C,553,0
2019-03-28T07:00:58,C,553,0
2019-03-28T07:11:38,C,553,0
2019-03-28T07:21:15,C,553,9
2019-03-28T07:31:20,C,553,10
2019-03-28T07:41:51,C,553,19
2019-03-28T07:50:44,C,553,25
2019-03-28T08:00:47,C,553,33
2019-03-28T08:11:04,C,553,41
2019-03-28T08:21:25,C,553,53
2019-03-28T08:31:46,C,553,60
2019-03-28T08:41:58,C,553,73
2019-03-28T08:51:36,C,553,80
2019-03-28T09:00:50,C,553,83
2019-03-28T09:12:32,C,553,87
2019-03-28T09:21:44,C,553,84
2019-03-28T09:31:54,C,553,82
2019-03-28T09:42:31,C,553,92
2019-03-28T09:51:53,C,553,91
2019-03-28T10:01:28,C,553,94
2019-03-28T10:11:20,C,553,96
2019-03-28T10:23:02,C,553,98
2019-03-28T10:31:52,C,553,101
2019-03-28T10:41:57,C,553,99
2019-03-28T10:51:42,C,553,98
2019-03-28T11:02:38,C,553,95
2019-03-28T11:11:55,C,553,95
2019-03-28T11:21:44,C,553,98
2019-03-28T11:32:51,C,553,99
2019-03-28T11:42:54,C,553,102
2019-03-28T11:53:00,C,553,98
2019-03-28T12:02:16,C,553,98
2019-03-28T12:11:07,C,553,101
2019-03-28T12:22:31,C,553,99
2019-03-28T12:32:21,C,553,101
2019-03-28T12:42:44,C,553,105
2019-03-28T12:51:58,C,553,103
2019-03-28T13:02:30,C,553,107
2019-03-28T13:12:20,C,553,105
2019-03-28T13:22:41,C,553,104
2019-03-28T13:32:33,C,553,106
2019-03-28T13:42:29,C,553,105
2019-03-28T13:52:39,C,553,107
2019-03-28T14:02:27,C,553,102
