date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:40,C,53,4
2019-03-26T13:10:10,C,53,1
2019-03-26T13:20:10,C,53,4
2019-03-26T13:30:10,C,53,7
2019-03-26T13:40:40,C,53,9
2019-03-26T13:50:40,C,53,17
2019-03-26T14:00:40,C,53,17
2019-03-26T14:10:10,C,53,17
2019-03-26T14:20:11,C,53,16
2019-03-26T14:30:10,C,53,12
2019-03-26T14:40:41,C,53,10
2019-03-26T14:51:40,C,53,15
2019-03-26T15:00:41,C,53,16
2019-03-26T15:11:14,C,53,15
2019-03-26T15:20:11,C,53,15
2019-03-26T15:31:11,C,53,11
2019-03-26T15:40:41,C,53,14
2019-03-26T15:51:41,C,53,16
2019-03-26T15:59:43,C,53,16
2019-03-26T16:10:11,C,53,16
2019-03-26T16:21:14,C,53,17
2019-03-26T16:31:11,C,53,22
2019-03-26T16:41:42,C,53,19
2019-03-26T16:51:41,C,53,20
2019-03-26T17:01:41,C,53,22
2019-03-26T17:11:41,C,53,19
2019-03-26T17:21:11,C,53,20
2019-03-26T17:31:12,C,53,20
2019-03-26T17:41:12,C,53,19
2019-03-26T17:51:41,C,53,25
2019-03-26T18:11:41,C,53,27
2019-03-26T18:31:11,C,53,23
2019-03-26T18:42:11,C,53,22
2019-03-26T18:52:42,C,53,25
2019-03-26T19:02:44,C,53,20
2019-03-26T19:12:41,C,53,23
2019-03-26T19:22:13,C,53,24
2019-03-26T19:32:43,C,53,28
2019-03-26T19:42:11,C,53,24
2019-03-26T19:53:11,C,53,22
2019-03-26T20:01:16,C,53,22
2019-03-26T20:13:12,C,53,23
2019-03-26T20:22:12,C,53,24
2019-03-26T20:33:13,C,53,23
2019-03-26T20:43:12,C,53,26
2019-03-26T20:53:42,C,53,26
2019-03-26T21:02:42,C,53,24
2019-03-26T21:13:12,C,53,28
2019-03-26T21:22:12,C,53,31
2019-03-26T21:33:12,C,53,27
2019-03-26T21:43:43,C,53,29
2019-03-26T21:53:41,C,53,27
2019-03-26T22:02:40,C,53,30
2019-03-26T22:13:11,C,53,33
2019-03-26T22:23:15,C,53,34
2019-03-26T22:33:10,C,53,33
2019-03-26T22:43:42,C,53,34
2019-03-26T22:52:43,C,53,35
2019-03-26T23:03:12,C,53,33
2019-03-26T23:14:12,C,53,32
2019-03-26T23:24:42,C,53,33
2019-03-26T23:34:42,C,53,36
2019-03-26T23:44:42,C,53,36
2019-03-26T23:53:41,C,53,35
2019-03-27T00:05:11,C,53,36
2019-03-27T00:13:12,C,53,36
2019-03-27T00:22:11,C,53,35
2019-03-27T00:29:11,C,53,35
2019-03-27T00:43:41,C,53,35
2019-03-27T00:54:42,C,53,35
2019-03-27T01:04:41,C,53,35
2019-03-27T01:15:11,C,53,35
2019-03-27T01:24:11,C,53,35
2019-03-27T01:34:15,C,53,35
2019-03-27T01:44:41,C,53,35
2019-03-27T01:54:41,C,53,35
2019-03-27T02:04:41,C,53,35
2019-03-27T02:14:41,C,53,35
2019-03-27T02:25:12,C,53,35
2019-03-27T02:34:12,C,53,36
2019-03-27T02:44:12,C,53,37
2019-03-27T02:55:15,C,53,37
2019-03-27T03:15:42,C,53,37
2019-03-27T03:25:42,C,53,37
2019-03-27T03:35:12,C,53,37
2019-03-27T03:46:12,C,53,37
2019-03-27T03:55:12,C,53,37
2019-03-27T04:05:12,C,53,39
2019-03-27T04:14:42,C,53,39
2019-03-27T04:24:42,C,53,39
2019-03-27T04:35:42,C,53,39
2019-03-27T04:45:12,C,53,38
2019-03-27T04:56:13,C,53,38
2019-03-27T05:05:25,C,53,38
2019-03-27T05:15:25,C,53,38
2019-03-27T05:25:26,C,53,37
2019-03-27T05:35:26,C,53,38
2019-03-27T05:45:56,C,53,38
2019-03-27T05:55:56,C,53,37
2019-03-27T06:05:57,C,53,37
2019-03-27T06:15:27,C,53,36
2019-03-27T06:25:27,C,53,36
2019-03-27T06:35:27,C,53,35
2019-03-27T06:45:27,C,53,33
2019-03-27T06:55:57,C,53,32
2019-03-27T07:05:57,C,53,29
2019-03-27T07:16:00,C,53,28
2019-03-27T07:24:58,C,53,25
2019-03-27T07:35:29,C,53,20
2019-03-27T07:45:29,C,53,17
2019-03-27T07:55:29,C,53,16
2019-03-27T08:06:59,C,53,13
2019-03-27T08:15:59,C,53,16
2019-03-27T08:25:59,C,53,18
2019-03-27T08:36:00,C,53,19
2019-03-27T08:45:30,C,53,16
2019-03-27T08:55:31,C,53,14
2019-03-27T09:06:31,C,53,18
2019-03-27T09:17:01,C,53,13
2019-03-27T09:26:01,C,53,20
2019-03-27T09:36:01,C,53,15
2019-03-27T09:45:02,C,53,7
2019-03-27T09:56:32,C,53,0
2019-03-27T10:06:32,C,53,0
2019-03-27T10:16:33,C,53,0
2019-03-27T10:27:03,C,53,0
2019-03-27T10:36:03,C,53,1
2019-03-27T10:46:03,C,53,0
2019-03-27T10:56:03,C,53,0
2019-03-27T11:06:34,C,53,3
2019-03-27T11:16:33,C,53,1
2019-03-27T11:26:34,C,53,2
2019-03-27T11:36:34,C,53,4
2019-03-27T11:47:04,C,53,2
2019-03-27T11:58:04,C,53,0
2019-03-27T12:06:05,C,53,2
2019-03-27T12:17:36,C,53,5
2019-03-27T12:27:36,C,53,0
2019-03-27T12:36:36,C,53,0
2019-03-27T12:47:35,C,53,0
2019-03-27T12:57:05,C,53,0
2019-03-27T13:08:06,C,53,0
2019-03-27T13:16:06,C,53,0
2019-03-27T13:27:37,C,53,0
2019-03-27T13:36:37,C,53,0
2019-03-27T13:47:40,C,53,0
2019-03-27T13:56:37,C,53,8
2019-03-27T14:08:07,C,53,11
2019-03-27T14:17:08,C,53,7
2019-03-27T14:27:11,C,53,8
2019-03-27T14:37:08,C,53,12
2019-03-27T14:47:38,C,53,11
2019-03-27T14:56:38,C,53,13
2019-03-27T15:07:38,C,53,13
2019-03-27T15:17:38,C,53,16
2019-03-27T15:27:09,C,53,20
2019-03-27T15:37:09,C,53,20
2019-03-27T15:47:09,C,53,22
2019-03-27T15:57:40,C,53,20
2019-03-27T16:07:41,C,53,13
2019-03-27T16:17:42,C,53,12
2019-03-27T16:28:42,C,53,8
2019-03-27T16:39:12,C,53,11
2019-03-27T16:48:12,C,53,14
2019-03-27T16:58:13,C,53,11
2019-03-27T17:08:13,C,53,18
2019-03-27T17:18:44,C,53,18
2019-03-27T17:27:44,C,53,20
2019-03-27T17:38:44,C,53,16
2019-03-27T17:47:44,C,53,23
2019-03-27T17:57:14,C,53,20
2019-03-27T18:08:15,C,53,21
2019-03-27T18:17:15,C,53,21
2019-03-27T18:27:47,C,53,25
2019-03-27T18:37:45,C,53,24
2019-03-27T18:48:46,C,53,20
2019-03-27T18:58:46,C,53,13
2019-03-27T19:08:16,C,53,12
2019-03-27T19:18:17,C,53,13
2019-03-27T19:28:17,C,53,10
2019-03-27T19:38:16,C,53,16
2019-03-27T19:48:47,C,53,14
2019-03-27T19:58:47,C,53,21
2019-03-27T20:08:47,C,53,24
2019-03-27T20:20:18,C,53,25
2019-03-27T20:29:18,C,53,28
2019-03-27T20:38:19,C,53,27
2019-03-27T20:48:18,C,53,25
2019-03-27T20:58:49,C,53,26
2019-03-27T21:08:49,C,53,26
2019-03-27T21:18:50,C,53,25
2019-03-27T21:28:49,C,53,25
2019-03-27T21:37:49,C,53,25
2019-03-27T21:48:22,C,53,26
2019-03-27T21:59:20,C,53,28
2019-03-27T22:08:50,C,53,31
2019-03-27T22:18:51,C,53,33
2019-03-27T22:29:51,C,53,32
2019-03-27T22:38:51,C,53,33
2019-03-27T22:48:21,C,53,33
2019-03-27T22:59:21,C,53,32
2019-03-27T23:09:22,C,53,32
2019-03-27T23:19:22,C,53,32
2019-03-27T23:28:52,C,53,30
2019-03-27T23:39:53,C,53,29
2019-03-27T23:49:53,C,53,29
2019-03-27T23:59:54,C,53,28
2019-03-28T00:09:23,C,53,29
2019-03-28T00:19:24,C,53,29
2019-03-28T00:29:24,C,53,29
2019-03-28T00:39:54,C,53,29
2019-03-28T00:49:56,C,53,29
2019-03-28T00:59:55,C,53,29
2019-03-28T01:10:56,C,53,29
2019-03-28T01:20:25,C,53,29
2019-03-28T01:30:26,C,53,29
2019-03-28T01:39:25,C,53,30
2019-03-28T01:49:27,C,53,30
2019-03-28T02:00:56,C,53,29
2019-03-28T02:09:56,C,53,29
2019-03-28T02:20:56,C,53,29
2019-03-28T02:30:27,C,53,31
2019-03-28T02:40:27,C,53,31
2019-03-28T02:50:27,C,53,31
2019-03-28T02:59:27,C,53,31
2019-03-28T03:10:57,C,53,31
2019-03-28T03:19:58,C,53,31
2019-03-28T03:30:58,C,53,31
2019-03-28T03:39:58,C,53,31
2019-03-28T03:50:28,C,53,31
2019-03-28T04:00:28,C,53,32
2019-03-28T04:10:29,C,53,32
2019-03-28T04:21:59,C,53,32
2019-03-28T04:30:59,C,53,32
2019-03-28T04:41:59,C,53,32
2019-03-28T04:47:59,C,53,32
2019-03-28T05:01:30,C,53,31
2019-03-28T05:10:54,C,53,31
2019-03-28T05:21:25,C,53,31
2019-03-28T05:31:24,C,53,31
2019-03-28T05:40:25,C,53,30
2019-03-28T05:51:25,C,53,29
2019-03-28T06:00:55,C,53,27
2019-03-28T06:11:56,C,53,30
2019-03-28T06:20:56,C,53,27
2019-03-28T06:29:56,C,53,27
2019-03-28T06:40:30,C,53,26
2019-03-28T06:51:27,C,53,25
2019-03-28T07:00:27,C,53,25
2019-03-28T07:11:57,C,53,20
2019-03-28T07:21:58,C,53,20
2019-03-28T07:30:58,C,53,16
2019-03-28T07:40:58,C,53,12
2019-03-28T07:51:29,C,53,9
2019-03-28T08:01:29,C,53,14
2019-03-28T08:11:29,C,53,13
2019-03-28T08:21:29,C,53,9
2019-03-28T08:32:00,C,53,6
2019-03-28T08:42:00,C,53,5
2019-03-28T08:51:01,C,53,8
2019-03-28T09:01:32,C,53,10
2019-03-28T09:12:30,C,53,9
2019-03-28T09:21:31,C,53,11
2019-03-28T09:31:32,C,53,8
2019-03-28T09:43:02,C,53,0
2019-03-28T09:53:02,C,53,0
2019-03-28T10:01:03,C,53,0
2019-03-28T10:11:02,C,53,0
2019-03-28T10:22:33,C,53,0
2019-03-28T10:32:33,C,53,0
2019-03-28T10:42:33,C,53,0
2019-03-28T10:52:04,C,53,0
2019-03-28T11:03:07,C,53,0
2019-03-28T11:11:04,C,53,0
2019-03-28T11:22:04,C,53,0
2019-03-28T11:32:35,C,53,0
2019-03-28T11:42:35,C,53,0
2019-03-28T11:52:35,C,53,0
2019-03-28T12:02:06,C,53,0
2019-03-28T12:12:06,C,53,0
2019-03-28T12:22:36,C,53,0
2019-03-28T12:32:36,C,53,0
2019-03-28T12:42:36,C,53,0
2019-03-28T12:52:37,C,53,0
2019-03-28T13:03:07,C,53,0
2019-03-28T13:12:07,C,53,0
2019-03-28T13:22:07,C,53,0
2019-03-28T13:32:08,C,53,7
2019-03-28T13:42:37,C,53,7
2019-03-28T13:52:38,C,53,13
2019-03-28T14:02:38,C,53,13
2019-03-28T14:14:08,C,53,13
2019-03-28T14:23:09,C,53,12
2019-03-28T14:32:09,C,53,9
2019-03-28T14:42:09,C,53,12
2019-03-28T14:52:40,C,53,14
2019-03-28T15:02:40,C,53,13
2019-03-28T15:12:40,C,53,11
2019-03-28T15:22:41,C,53,8
2019-03-28T15:33:10,C,53,10
2019-03-28T15:53:11,C,53,11
2019-03-28T16:03:41,C,53,13
2019-03-28T16:24:42,C,53,14
2019-03-28T16:45:12,C,53,8
2019-03-28T16:54:13,C,53,10
2019-03-28T17:04:13,C,53,11
2019-03-28T17:14:13,C,53,12
2019-03-28T17:23:43,C,53,13
