date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:58:34,C,470,365
2019-03-26T13:09:35,C,470,368
2019-03-26T13:19:37,C,470,365
2019-03-26T13:30:55,C,470,361
2019-03-26T13:40:05,C,470,367
2019-03-26T13:50:23,C,470,367
2019-03-26T14:00:20,C,470,364
2019-03-26T14:10:25,C,470,362
2019-03-26T14:18:36,C,470,365
2019-03-26T14:29:36,C,470,368
2019-03-26T14:40:19,C,470,368
2019-03-26T14:49:36,C,470,366
2019-03-26T15:00:10,C,470,361
2019-03-26T15:11:22,C,470,360
2019-03-26T15:19:25,C,470,359
2019-03-26T15:29:37,C,470,361
2019-03-26T15:38:30,C,470,359
2019-03-26T15:49:37,C,470,357
2019-03-26T16:00:17,C,470,359
2019-03-26T16:09:38,C,470,363
2019-03-26T16:21:02,C,470,361
2019-03-26T16:29:38,C,470,360
2019-03-26T16:41:38,C,470,360
2019-03-26T16:51:53,C,470,360
2019-03-26T17:00:14,C,470,359
2019-03-26T17:09:43,C,470,357
2019-03-26T17:21:39,C,470,357
2019-03-26T17:31:14,C,470,357
2019-03-26T17:40:18,C,470,354
2019-03-26T17:49:39,C,470,352
2019-03-26T18:12:38,C,470,332
2019-03-26T18:30:28,C,470,327
2019-03-26T18:42:03,C,470,320
2019-03-26T18:52:40,C,470,313
2019-03-26T19:02:50,C,470,301
2019-03-26T19:10:39,C,470,294
2019-03-26T19:21:46,C,470,284
2019-03-26T19:31:43,C,470,277
2019-03-26T19:42:27,C,470,274
2019-03-26T19:53:43,C,470,275
2019-03-26T20:01:41,C,470,273
2019-03-26T20:11:45,C,470,268
2019-03-26T20:21:41,C,470,265
2019-03-26T20:33:41,C,470,257
2019-03-26T20:43:31,C,470,253
2019-03-26T20:52:18,C,470,248
2019-03-26T21:02:49,C,470,245
2019-03-26T21:12:11,C,470,239
2019-03-26T21:21:54,C,470,242
2019-03-26T21:31:35,C,470,235
2019-03-26T21:42:06,C,470,230
2019-03-26T21:52:18,C,470,229
2019-03-26T22:01:42,C,470,226
