date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:01:02,C,360,168
2019-03-26T13:09:59,C,360,169
2019-03-26T13:19:59,C,360,181
2019-03-26T13:30:30,C,360,185
2019-03-26T13:40:30,C,360,192
2019-03-26T13:50:59,C,360,191
2019-03-26T14:01:00,C,360,187
2019-03-26T14:10:00,C,360,184
2019-03-26T14:20:00,C,360,184
2019-03-26T14:30:30,C,360,183
2019-03-26T14:40:29,C,360,182
2019-03-26T14:51:29,C,360,177
2019-03-26T15:01:00,C,360,178
2019-03-26T15:11:00,C,360,174
2019-03-26T15:20:00,C,360,176
2019-03-26T15:31:01,C,360,175
2019-03-26T15:40:31,C,360,177
2019-03-26T15:51:31,C,360,174
2019-03-26T15:59:32,C,360,172
2019-03-26T16:10:01,C,360,179
2019-03-26T16:21:02,C,360,181
2019-03-26T16:31:33,C,360,180
2019-03-26T16:41:33,C,360,181
2019-03-26T16:51:32,C,360,185
2019-03-26T17:01:03,C,360,189
2019-03-26T17:12:03,C,360,193
2019-03-26T17:21:04,C,360,199
2019-03-26T17:31:04,C,360,202
2019-03-26T17:41:35,C,360,197
2019-03-26T17:51:36,C,360,190
2019-03-26T18:12:05,C,360,179
2019-03-26T18:31:35,C,360,171
2019-03-26T18:42:05,C,360,160
2019-03-26T18:52:36,C,360,158
2019-03-26T19:02:36,C,360,151
2019-03-26T19:13:06,C,360,149
2019-03-26T19:22:06,C,360,150
2019-03-26T19:33:07,C,360,159
2019-03-26T19:42:06,C,360,149
2019-03-26T19:53:37,C,360,148
2019-03-26T20:01:38,C,360,141
2019-03-26T20:13:08,C,360,143
2019-03-26T20:22:09,C,360,137
2019-03-26T20:33:08,C,360,136
2019-03-26T20:43:39,C,360,145
2019-03-26T20:53:39,C,360,153
2019-03-26T21:02:39,C,360,146
2019-03-26T21:13:09,C,360,151
2019-03-26T21:22:10,C,360,159
2019-03-26T21:33:40,C,360,159
2019-03-26T21:43:40,C,360,157
2019-03-26T21:53:39,C,360,152
2019-03-26T22:02:38,C,360,149
2019-03-26T22:13:09,C,360,144
2019-03-26T22:23:09,C,360,140
2019-03-26T22:33:09,C,360,135
2019-03-26T22:43:40,C,360,130
2019-03-26T22:52:40,C,360,131
2019-03-26T23:03:10,C,360,129
2019-03-26T23:14:11,C,360,130
2019-03-26T23:24:41,C,360,130
2019-03-26T23:34:42,C,360,130
2019-03-26T23:44:42,C,360,130
2019-03-26T23:54:11,C,360,132
2019-03-27T00:05:11,C,360,128
2019-03-27T00:13:12,C,360,128
2019-03-27T00:22:12,C,360,126
2019-03-27T00:29:12,C,360,126
2019-03-27T00:43:42,C,360,126
2019-03-27T00:54:43,C,360,123
2019-03-27T01:04:42,C,360,123
2019-03-27T01:15:13,C,360,123
2019-03-27T01:24:13,C,360,122
2019-03-27T01:34:13,C,360,122
2019-03-27T01:44:13,C,360,121
2019-03-27T01:54:45,C,360,120
2019-03-27T02:04:43,C,360,119
2019-03-27T02:14:44,C,360,118
2019-03-27T02:25:14,C,360,117
2019-03-27T02:34:14,C,360,117
2019-03-27T02:44:15,C,360,116
2019-03-27T02:55:15,C,360,116
2019-03-27T03:15:45,C,360,116
2019-03-27T03:25:45,C,360,116
2019-03-27T03:34:46,C,360,117
2019-03-27T03:46:16,C,360,116
2019-03-27T03:55:17,C,360,116
2019-03-27T04:05:16,C,360,124
2019-03-27T04:14:47,C,360,123
2019-03-27T04:24:47,C,360,123
2019-03-27T04:35:47,C,360,123
2019-03-27T04:44:47,C,360,123
2019-03-27T04:56:18,C,360,124
2019-03-27T05:05:04,C,360,124
2019-03-27T05:15:34,C,360,123
2019-03-27T05:25:34,C,360,124
2019-03-27T05:35:35,C,360,125
2019-03-27T05:45:35,C,360,125
2019-03-27T05:56:05,C,360,127
2019-03-27T06:06:05,C,360,129
2019-03-27T06:15:05,C,360,133
2019-03-27T06:25:36,C,360,133
2019-03-27T06:35:36,C,360,136
2019-03-27T06:45:37,C,360,140
