date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:58:30,C,401,393
2019-03-26T13:08:59,C,401,396
2019-03-26T13:19:00,C,401,396
2019-03-26T13:29:00,C,401,400
2019-03-26T13:38:30,C,401,400
2019-03-26T13:48:31,C,401,401
2019-03-26T13:58:31,C,401,395
2019-03-26T14:08:31,C,401,391
2019-03-26T14:19:01,C,401,391
2019-03-26T14:29:02,C,401,396
2019-03-26T14:39:02,C,401,396
2019-03-26T14:49:02,C,401,394
2019-03-26T14:58:32,C,401,395
2019-03-26T15:09:33,C,401,396
2019-03-26T15:18:33,C,401,399
2019-03-26T15:29:34,C,401,395
2019-03-26T15:39:04,C,401,393
2019-03-26T15:50:04,C,401,398
2019-03-26T15:58:04,C,401,397
2019-03-26T16:08:35,C,401,398
2019-03-26T16:19:35,C,401,399
2019-03-26T16:29:35,C,401,399
2019-03-26T16:39:35,C,401,393
2019-03-26T16:50:06,C,401,390
2019-03-26T17:00:06,C,401,390
2019-03-26T17:10:06,C,401,392
2019-03-26T17:19:06,C,401,390
2019-03-26T17:29:37,C,401,387
2019-03-26T17:39:37,C,401,386
2019-03-26T17:49:37,C,401,385
2019-03-26T18:11:08,C,401,386
2019-03-26T18:30:08,C,401,382
2019-03-26T18:40:39,C,401,380
2019-03-26T18:50:39,C,401,374
2019-03-26T19:00:39,C,401,371
2019-03-26T19:11:39,C,401,369
2019-03-26T19:21:10,C,401,369
2019-03-26T19:32:10,C,401,365
2019-03-26T19:40:10,C,401,363
2019-03-26T19:51:10,C,401,362
2019-03-26T20:00:41,C,401,364
2019-03-26T20:11:41,C,401,360
2019-03-26T20:20:41,C,401,362
2019-03-26T20:32:12,C,401,360
2019-03-26T20:42:12,C,401,363
2019-03-26T20:51:12,C,401,363
2019-03-26T21:01:12,C,401,363
2019-03-26T21:11:43,C,401,356
2019-03-26T21:20:43,C,401,357
2019-03-26T21:31:43,C,401,353
2019-03-26T21:41:44,C,401,353
2019-03-26T21:52:14,C,401,352
2019-03-26T22:00:14,C,401,351
2019-03-26T22:11:14,C,401,350
2019-03-26T22:21:15,C,401,350
2019-03-26T22:31:45,C,401,347
2019-03-26T22:41:45,C,401,344
2019-03-26T22:51:46,C,401,345
2019-03-26T23:02:16,C,401,344
2019-03-26T23:12:16,C,401,341
2019-03-26T23:22:16,C,401,338
2019-03-26T23:32:17,C,401,337
2019-03-26T23:42:47,C,401,336
2019-03-26T23:52:47,C,401,335
2019-03-27T00:02:47,C,401,334
2019-03-27T00:11:48,C,401,332
2019-03-27T00:21:18,C,401,332
2019-03-27T00:27:18,C,401,331
2019-03-27T00:41:19,C,401,330
2019-03-27T00:52:49,C,401,329
2019-03-27T01:02:50,C,401,329
2019-03-27T01:12:50,C,401,329
2019-03-27T01:22:50,C,401,329
2019-03-27T01:33:20,C,401,328
2019-03-27T01:42:20,C,401,328
2019-03-27T01:52:24,C,401,330
2019-03-27T02:02:21,C,401,330
2019-03-27T02:12:51,C,401,331
2019-03-27T02:22:51,C,401,331
2019-03-27T02:32:52,C,401,329
2019-03-27T02:42:55,C,401,330
2019-03-27T02:53:22,C,401,330
2019-03-27T03:13:23,C,401,328
2019-03-27T03:23:53,C,401,326
2019-03-27T03:32:53,C,401,326
2019-03-27T03:43:54,C,401,326
2019-03-27T03:53:54,C,401,327
2019-03-27T04:03:24,C,401,401
2019-03-27T04:12:24,C,401,401
2019-03-27T04:22:25,C,401,401
2019-03-27T04:33:25,C,401,401
2019-03-27T04:42:55,C,401,401
2019-03-27T04:53:56,C,401,401
2019-03-27T05:04:17,C,401,401
2019-03-27T05:13:18,C,401,401
2019-03-27T05:23:18,C,401,401
2019-03-27T05:33:18,C,401,400
2019-03-27T05:43:48,C,401,401
2019-03-27T05:53:49,C,401,400
2019-03-27T06:03:49,C,401,401
