date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:51:22,C,384,370
2019-03-26T13:01:22,C,384,370
2019-03-26T13:11:22,C,384,367
2019-03-26T13:21:23,C,384,374
2019-03-26T13:31:23,C,384,374
2019-03-26T13:41:23,C,384,377
2019-03-26T13:51:23,C,384,376
2019-03-26T14:01:24,C,384,375
2019-03-26T14:11:24,C,384,378
2019-03-26T14:21:24,C,384,379
2019-03-26T14:31:55,C,384,377
2019-03-26T14:42:55,C,384,378
2019-03-26T14:51:55,C,384,377
2019-03-26T15:02:56,C,384,376
2019-03-26T15:11:56,C,384,377
2019-03-26T15:22:56,C,384,377
2019-03-26T15:31:56,C,384,376
2019-03-26T15:42:57,C,384,374
2019-03-26T15:51:57,C,384,369
2019-03-26T16:01:57,C,384,368
2019-03-26T16:12:58,C,384,365
2019-03-26T16:22:58,C,384,368
2019-03-26T16:32:58,C,384,369
2019-03-26T16:42:58,C,384,368
2019-03-26T16:52:59,C,384,368
2019-03-26T17:02:59,C,384,370
2019-03-26T17:12:59,C,384,368
2019-03-26T17:23:00,C,384,365
2019-03-26T17:33:00,C,384,360
2019-03-26T17:43:00,C,384,361
2019-03-26T18:04:01,C,384,351
2019-03-26T18:24:01,C,384,342
2019-03-26T18:34:02,C,384,336
2019-03-26T18:44:02,C,384,329
2019-03-26T18:54:02,C,384,315
2019-03-26T19:05:03,C,384,306
2019-03-26T19:14:03,C,384,308
2019-03-26T19:25:03,C,384,302
2019-03-26T19:34:03,C,384,303
2019-03-26T19:45:04,C,384,300
2019-03-26T19:54:04,C,384,299
2019-03-26T20:05:04,C,384,292
2019-03-26T20:14:05,C,384,290
2019-03-26T20:25:05,C,384,287
2019-03-26T20:35:05,C,384,281
2019-03-26T20:45:06,C,384,278
2019-03-26T20:55:06,C,384,273
2019-03-26T21:05:06,C,384,270
2019-03-26T21:14:06,C,384,270
2019-03-26T21:25:07,C,384,266
2019-03-26T21:35:07,C,384,263
2019-03-26T21:45:07,C,384,262
2019-03-26T21:54:08,C,384,261
2019-03-26T22:05:08,C,384,263
2019-03-26T22:15:08,C,384,261
2019-03-26T22:25:08,C,384,259
2019-03-26T22:35:09,C,384,256
2019-03-26T22:44:09,C,384,255
2019-03-26T22:54:09,C,384,256
2019-03-26T23:05:10,C,384,253
2019-03-26T23:15:10,C,384,249
2019-03-26T23:25:10,C,384,248
2019-03-26T23:35:11,C,384,246
2019-03-26T23:45:11,C,384,245
2019-03-26T23:55:11,C,384,244
2019-03-27T00:04:11,C,384,242
2019-03-27T00:13:12,C,384,240
2019-03-27T00:20:12,C,384,239
2019-03-27T00:34:12,C,384,238
2019-03-27T00:45:13,C,384,238
2019-03-27T00:55:13,C,384,239
2019-03-27T01:05:13,C,384,237
2019-03-27T01:15:13,C,384,237
2019-03-27T01:25:14,C,384,236
2019-03-27T01:35:14,C,384,238
2019-03-27T01:45:14,C,384,238
2019-03-27T01:55:15,C,384,238
2019-03-27T02:05:15,C,384,239
2019-03-27T02:15:15,C,384,238
2019-03-27T02:25:16,C,384,237
2019-03-27T02:35:16,C,384,236
2019-03-27T02:46:18,C,384,236
2019-03-27T03:06:18,C,384,236
2019-03-27T03:16:19,C,384,236
2019-03-27T03:25:19,C,384,236
2019-03-27T03:36:19,C,384,235
2019-03-27T03:46:20,C,384,235
2019-03-27T03:56:20,C,384,235
2019-03-27T04:05:20,C,384,236
2019-03-27T04:15:21,C,384,236
2019-03-27T04:26:21,C,384,235
2019-03-27T04:35:21,C,384,235
2019-03-27T04:46:21,C,384,236
2019-03-27T04:56:22,C,384,237
2019-03-27T05:06:22,C,384,237
2019-03-27T05:16:22,C,384,238
2019-03-27T05:26:23,C,384,239
2019-03-27T05:36:23,C,384,239
2019-03-27T05:46:23,C,384,238
2019-03-27T05:56:24,C,384,240
2019-03-27T06:06:24,C,384,243
2019-03-27T06:16:24,C,384,247
2019-03-27T06:26:25,C,384,249
2019-03-27T06:36:25,C,384,256
2019-03-27T06:46:25,C,384,272
2019-03-27T06:56:25,C,384,283
2019-03-27T07:07:26,C,384,299
2019-03-27T07:16:26,C,384,302
2019-03-27T07:26:26,C,384,306
2019-03-27T07:36:27,C,384,314
2019-03-27T07:46:27,C,384,321
2019-03-27T07:57:27,C,384,321
2019-03-27T08:06:28,C,384,330
2019-03-27T08:16:28,C,384,340
2019-03-27T08:27:28,C,384,341
2019-03-27T08:36:28,C,384,347
2019-03-27T08:46:29,C,384,356
2019-03-27T08:57:29,C,384,358
2019-03-27T09:07:29,C,384,359
2019-03-27T09:16:30,C,384,361
2019-03-27T09:27:30,C,384,361
2019-03-27T09:36:30,C,384,364
