date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:53,C,211,113
2019-03-26T13:09:52,C,211,120
2019-03-26T13:20:23,C,211,132
2019-03-26T13:30:23,C,211,136
2019-03-26T13:40:22,C,211,136
2019-03-26T13:50:53,C,211,147
2019-03-26T14:00:53,C,211,156
2019-03-26T14:09:53,C,211,160
2019-03-26T14:20:23,C,211,162
2019-03-26T14:30:24,C,211,163
2019-03-26T14:40:23,C,211,163
2019-03-26T14:51:53,C,211,159
2019-03-26T15:00:54,C,211,159
2019-03-26T15:10:54,C,211,158
2019-03-26T15:20:23,C,211,158
2019-03-26T15:31:24,C,211,157
2019-03-26T15:40:23,C,211,157
2019-03-26T15:51:54,C,211,162
2019-03-26T15:59:54,C,211,162
2019-03-26T16:09:54,C,211,160
2019-03-26T16:21:24,C,211,157
2019-03-26T16:31:24,C,211,155
2019-03-26T16:41:25,C,211,153
2019-03-26T16:51:53,C,211,157
2019-03-26T17:01:54,C,211,154
2019-03-26T17:11:54,C,211,159
2019-03-26T17:20:54,C,211,160
2019-03-26T17:31:23,C,211,157
2019-03-26T17:41:24,C,211,156
2019-03-26T17:51:24,C,211,156
2019-03-26T18:11:54,C,211,149
2019-03-26T18:32:24,C,211,151
2019-03-26T18:42:25,C,211,150
2019-03-26T18:52:24,C,211,149
2019-03-26T19:02:55,C,211,145
2019-03-26T19:12:54,C,211,147
2019-03-26T19:21:54,C,211,146
2019-03-26T19:33:25,C,211,138
2019-03-26T19:42:26,C,211,140
2019-03-26T19:53:25,C,211,138
2019-03-26T20:01:56,C,211,141
2019-03-26T20:12:55,C,211,132
2019-03-26T20:22:25,C,211,132
2019-03-26T20:33:25,C,211,128
2019-03-26T20:43:25,C,211,127
2019-03-26T20:53:55,C,211,130
2019-03-26T21:02:57,C,211,129
2019-03-26T21:12:55,C,211,129
2019-03-26T21:22:26,C,211,130
2019-03-26T21:33:30,C,211,127
2019-03-26T21:43:28,C,211,124
2019-03-26T21:53:55,C,211,119
2019-03-26T22:02:54,C,211,118
2019-03-26T22:12:54,C,211,115
2019-03-26T22:23:24,C,211,115
2019-03-26T22:33:25,C,211,114
2019-03-26T22:43:24,C,211,113
2019-03-26T22:52:54,C,211,117
2019-03-26T23:02:54,C,211,115
2019-03-26T23:14:24,C,211,112
2019-03-26T23:24:24,C,211,110
2019-03-26T23:34:24,C,211,109
2019-03-26T23:44:54,C,211,109
2019-03-26T23:53:54,C,211,110
2019-03-27T00:04:54,C,211,108
2019-03-27T00:13:24,C,211,108
2019-03-27T00:22:24,C,211,107
2019-03-27T00:29:25,C,211,106
2019-03-27T00:43:24,C,211,105
2019-03-27T00:54:54,C,211,105
2019-03-27T01:04:54,C,211,105
2019-03-27T01:14:54,C,211,105
2019-03-27T01:24:24,C,211,103
2019-03-27T01:34:27,C,211,104
2019-03-27T01:44:24,C,211,103
2019-03-27T01:54:25,C,211,103
2019-03-27T02:04:54,C,211,104
2019-03-27T02:14:54,C,211,103
2019-03-27T02:24:55,C,211,103
2019-03-27T02:33:54,C,211,103
2019-03-27T02:44:25,C,211,103
2019-03-27T02:55:25,C,211,103
2019-03-27T03:15:55,C,211,103
2019-03-27T03:25:55,C,211,103
2019-03-27T03:34:55,C,211,101
2019-03-27T03:45:55,C,211,102
2019-03-27T03:55:25,C,211,102
2019-03-27T04:05:25,C,211,102
2019-03-27T04:14:25,C,211,102
2019-03-27T04:24:55,C,211,102
2019-03-27T04:35:55,C,211,102
2019-03-27T04:44:55,C,211,102
2019-03-27T04:55:55,C,211,102
2019-03-27T05:05:26,C,211,100
2019-03-27T05:15:27,C,211,101
2019-03-27T05:25:27,C,211,98
2019-03-27T05:35:27,C,211,101
2019-03-27T05:45:57,C,211,101
2019-03-27T05:55:57,C,211,103
2019-03-27T06:05:58,C,211,103
2019-03-27T06:14:58,C,211,104
2019-03-27T06:25:28,C,211,107
2019-03-27T06:35:29,C,211,108
2019-03-27T06:45:29,C,211,112
2019-03-27T06:55:58,C,211,117
2019-03-27T07:05:58,C,211,118
2019-03-27T07:16:00,C,211,118
2019-03-27T07:24:59,C,211,123
2019-03-27T07:35:29,C,211,131
2019-03-27T07:45:29,C,211,128
2019-03-27T07:55:29,C,211,135
2019-03-27T08:07:00,C,211,135
2019-03-27T08:16:00,C,211,137
2019-03-27T08:26:00,C,211,144
2019-03-27T08:36:01,C,211,150
2019-03-27T08:45:30,C,211,151
2019-03-27T08:55:31,C,211,151
2019-03-27T09:06:31,C,211,150
2019-03-27T09:17:03,C,211,147
2019-03-27T09:26:01,C,211,146
2019-03-27T09:36:01,C,211,146
2019-03-27T09:45:31,C,211,149
2019-03-27T09:56:31,C,211,145
2019-03-27T10:06:31,C,211,144
2019-03-27T10:16:32,C,211,151
2019-03-27T10:27:02,C,211,149
2019-03-27T10:36:02,C,211,150
2019-03-27T10:46:02,C,211,154
2019-03-27T10:56:03,C,211,155
2019-03-27T11:06:33,C,211,156
2019-03-27T11:16:33,C,211,158
2019-03-27T11:26:33,C,211,157
2019-03-27T11:36:34,C,211,154
2019-03-27T11:47:03,C,211,153
2019-03-27T11:58:04,C,211,139
2019-03-27T12:06:04,C,211,139
2019-03-27T12:17:35,C,211,128
2019-03-27T12:27:35,C,211,116
2019-03-27T12:36:35,C,211,110
2019-03-27T12:47:35,C,211,105
2019-03-27T12:57:05,C,211,110
2019-03-27T13:08:06,C,211,123
2019-03-27T13:16:05,C,211,134
2019-03-27T13:27:36,C,211,147
2019-03-27T13:36:36,C,211,149
2019-03-27T13:47:36,C,211,155
2019-03-27T13:56:36,C,211,155
2019-03-27T14:08:06,C,211,150
2019-03-27T14:17:07,C,211,154
2019-03-27T14:27:07,C,211,159
2019-03-27T14:37:08,C,211,153
2019-03-27T14:47:37,C,211,153
2019-03-27T14:56:38,C,211,157
2019-03-27T15:07:38,C,211,157
2019-03-27T15:17:38,C,211,158
2019-03-27T15:27:08,C,211,161
2019-03-27T15:37:09,C,211,157
2019-03-27T15:47:09,C,211,155
2019-03-27T15:57:42,C,211,156
2019-03-27T16:07:40,C,211,160
2019-03-27T16:17:41,C,211,160
2019-03-27T16:28:41,C,211,157
2019-03-27T16:39:11,C,211,161
2019-03-27T16:48:11,C,211,161
2019-03-27T16:58:11,C,211,160
2019-03-27T17:08:11,C,211,165
2019-03-27T17:18:42,C,211,161
2019-03-27T17:27:43,C,211,155
2019-03-27T17:38:42,C,211,155
2019-03-27T17:48:13,C,211,152
2019-03-27T17:57:13,C,211,148
