date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:49,C,417,317
2019-03-26T13:09:49,C,417,320
2019-03-26T13:20:49,C,417,322
2019-03-26T13:30:49,C,417,318
2019-03-26T13:40:49,C,417,318
2019-03-26T13:50:49,C,417,316
2019-03-26T14:00:49,C,417,307
2019-03-26T14:09:50,C,417,308
2019-03-26T14:19:50,C,417,302
2019-03-26T14:29:50,C,417,300
2019-03-26T14:40:50,C,417,304
2019-03-26T14:51:50,C,417,306
2019-03-26T15:00:50,C,417,300
2019-03-26T15:11:50,C,417,303
2019-03-26T15:19:50,C,417,306
2019-03-26T15:30:51,C,417,302
2019-03-26T15:39:51,C,417,311
2019-03-26T15:51:51,C,417,309
2019-03-26T16:00:51,C,417,310
2019-03-26T16:10:51,C,417,311
2019-03-26T16:21:51,C,417,311
2019-03-26T16:30:51,C,417,305
2019-03-26T16:40:52,C,417,308
2019-03-26T16:50:52,C,417,307
2019-03-26T17:01:52,C,417,304
2019-03-26T17:11:52,C,417,305
2019-03-26T17:21:52,C,417,302
2019-03-26T17:31:52,C,417,305
2019-03-26T17:40:52,C,417,304
2019-03-26T17:50:52,C,417,302
2019-03-26T18:12:53,C,417,302
2019-03-26T18:32:53,C,417,284
2019-03-26T18:42:53,C,417,270
2019-03-26T18:51:53,C,417,264
2019-03-26T19:01:53,C,417,254
2019-03-26T19:12:53,C,417,247
2019-03-26T19:21:54,C,417,245
2019-03-26T19:33:54,C,417,238
2019-03-26T19:42:54,C,417,237
2019-03-26T19:53:54,C,417,233
2019-03-26T20:02:54,C,417,229
2019-03-26T20:12:54,C,417,218
2019-03-26T20:21:54,C,417,219
2019-03-26T20:32:55,C,417,213
2019-03-26T20:43:55,C,417,212
2019-03-26T20:53:55,C,417,213
2019-03-26T21:03:55,C,417,214
2019-03-26T21:13:55,C,417,209
2019-03-26T21:21:55,C,417,211
2019-03-26T21:32:55,C,417,211
2019-03-26T21:42:55,C,417,205
2019-03-26T21:53:56,C,417,203
2019-03-26T22:02:56,C,417,203
2019-03-26T22:13:56,C,417,195
2019-03-26T22:23:56,C,417,194
2019-03-26T22:32:56,C,417,187
2019-03-26T22:42:56,C,417,181
2019-03-26T22:52:56,C,417,175
2019-03-26T23:02:57,C,417,172
2019-03-26T23:14:57,C,417,172
2019-03-26T23:24:57,C,417,165
2019-03-26T23:34:57,C,417,165
2019-03-26T23:43:57,C,417,161
2019-03-26T23:53:57,C,417,154
2019-03-27T00:03:57,C,417,154
2019-03-27T00:12:57,C,417,153
2019-03-27T00:22:58,C,417,152
2019-03-27T00:29:58,C,417,149
2019-03-27T00:43:58,C,417,143
2019-03-27T00:53:58,C,417,143
2019-03-27T01:03:58,C,417,141
2019-03-27T01:13:58,C,417,141
2019-03-27T01:23:58,C,417,141
2019-03-27T01:34:59,C,417,139
2019-03-27T01:44:59,C,417,138
2019-03-27T01:54:59,C,417,136
2019-03-27T02:04:59,C,417,132
2019-03-27T02:13:59,C,417,133
2019-03-27T02:23:59,C,417,131
2019-03-27T02:33:59,C,417,131
2019-03-27T02:43:59,C,417,131
2019-03-27T02:56:00,C,417,130
2019-03-27T03:15:36,C,417,131
2019-03-27T03:24:36,C,417,130
2019-03-27T03:34:37,C,417,141
2019-03-27T03:45:37,C,417,140
2019-03-27T03:55:37,C,417,141
2019-03-27T04:05:37,C,417,141
2019-03-27T04:14:37,C,417,141
2019-03-27T04:24:37,C,417,141
2019-03-27T04:34:37,C,417,141
2019-03-27T04:43:37,C,417,143
2019-03-27T04:55:38,C,417,142
2019-03-27T05:05:38,C,417,142
2019-03-27T05:15:38,C,417,142
2019-03-27T05:25:38,C,417,144
2019-03-27T05:35:38,C,417,142
2019-03-27T05:44:38,C,417,149
2019-03-27T05:54:38,C,417,156
2019-03-27T06:05:39,C,417,162
2019-03-27T06:15:39,C,417,164
2019-03-27T06:25:39,C,417,167
2019-03-27T06:35:39,C,417,170
2019-03-27T06:45:39,C,417,175
2019-03-27T06:54:39,C,417,189
2019-03-27T07:04:39,C,417,200
2019-03-27T07:16:40,C,417,223
2019-03-27T07:25:40,C,417,222
2019-03-27T07:35:40,C,417,233
2019-03-27T07:45:40,C,417,240
2019-03-27T07:55:40,C,417,252
2019-03-27T08:06:40,C,417,267
2019-03-27T08:14:40,C,417,273
2019-03-27T08:24:40,C,417,277
2019-03-27T08:36:41,C,417,285
2019-03-27T08:45:41,C,417,292
2019-03-27T08:55:41,C,417,301
2019-03-27T09:06:41,C,417,310
2019-03-27T09:16:41,C,417,310
2019-03-27T09:24:41,C,417,310
2019-03-27T09:35:41,C,417,320
2019-03-27T09:45:41,C,417,323
2019-03-27T09:56:42,C,417,326
2019-03-27T10:06:42,C,417,330
2019-03-27T10:16:42,C,417,328
2019-03-27T10:26:42,C,417,326
2019-03-27T10:34:42,C,417,328
2019-03-27T10:45:42,C,417,332
2019-03-27T10:56:42,C,417,329
