date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:58:16,C,1494,717
2019-03-26T13:08:17,C,1494,713
2019-03-26T13:18:17,C,1494,721
2019-03-26T13:28:17,C,1494,722
2019-03-26T13:38:17,C,1494,722
2019-03-26T13:48:18,C,1494,714
2019-03-26T13:58:18,C,1494,713
2019-03-26T14:08:18,C,1494,708
2019-03-26T14:18:19,C,1494,716
2019-03-26T14:28:19,C,1494,705
2019-03-26T14:38:19,C,1494,695
2019-03-26T14:48:19,C,1494,691
2019-03-26T14:58:20,C,1494,691
2019-03-26T15:08:20,C,1494,689
2019-03-26T15:18:20,C,1494,688
2019-03-26T15:28:21,C,1494,687
2019-03-26T15:38:21,C,1494,680
2019-03-26T15:48:21,C,1494,678
2019-03-26T15:58:22,C,1494,681
2019-03-26T16:08:22,C,1494,677
2019-03-26T16:18:22,C,1494,670
2019-03-26T16:28:22,C,1494,668
2019-03-26T16:38:23,C,1494,673
2019-03-26T16:48:23,C,1494,671
2019-03-26T16:58:23,C,1494,669
2019-03-26T17:08:24,C,1494,662
2019-03-26T17:18:24,C,1494,661
2019-03-26T17:28:24,C,1494,664
2019-03-26T17:38:24,C,1494,665
2019-03-26T17:48:25,C,1494,663
2019-03-26T18:10:25,C,1494,657
2019-03-26T18:30:26,C,1494,624
2019-03-26T18:40:26,C,1494,611
2019-03-26T18:50:27,C,1494,593
2019-03-26T19:00:27,C,1494,581
2019-03-26T19:10:27,C,1494,581
2019-03-26T19:20:27,C,1494,577
2019-03-26T19:30:28,C,1494,567
2019-03-26T19:40:28,C,1494,565
2019-03-26T19:50:28,C,1494,564
2019-03-26T20:00:29,C,1494,558
2019-03-26T20:10:29,C,1494,548
2019-03-26T20:20:29,C,1494,542
2019-03-26T20:30:29,C,1494,522
2019-03-26T20:40:30,C,1494,514
2019-03-26T20:50:30,C,1494,504
2019-03-26T21:00:30,C,1494,498
2019-03-26T21:10:31,C,1494,501
2019-03-26T21:20:31,C,1494,501
2019-03-26T21:30:31,C,1494,496
2019-03-26T21:40:31,C,1494,487
2019-03-26T21:50:32,C,1494,481
2019-03-26T22:00:32,C,1494,478
2019-03-26T22:10:32,C,1494,461
2019-03-26T22:20:33,C,1494,467
2019-03-26T22:30:33,C,1494,458
2019-03-26T22:40:33,C,1494,450
2019-03-26T22:50:34,C,1494,454
2019-03-26T23:00:34,C,1494,459
2019-03-26T23:12:34,C,1494,460
2019-03-26T23:22:34,C,1494,447
2019-03-26T23:32:35,C,1494,448
2019-03-26T23:42:35,C,1494,448
2019-03-26T23:52:35,C,1494,447
2019-03-27T00:02:36,C,1494,450
2019-03-27T00:11:06,C,1494,446
2019-03-27T00:21:06,C,1494,443
2019-03-27T00:27:06,C,1494,439
2019-03-27T00:41:07,C,1494,442
2019-03-27T00:53:07,C,1494,441
2019-03-27T01:03:07,C,1494,444
2019-03-27T01:13:08,C,1494,445
2019-03-27T01:23:08,C,1494,444
2019-03-27T01:33:08,C,1494,444
2019-03-27T01:43:09,C,1494,441
2019-03-27T01:53:09,C,1494,442
2019-03-27T02:03:09,C,1494,442
2019-03-27T02:13:09,C,1494,441
2019-03-27T02:23:10,C,1494,440
2019-03-27T02:33:10,C,1494,440
2019-03-27T02:43:10,C,1494,439
2019-03-27T02:53:07,C,1494,438
2019-03-27T03:13:07,C,1494,438
2019-03-27T03:23:08,C,1494,435
2019-03-27T03:33:08,C,1494,434
2019-03-27T03:43:08,C,1494,434
2019-03-27T03:53:08,C,1494,433
2019-03-27T04:03:09,C,1494,429
2019-03-27T04:13:09,C,1494,430
2019-03-27T04:23:09,C,1494,430
2019-03-27T04:33:10,C,1494,428
2019-03-27T04:43:10,C,1494,431
2019-03-27T04:53:10,C,1494,429
2019-03-27T05:03:10,C,1494,425
2019-03-27T05:13:11,C,1494,432
2019-03-27T05:23:11,C,1494,433
2019-03-27T05:33:11,C,1494,434
2019-03-27T05:43:12,C,1494,438
2019-03-27T05:53:12,C,1494,441
2019-03-27T06:03:12,C,1494,443
2019-03-27T06:13:12,C,1494,450
2019-03-27T06:23:13,C,1494,460
2019-03-27T06:33:13,C,1494,479
2019-03-27T06:43:13,C,1494,492
2019-03-27T06:53:14,C,1494,521
2019-03-27T07:03:14,C,1494,547
2019-03-27T07:13:14,C,1494,575
2019-03-27T07:23:14,C,1494,595
