date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:58:35,C,966,104
2019-03-26T13:09:05,C,966,104
2019-03-26T13:19:05,C,966,104
2019-03-26T13:29:05,C,966,104
2019-03-26T13:38:06,C,966,104
2019-03-26T13:48:36,C,966,104
2019-03-26T13:58:36,C,966,104
2019-03-26T14:08:39,C,966,104
2019-03-26T14:18:37,C,966,104
2019-03-26T14:29:07,C,966,104
2019-03-26T14:39:07,C,966,104
2019-03-26T14:49:08,C,966,104
2019-03-26T14:58:08,C,966,104
2019-03-26T15:09:38,C,966,104
2019-03-26T15:18:38,C,966,104
2019-03-26T15:29:39,C,966,104
2019-03-26T15:39:09,C,966,104
2019-03-26T15:50:09,C,966,104
2019-03-26T15:58:10,C,966,104
2019-03-26T16:08:10,C,966,104
2019-03-26T16:19:40,C,966,104
2019-03-26T16:29:40,C,966,104
2019-03-26T16:39:41,C,966,104
2019-03-26T16:49:41,C,966,104
2019-03-26T17:00:11,C,966,104
2019-03-26T17:10:12,C,966,104
2019-03-26T17:19:12,C,966,104
2019-03-26T17:29:42,C,966,104
2019-03-26T17:39:42,C,966,104
2019-03-26T17:49:43,C,966,104
2019-03-26T18:11:14,C,966,104
2019-03-26T18:30:14,C,966,104
2019-03-26T18:40:14,C,966,104
2019-03-26T18:50:44,C,966,104
2019-03-26T19:00:45,C,966,104
2019-03-26T19:11:45,C,966,104
2019-03-26T19:20:45,C,966,104
2019-03-26T19:32:15,C,966,104
2019-03-26T19:40:16,C,966,104
2019-03-26T19:51:16,C,966,104
2019-03-26T20:00:46,C,966,104
2019-03-26T20:11:47,C,966,104
2019-03-26T20:20:47,C,966,104
2019-03-26T20:31:47,C,966,104
2019-03-26T20:42:17,C,966,104
2019-03-26T20:51:18,C,966,104
2019-03-26T21:01:18,C,966,104
2019-03-26T21:11:18,C,966,104
2019-03-26T21:20:48,C,966,104
2019-03-26T21:31:49,C,966,104
2019-03-26T21:41:49,C,966,104
2019-03-26T21:52:19,C,966,104
2019-03-26T22:00:20,C,966,104
2019-03-26T22:11:20,C,966,104
2019-03-26T22:21:20,C,966,104
2019-03-26T22:31:51,C,966,104
2019-03-26T22:41:51,C,966,104
2019-03-26T22:51:51,C,966,104
2019-03-26T23:01:51,C,966,104
2019-03-26T23:12:22,C,966,104
2019-03-26T23:22:22,C,966,104
2019-03-26T23:32:22,C,966,104
2019-03-26T23:42:22,C,966,104
2019-03-26T23:52:53,C,966,104
2019-03-27T00:02:56,C,966,104
2019-03-27T00:11:53,C,966,104
2019-03-27T00:20:54,C,966,104
2019-03-27T00:27:24,C,966,104
2019-03-27T00:41:25,C,966,104
2019-03-27T00:52:24,C,966,104
2019-03-27T01:02:55,C,966,104
2019-03-27T01:12:56,C,966,104
2019-03-27T01:22:55,C,966,104
2019-03-27T01:32:56,C,966,104
2019-03-27T01:42:26,C,966,104
2019-03-27T01:52:26,C,966,104
2019-03-27T02:02:29,C,966,104
2019-03-27T02:12:27,C,966,104
2019-03-27T02:23:00,C,966,104
2019-03-27T02:32:57,C,966,104
2019-03-27T02:42:57,C,966,104
2019-03-27T02:53:28,C,966,104
2019-03-27T03:13:28,C,966,104
2019-03-27T03:23:29,C,966,104
2019-03-27T03:32:59,C,966,104
2019-03-27T03:43:59,C,966,104
2019-03-27T03:53:59,C,966,104
2019-03-27T04:03:00,C,966,104
2019-03-27T04:12:30,C,966,104
2019-03-27T04:22:30,C,966,104
2019-03-27T04:33:31,C,966,104
2019-03-27T04:42:31,C,966,104
2019-03-27T04:54:01,C,966,104
2019-03-27T05:03:49,C,966,103
2019-03-27T05:13:19,C,966,103
2019-03-27T05:23:20,C,966,103
2019-03-27T05:33:20,C,966,103
2019-03-27T05:43:50,C,966,103
2019-03-27T05:53:50,C,966,103
2019-03-27T06:03:51,C,966,103
2019-03-27T06:13:51,C,966,103
2019-03-27T06:24:21,C,966,103
2019-03-27T06:33:21,C,966,103
2019-03-27T06:43:22,C,966,103
2019-03-27T06:53:22,C,966,103
2019-03-27T07:03:52,C,966,103
2019-03-27T07:14:53,C,966,103
2019-03-27T07:23:53,C,966,103
2019-03-27T07:33:53,C,966,103
2019-03-27T07:43:23,C,966,103
2019-03-27T07:53:24,C,966,103
2019-03-27T08:04:24,C,966,103
2019-03-27T08:13:54,C,966,103
2019-03-27T08:23:55,C,966,103
2019-03-27T08:34:55,C,966,103
2019-03-27T08:43:55,C,966,103
2019-03-27T08:53:25,C,966,103
2019-03-27T09:04:26,C,966,103
2019-03-27T09:14:26,C,966,103
2019-03-27T09:23:26,C,966,103
2019-03-27T09:34:57,C,966,103
2019-03-27T09:43:57,C,966,103
2019-03-27T09:54:57,C,966,103
2019-03-27T10:03:57,C,966,103
2019-03-27T10:14:28,C,966,103
2019-03-27T10:24:28,C,966,103
2019-03-27T10:33:28,C,966,103
2019-03-27T10:44:59,C,966,103
2019-03-27T10:54:59,C,966,103
2019-03-27T11:04:59,C,966,103
2019-03-27T11:14:59,C,966,103
2019-03-27T11:24:30,C,966,103
2019-03-27T11:34:30,C,966,103
2019-03-27T11:44:30,C,966,103
2019-03-27T11:55:31,C,966,103
2019-03-27T12:05:01,C,966,103
2019-03-27T12:16:01,C,966,103
2019-03-27T12:26:01,C,966,103
2019-03-27T12:34:02,C,966,103
2019-03-27T12:45:32,C,966,103
2019-03-27T12:54:32,C,966,103
2019-03-27T13:05:33,C,966,103
2019-03-27T13:15:03,C,966,103
2019-03-27T13:26:03,C,966,103
2019-03-27T13:35:03,C,966,103
2019-03-27T13:45:04,C,966,103
2019-03-27T13:54:34,C,966,103
2019-03-27T14:05:34,C,966,103
2019-03-27T14:14:34,C,966,103
2019-03-27T14:25:35,C,966,103
2019-03-27T14:36:05,C,966,103
2019-03-27T14:46:05,C,966,103
2019-03-27T14:54:06,C,966,103
