date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:01:06,C,266,153
2019-03-26T13:10:06,C,266,155
2019-03-26T13:20:07,C,266,154
2019-03-26T13:30:37,C,266,160
2019-03-26T13:40:37,C,266,164
2019-03-26T13:50:37,C,266,170
2019-03-26T14:01:07,C,266,172
2019-03-26T14:10:07,C,266,178
2019-03-26T14:20:08,C,266,179
2019-03-26T14:30:38,C,266,181
2019-03-26T14:40:37,C,266,181
2019-03-26T14:51:38,C,266,185
2019-03-26T15:00:37,C,266,182
2019-03-26T15:11:08,C,266,184
2019-03-26T15:20:07,C,266,190
2019-03-26T15:31:38,C,266,190
2019-03-26T15:40:38,C,266,190
2019-03-26T15:51:38,C,266,187
2019-03-26T15:59:38,C,266,189
2019-03-26T16:10:08,C,266,184
2019-03-26T16:21:08,C,266,184
2019-03-26T16:31:38,C,266,183
2019-03-26T16:41:38,C,266,184
2019-03-26T16:51:38,C,266,193
2019-03-26T17:01:38,C,266,197
2019-03-26T17:12:08,C,266,199
2019-03-26T17:21:09,C,266,195
2019-03-26T17:30:38,C,266,193
2019-03-26T17:41:11,C,266,191
2019-03-26T17:51:08,C,266,194
2019-03-26T18:12:08,C,266,190
2019-03-26T18:32:08,C,266,186
2019-03-26T18:42:08,C,266,174
2019-03-26T18:52:39,C,266,162
2019-03-26T19:02:42,C,266,161
2019-03-26T19:13:08,C,266,149
2019-03-26T19:22:09,C,266,145
2019-03-26T19:33:09,C,266,144
2019-03-26T19:42:09,C,266,150
2019-03-26T19:53:39,C,266,147
2019-03-26T20:01:09,C,266,142
2019-03-26T20:13:09,C,266,143
2019-03-26T20:22:10,C,266,146
2019-03-26T20:33:09,C,266,146
2019-03-26T20:43:42,C,266,150
2019-03-26T20:53:39,C,266,154
2019-03-26T21:02:39,C,266,152
2019-03-26T21:13:09,C,266,160
2019-03-26T21:22:10,C,266,164
2019-03-26T21:33:39,C,266,168
2019-03-26T21:43:39,C,266,173
