date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:55,C,84,35
2019-03-26T13:10:55,C,84,34
2019-03-26T13:20:56,C,84,32
2019-03-26T13:29:55,C,84,33
2019-03-26T13:40:28,C,84,36
2019-03-26T13:50:24,C,84,35
2019-03-26T14:00:27,C,84,37
2019-03-26T14:10:54,C,84,36
2019-03-26T14:20:55,C,84,35
2019-03-26T14:29:57,C,84,38
2019-03-26T14:39:57,C,84,37
2019-03-26T14:51:25,C,84,37
2019-03-26T15:00:25,C,84,37
2019-03-26T15:11:55,C,84,39
2019-03-26T15:20:54,C,84,41
2019-03-26T15:30:56,C,84,43
2019-03-26T15:39:54,C,84,44
2019-03-26T15:51:24,C,84,41
2019-03-26T16:00:26,C,84,40
2019-03-26T16:10:30,C,84,37
2019-03-26T16:21:55,C,84,38
2019-03-26T16:31:56,C,84,40
2019-03-26T16:40:55,C,84,43
2019-03-26T16:51:24,C,84,47
2019-03-26T17:01:26,C,84,51
2019-03-26T17:11:27,C,84,51
2019-03-26T17:21:55,C,84,51
2019-03-26T17:30:57,C,84,59
2019-03-26T17:40:59,C,84,61
2019-03-26T17:50:55,C,84,60
2019-03-26T18:12:28,C,84,59
2019-03-26T18:32:57,C,84,55
2019-03-26T18:41:55,C,84,53
2019-03-26T18:51:57,C,84,53
2019-03-26T19:02:28,C,84,53
2019-03-26T19:13:28,C,84,56
2019-03-26T19:22:58,C,84,58
2019-03-26T19:33:57,C,84,56
2019-03-26T19:41:59,C,84,57
2019-03-26T19:53:27,C,84,54
2019-03-26T20:01:58,C,84,51
2019-03-26T20:13:28,C,84,50
2019-03-26T20:22:59,C,84,50
2019-03-26T20:32:57,C,84,50
2019-03-26T20:42:57,C,84,51
2019-03-26T20:53:30,C,84,48
2019-03-26T21:03:28,C,84,44
2019-03-26T21:13:58,C,84,43
2019-03-26T21:23:01,C,84,41
2019-03-26T21:32:58,C,84,39
2019-03-26T21:43:29,C,84,38
2019-03-26T21:53:26,C,84,38
2019-03-26T22:02:25,C,84,37
2019-03-26T22:13:56,C,84,39
2019-03-26T22:23:56,C,84,37
2019-03-26T22:32:56,C,84,37
2019-03-26T22:43:26,C,84,36
2019-03-26T22:53:26,C,84,35
2019-03-26T23:03:56,C,84,34
2019-03-26T23:14:57,C,84,32
2019-03-26T23:23:58,C,84,34
2019-03-26T23:34:26,C,84,33
2019-03-26T23:44:26,C,84,33
2019-03-26T23:54:28,C,84,33
2019-03-27T00:04:54,C,84,34
2019-03-27T00:13:55,C,84,33
2019-03-27T00:22:56,C,84,33
2019-03-27T00:29:57,C,84,32
2019-03-27T00:43:25,C,84,29
2019-03-27T00:54:25,C,84,29
2019-03-27T01:04:25,C,84,29
2019-03-27T01:14:55,C,84,29
2019-03-27T01:24:55,C,84,29
2019-03-27T01:34:57,C,84,29
2019-03-27T01:44:55,C,84,29
2019-03-27T01:54:25,C,84,29
2019-03-27T02:04:25,C,84,29
2019-03-27T02:14:25,C,84,29
2019-03-27T02:24:55,C,84,29
2019-03-27T02:34:56,C,84,29
2019-03-27T02:44:56,C,84,29
2019-03-27T02:55:56,C,84,29
2019-03-27T03:15:25,C,84,29
2019-03-27T03:25:26,C,84,29
2019-03-27T03:34:26,C,84,29
2019-03-27T03:45:58,C,84,29
2019-03-27T03:55:56,C,84,29
2019-03-27T04:05:56,C,84,29
2019-03-27T04:14:26,C,84,29
2019-03-27T04:24:26,C,84,29
2019-03-27T04:35:26,C,84,29
2019-03-27T04:44:25,C,84,29
2019-03-27T04:55:26,C,84,29
2019-03-27T05:05:56,C,84,31
2019-03-27T05:15:56,C,84,31
2019-03-27T05:25:25,C,84,31
2019-03-27T05:35:26,C,84,31
2019-03-27T05:45:26,C,84,31
2019-03-27T05:55:26,C,84,30
2019-03-27T06:05:56,C,84,31
2019-03-27T06:15:56,C,84,32
2019-03-27T06:25:56,C,84,33
2019-03-27T06:34:56,C,84,33
2019-03-27T06:45:27,C,84,34
2019-03-27T06:55:26,C,84,35
2019-03-27T07:05:25,C,84,42
2019-03-27T07:16:56,C,84,45
2019-03-27T07:25:56,C,84,47
2019-03-27T07:35:58,C,84,48
2019-03-27T07:44:59,C,84,51
2019-03-27T07:55:27,C,84,48
2019-03-27T08:05:57,C,84,51
2019-03-27T08:15:28,C,84,54
2019-03-27T08:25:57,C,84,56
2019-03-27T08:36:57,C,84,60
2019-03-27T08:45:59,C,84,60
2019-03-27T08:54:58,C,84,59
2019-03-27T09:06:28,C,84,58
2019-03-27T09:16:28,C,84,54
2019-03-27T09:25:29,C,84,52
2019-03-27T09:36:57,C,84,49
2019-03-27T09:45:57,C,84,47
2019-03-27T09:55:58,C,84,48
2019-03-27T10:06:00,C,84,45
2019-03-27T10:16:29,C,84,45
2019-03-27T10:26:29,C,84,42
2019-03-27T10:35:27,C,84,35
2019-03-27T10:47:00,C,84,36
2019-03-27T10:56:57,C,84,36
2019-03-27T11:06:57,C,84,40
2019-03-27T11:15:58,C,84,38
2019-03-27T11:26:26,C,84,41
2019-03-27T11:36:26,C,84,37
2019-03-27T11:46:28,C,84,39
2019-03-27T11:57:58,C,84,40
2019-03-27T12:06:59,C,84,42
2019-03-27T12:16:58,C,84,42
2019-03-27T12:26:59,C,84,45
2019-03-27T12:36:27,C,84,44
2019-03-27T12:47:26,C,84,43
2019-03-27T12:56:26,C,84,45
2019-03-27T13:07:56,C,84,41
2019-03-27T13:16:56,C,84,41
2019-03-27T13:27:57,C,84,43
2019-03-27T13:35:56,C,84,42
2019-03-27T13:47:27,C,84,41
2019-03-27T13:56:26,C,84,37
2019-03-27T14:07:32,C,84,35
2019-03-27T14:16:56,C,84,36
2019-03-27T14:27:57,C,84,37
2019-03-27T14:37:56,C,84,38
2019-03-27T14:46:56,C,84,37
2019-03-27T14:56:26,C,84,35
2019-03-27T15:07:26,C,84,34
2019-03-27T15:17:25,C,84,32
2019-03-27T15:26:26,C,84,30
2019-03-27T15:37:56,C,84,27
2019-03-27T15:47:56,C,84,28
2019-03-27T15:57:58,C,84,35
2019-03-27T16:07:26,C,84,35
2019-03-27T16:17:26,C,84,34
2019-03-27T16:28:29,C,84,35
2019-03-27T16:38:27,C,84,37
2019-03-27T16:49:00,C,84,40
2019-03-27T16:58:57,C,84,39
2019-03-27T17:08:57,C,84,41
2019-03-27T17:18:28,C,84,42
2019-03-27T17:27:30,C,84,44
2019-03-27T17:38:28,C,84,44
2019-03-27T17:47:28,C,84,42
2019-03-27T17:58:00,C,84,51
2019-03-27T18:08:59,C,84,53
2019-03-27T18:17:58,C,84,53
2019-03-27T18:27:27,C,84,53
2019-03-27T18:37:28,C,84,52
2019-03-27T18:48:28,C,84,51
2019-03-27T18:58:28,C,84,50
2019-03-27T19:08:58,C,84,49
2019-03-27T19:19:00,C,84,45
