date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:58:34,C,1000,699
2019-03-26T13:09:02,C,1000,683
2019-03-26T13:19:02,C,1000,691
2019-03-26T13:29:02,C,1000,699
2019-03-26T13:38:05,C,1000,701
2019-03-26T13:48:32,C,1000,700
2019-03-26T13:58:33,C,1000,691
2019-03-26T14:08:33,C,1000,694
2019-03-26T14:19:03,C,1000,685
2019-03-26T14:29:03,C,1000,694
2019-03-26T14:39:04,C,1000,695
2019-03-26T14:49:04,C,1000,693
2019-03-26T14:58:34,C,1000,691
2019-03-26T15:09:35,C,1000,688
2019-03-26T15:18:35,C,1000,687
2019-03-26T15:29:35,C,1000,685
2019-03-26T15:39:06,C,1000,676
2019-03-26T15:50:06,C,1000,677
2019-03-26T15:58:06,C,1000,666
2019-03-26T16:08:06,C,1000,652
2019-03-26T16:19:37,C,1000,648
2019-03-26T16:29:37,C,1000,642
2019-03-26T16:39:37,C,1000,638
2019-03-26T16:50:07,C,1000,631
2019-03-26T17:00:08,C,1000,626
2019-03-26T17:10:08,C,1000,620
2019-03-26T17:19:08,C,1000,615
2019-03-26T17:29:39,C,1000,623
2019-03-26T17:39:39,C,1000,607
2019-03-26T17:49:39,C,1000,574
2019-03-26T18:11:10,C,1000,542
2019-03-26T18:30:11,C,1000,500
2019-03-26T18:40:41,C,1000,482
2019-03-26T18:50:41,C,1000,448
2019-03-26T19:00:41,C,1000,417
2019-03-26T19:11:41,C,1000,405
2019-03-26T19:21:12,C,1000,381
2019-03-26T19:32:12,C,1000,370
2019-03-26T19:40:12,C,1000,361
2019-03-26T19:51:13,C,1000,349
2019-03-26T20:00:43,C,1000,344
2019-03-26T20:11:43,C,1000,339
2019-03-26T20:20:43,C,1000,332
2019-03-26T20:31:44,C,1000,315
2019-03-26T20:42:14,C,1000,301
2019-03-26T20:51:14,C,1000,296
2019-03-26T21:01:15,C,1000,294
2019-03-26T21:11:45,C,1000,273
2019-03-26T21:20:45,C,1000,269
2019-03-26T21:31:45,C,1000,256
2019-03-26T21:41:46,C,1000,243
2019-03-26T21:52:16,C,1000,231
2019-03-26T22:00:16,C,1000,223
2019-03-26T22:11:17,C,1000,219
