date,lot_type_0,lots_total_0,lots_available_0,lot_type_1,lots_total_1,lots_available_1,lot_type_2,lots_total_2,lots_available_2
2019-03-26T13:00:34,C,520,358,Y,155,0,H,0,0
2019-03-26T13:10:37,C,520,360,Y,155,0,H,0,0
2019-03-26T13:20:35,C,520,366,Y,155,0,H,0,0
2019-03-26T13:30:13,C,990,180,Y,0,0,H,0,0
2019-03-26T13:40:14,C,990,181,Y,0,0,H,0,0
2019-03-26T13:50:13,C,990,181,Y,0,0,H,0,0
2019-03-26T14:00:34,C,520,368,Y,155,0,H,0,0
2019-03-26T14:10:35,C,520,367,Y,155,0,H,0,0
2019-03-26T14:20:36,C,520,367,Y,155,0,H,0,0
2019-03-26T14:30:35,C,520,364,Y,155,0,H,0,0
2019-03-26T14:40:14,C,990,177,Y,0,0,H,0,0
2019-03-26T14:50:36,C,520,364,Y,155,0,H,0,0
2019-03-26T15:00:36,C,520,362,Y,155,0,H,0,0
2019-03-26T15:12:14,C,990,174,Y,0,0,H,0,0
2019-03-26T15:20:34,C,520,357,Y,155,0,H,0,0
2019-03-26T15:30:35,C,520,355,Y,155,0,H,0,0
2019-03-26T15:40:15,C,990,178,Y,0,0,H,0,0
2019-03-26T15:50:37,C,520,357,Y,155,0,H,0,0
2019-03-26T16:00:34,C,520,352,Y,155,0,H,0,0
2019-03-26T16:10:38,C,520,352,Y,155,0,H,0,0
2019-03-26T16:20:34,C,520,353,Y,155,0,H,0,0
2019-03-26T16:30:35,C,520,350,Y,155,0,H,0,0
2019-03-26T16:42:14,C,990,175,Y,0,0,H,0,0
2019-03-26T16:52:15,C,990,182,Y,0,0,H,0,0
2019-03-26T17:00:36,C,520,341,Y,155,0,H,0,0
2019-03-26T17:10:37,C,520,345,Y,155,0,H,0,0
2019-03-26T17:20:35,C,520,348,Y,155,0,H,0,0
2019-03-26T17:32:14,C,990,177,Y,0,0,H,0,0
2019-03-26T17:40:36,C,520,345,Y,155,0,H,0,0
2019-03-26T17:50:40,C,520,335,Y,155,0,H,0,0
2019-03-26T18:12:34,C,520,320,Y,155,0,H,0,0
2019-03-26T18:32:14,C,990,182,Y,0,0,H,0,0
2019-03-26T18:42:39,C,520,294,Y,155,0,H,0,0
2019-03-26T18:52:34,C,520,281,Y,155,0,H,0,0
2019-03-26T19:02:35,C,520,267,Y,155,0,H,0,0
2019-03-26T19:12:35,C,520,261,Y,155,0,H,0,0
2019-03-26T19:22:34,C,520,253,Y,155,0,H,0,0
2019-03-26T19:32:38,C,520,241,Y,155,0,H,0,0
2019-03-26T19:42:20,C,990,175,Y,0,0,H,0,0
2019-03-26T19:52:38,C,520,227,Y,155,0,H,0,0
2019-03-26T20:02:37,C,520,222,Y,155,0,H,0,0
2019-03-26T20:12:35,C,520,216,Y,155,0,H,0,0
2019-03-26T20:22:35,C,520,211,Y,155,0,H,0,0
2019-03-26T20:32:34,C,520,198,Y,155,0,H,0,0
2019-03-26T20:42:37,C,520,187,Y,155,0,H,0,0
2019-03-26T20:52:37,C,520,186,Y,155,0,H,0,0
2019-03-26T21:02:41,C,520,179,Y,155,0,H,0,0
2019-03-26T21:14:13,C,990,180,Y,0,0,H,0,0
2019-03-26T21:22:43,C,520,167,Y,155,0,H,0,0
2019-03-26T21:32:37,C,520,155,Y,155,0,H,0,0
2019-03-26T21:42:35,C,520,146,Y,155,0,H,0,0
2019-03-26T21:54:14,C,990,177,Y,0,0,H,0,0
2019-03-26T22:02:41,C,520,138,Y,155,0,H,0,0
2019-03-26T22:12:35,C,520,136,Y,155,0,H,0,0
2019-03-26T22:22:43,C,520,133,Y,155,0,H,0,0
2019-03-26T22:32:34,C,520,133,Y,155,0,H,0,0
2019-03-26T22:42:37,C,520,131,Y,155,0,H,0,0
2019-03-26T22:52:37,C,520,133,Y,155,0,H,0,0
2019-03-26T23:04:14,C,990,182,Y,0,0,H,0,0
2019-03-26T23:14:37,C,520,128,Y,155,0,H,0,0
2019-03-26T23:24:36,C,520,126,Y,155,0,H,0,0
2019-03-26T23:34:15,C,990,180,Y,0,0,H,0,0
2019-03-26T23:44:36,C,520,123,Y,155,0,H,0,0
2019-03-26T23:54:39,C,520,122,Y,155,0,H,0,0
2019-03-27T00:04:21,C,990,184,Y,0,0,H,0,0
2019-03-27T00:12:35,C,520,117,Y,155,0,H,0,0
2019-03-27T00:22:21,C,990,182,Y,0,0,H,0,0
