date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:31,C,127,100
2019-03-26T13:11:02,C,127,100
2019-03-26T13:21:02,C,127,100
2019-03-26T13:30:02,C,127,100
2019-03-26T13:40:02,C,127,100
2019-03-26T13:50:33,C,127,100
2019-03-26T14:00:33,C,127,100
2019-03-26T14:10:33,C,127,100
2019-03-26T14:20:33,C,127,100
2019-03-26T14:31:04,C,127,100
2019-03-26T14:41:04,C,127,100
2019-03-26T14:51:04,C,127,100
2019-03-26T15:00:34,C,127,100
2019-03-26T15:11:35,C,127,100
2019-03-26T15:20:35,C,127,100
2019-03-26T15:31:36,C,127,100
2019-03-26T15:41:06,C,127,100
2019-03-26T15:51:06,C,127,100
2019-03-26T16:00:06,C,127,100
2019-03-26T16:10:06,C,127,100
2019-03-26T16:21:37,C,127,100
2019-03-26T16:31:37,C,127,100
2019-03-26T16:41:37,C,127,100
2019-03-26T16:52:08,C,127,100
2019-03-26T17:01:08,C,127,100
2019-03-26T17:11:08,C,127,100
2019-03-26T17:21:08,C,127,100
2019-03-26T17:31:39,C,127,100
2019-03-26T17:41:39,C,127,100
2019-03-26T17:51:39,C,127,100
2019-03-26T18:12:10,C,127,100
2019-03-26T18:32:11,C,127,100
2019-03-26T18:42:41,C,127,100
2019-03-26T18:52:41,C,127,100
2019-03-26T19:02:41,C,127,100
2019-03-26T19:13:42,C,127,100
2019-03-26T19:22:12,C,127,100
2019-03-26T19:33:12,C,127,100
2019-03-26T19:42:13,C,127,100
2019-03-26T19:53:13,C,127,100
2019-03-26T20:02:43,C,127,100
2019-03-26T20:13:43,C,127,100
2019-03-26T20:22:43,C,127,100
2019-03-26T20:33:14,C,127,100
2019-03-26T20:43:14,C,127,100
2019-03-26T20:53:14,C,127,100
2019-03-26T21:03:14,C,127,100
2019-03-26T21:13:46,C,127,100
2019-03-26T21:22:45,C,127,100
2019-03-26T21:33:45,C,127,100
2019-03-26T21:42:46,C,127,100
2019-03-26T21:53:16,C,127,100
2019-03-26T22:02:17,C,127,100
2019-03-26T22:13:17,C,127,100
2019-03-26T22:23:47,C,127,100
2019-03-26T22:33:47,C,127,100
2019-03-26T22:43:47,C,127,100
2019-03-26T22:53:48,C,127,100
2019-03-26T23:03:18,C,127,100
2019-03-26T23:14:18,C,127,100
2019-03-26T23:24:18,C,127,100
2019-03-26T23:34:19,C,127,100
2019-03-26T23:44:50,C,127,100
2019-03-26T23:54:49,C,127,100
2019-03-27T00:04:50,C,127,100
2019-03-27T00:13:50,C,127,100
2019-03-27T00:22:20,C,127,100
2019-03-27T00:29:21,C,127,100
2019-03-27T00:43:21,C,127,100
2019-03-27T00:54:51,C,127,100
2019-03-27T01:04:51,C,127,100
2019-03-27T01:14:52,C,127,100
2019-03-27T01:24:52,C,127,100
2019-03-27T01:34:22,C,127,100
2019-03-27T01:44:22,C,127,100
2019-03-27T01:54:23,C,127,100
2019-03-27T02:04:23,C,127,100
2019-03-27T02:14:53,C,127,100
2019-03-27T02:24:54,C,127,100
2019-03-27T02:34:54,C,127,100
2019-03-27T02:44:24,C,127,100
2019-03-27T02:55:28,C,127,100
2019-03-27T03:15:25,C,127,100
2019-03-27T03:25:55,C,127,100
2019-03-27T03:34:56,C,127,100
2019-03-27T03:45:57,C,127,100
2019-03-27T03:54:56,C,127,100
2019-03-27T04:05:27,C,127,127
2019-03-27T04:14:27,C,127,127
2019-03-27T04:24:27,C,127,127
2019-03-27T04:35:27,C,127,127
2019-03-27T04:44:58,C,127,127
2019-03-27T04:55:58,C,127,127
2019-03-27T05:06:10,C,127,127
2019-03-27T05:15:11,C,127,127
2019-03-27T05:25:11,C,127,127
2019-03-27T05:35:41,C,127,127
2019-03-27T05:45:41,C,127,127
2019-03-27T05:55:42,C,127,127
2019-03-27T06:06:12,C,127,127
2019-03-27T06:16:12,C,127,127
2019-03-27T06:25:13,C,127,127
2019-03-27T06:35:13,C,127,127
2019-03-27T06:45:43,C,127,127
2019-03-27T06:55:43,C,127,127
2019-03-27T07:05:44,C,127,127
2019-03-27T07:16:45,C,127,127
2019-03-27T07:26:15,C,127,127
2019-03-27T07:35:15,C,127,127
2019-03-27T07:45:15,C,127,127
2019-03-27T07:55:45,C,127,127
2019-03-27T08:06:46,C,127,127
2019-03-27T08:15:47,C,127,127
2019-03-27T08:25:46,C,127,127
2019-03-27T08:37:17,C,127,127
2019-03-27T08:45:17,C,127,127
2019-03-27T08:55:17,C,127,127
2019-03-27T09:06:17,C,127,127
2019-03-27T09:16:48,C,127,127
2019-03-27T09:25:48,C,127,127
2019-03-27T09:36:48,C,127,127
2019-03-27T09:45:48,C,127,127
2019-03-27T09:56:19,C,127,127
2019-03-27T10:06:19,C,127,127
2019-03-27T10:16:19,C,127,127
2019-03-27T10:26:19,C,127,127
2019-03-27T10:35:50,C,127,127
2019-03-27T10:46:50,C,127,127
2019-03-27T10:56:50,C,127,127
2019-03-27T11:06:21,C,127,127
2019-03-27T11:16:21,C,127,127
2019-03-27T11:26:21,C,127,127
2019-03-27T11:36:21,C,127,127
2019-03-27T11:46:52,C,127,127
2019-03-27T11:57:52,C,127,127
2019-03-27T12:06:53,C,127,127
2019-03-27T12:16:53,C,127,127
2019-03-27T12:27:24,C,127,127
2019-03-27T12:36:23,C,127,127
2019-03-27T12:47:24,C,127,127
2019-03-27T12:56:54,C,127,127
2019-03-27T13:07:54,C,127,127
2019-03-27T13:16:54,C,127,127
2019-03-27T13:27:55,C,127,127
2019-03-27T13:36:25,C,127,127
2019-03-27T13:47:25,C,127,127
2019-03-27T13:56:25,C,127,127
2019-03-27T14:07:26,C,127,127
2019-03-27T14:16:56,C,127,127
2019-03-27T14:27:56,C,127,127
2019-03-27T14:38:00,C,127,127
2019-03-27T14:46:57,C,127,127
2019-03-27T14:56:27,C,127,127
2019-03-27T15:07:27,C,127,127
2019-03-27T15:17:28,C,127,127
2019-03-27T15:26:58,C,127,127
2019-03-27T15:37:58,C,127,127
2019-03-27T15:47:59,C,127,127
2019-03-27T15:56:59,C,127,127
2019-03-27T16:07:29,C,127,127
2019-03-27T16:17:29,C,127,127
2019-03-27T16:28:30,C,127,127
2019-03-27T16:38:30,C,127,127
2019-03-27T16:49:01,C,127,127
2019-03-27T16:59:01,C,127,127
2019-03-27T17:08:01,C,127,127
2019-03-27T17:18:31,C,127,127
2019-03-27T17:27:31,C,127,127
2019-03-27T17:38:32,C,127,127
2019-03-27T17:47:32,C,127,127
2019-03-27T17:58:03,C,127,126
2019-03-27T18:09:03,C,127,125
2019-03-27T18:17:03,C,127,122
2019-03-27T18:27:06,C,127,122
2019-03-27T18:37:34,C,127,120
2019-03-27T18:48:34,C,127,116
2019-03-27T18:58:35,C,127,111
2019-03-27T19:08:35,C,127,107
2019-03-27T19:19:05,C,127,104
2019-03-27T19:28:05,C,127,103
2019-03-27T19:38:05,C,127,24
2019-03-27T19:48:36,C,127,22
2019-03-27T19:58:36,C,127,23
2019-03-27T20:08:36,C,127,19
2019-03-27T20:19:36,C,127,19
2019-03-27T20:30:07,C,127,18
2019-03-27T20:39:07,C,127,16
2019-03-27T20:48:07,C,127,17
2019-03-27T20:58:08,C,127,16
2019-03-27T21:08:38,C,127,13
2019-03-27T21:18:39,C,127,15
2019-03-27T21:28:38,C,127,14
2019-03-27T21:38:39,C,127,18
2019-03-27T21:49:12,C,127,24
2019-03-27T21:59:10,C,127,25
2019-03-27T22:08:09,C,127,24
2019-03-27T22:18:40,C,127,26
2019-03-27T22:29:40,C,127,29
2019-03-27T22:39:41,C,127,28
2019-03-27T22:48:41,C,127,27
2019-03-27T23:00:11,C,127,24
2019-03-27T23:09:11,C,127,26
2019-03-27T23:19:12,C,127,25
2019-03-27T23:28:12,C,127,26
2019-03-27T23:39:43,C,127,25
2019-03-27T23:49:45,C,127,25
2019-03-27T23:59:43,C,127,25
2019-03-28T00:10:13,C,127,26
2019-03-28T00:20:13,C,127,25
2019-03-28T00:29:13,C,127,25
2019-03-28T00:39:14,C,127,25
2019-03-28T00:49:44,C,127,23
2019-03-28T00:59:44,C,127,27
2019-03-28T01:10:45,C,127,26
2019-03-28T01:20:45,C,127,27
2019-03-28T01:31:17,C,127,26
2019-03-28T01:39:15,C,127,26
2019-03-28T01:49:16,C,127,26
2019-03-28T02:00:16,C,127,26
2019-03-28T02:09:46,C,127,26
2019-03-28T02:20:47,C,127,26
2019-03-28T02:30:47,C,127,26
2019-03-28T02:41:17,C,127,26
2019-03-28T02:50:18,C,127,26
2019-03-28T02:59:19,C,127,26
2019-03-28T03:10:18,C,127,26
2019-03-28T03:19:48,C,127,26
2019-03-28T03:30:49,C,127,26
2019-03-28T03:40:52,C,127,26
2019-03-28T03:50:49,C,127,26
2019-03-28T04:00:22,C,127,26
2019-03-28T04:10:20,C,127,26
2019-03-28T04:21:20,C,127,25
2019-03-28T04:30:20,C,127,25
2019-03-28T04:41:51,C,127,26
2019-03-28T04:50:51,C,127,26
2019-03-28T05:01:21,C,127,27
2019-03-28T05:10:09,C,127,27
2019-03-28T05:21:09,C,127,26
2019-03-28T05:31:39,C,127,24
2019-03-28T05:40:40,C,127,24
2019-03-28T05:51:40,C,127,25
2019-03-28T06:00:40,C,127,27
2019-03-28T06:12:11,C,127,26
2019-03-28T06:20:11,C,127,28
2019-03-28T06:30:11,C,127,31
2019-03-28T06:40:12,C,127,35
2019-03-28T06:51:42,C,127,40
2019-03-28T07:00:42,C,127,46
2019-03-28T07:11:43,C,127,50
2019-03-28T07:21:43,C,127,54
2019-03-28T07:31:13,C,127,53
2019-03-28T07:41:13,C,127,48
2019-03-28T07:51:14,C,127,48
2019-03-28T08:01:44,C,127,54
2019-03-28T08:11:45,C,127,56
2019-03-28T08:21:44,C,127,60
2019-03-28T08:31:45,C,127,60
2019-03-28T08:42:15,C,127,58
2019-03-28T08:51:15,C,127,65
2019-03-28T09:01:16,C,127,67
2019-03-28T09:12:16,C,127,55
2019-03-28T09:21:46,C,127,59
2019-03-28T09:31:48,C,127,56
2019-03-28T09:42:47,C,127,63
2019-03-28T09:53:17,C,127,66
2019-03-28T10:01:18,C,127,65
2019-03-28T10:11:17,C,127,59
2019-03-28T10:22:18,C,127,62
2019-03-28T10:32:48,C,127,64
2019-03-28T10:42:48,C,127,64
2019-03-28T10:51:49,C,127,62
2019-03-28T11:02:49,C,127,60
2019-03-28T11:11:19,C,127,59
2019-03-28T11:22:20,C,127,57
2019-03-28T11:32:20,C,127,58
2019-03-28T11:42:20,C,127,59
2019-03-28T11:52:50,C,127,62
2019-03-28T12:02:51,C,127,60
2019-03-28T12:12:51,C,127,70
2019-03-28T12:22:22,C,127,70
2019-03-28T12:32:22,C,127,68
2019-03-28T12:42:22,C,127,68
2019-03-28T12:52:22,C,127,65
2019-03-28T13:02:52,C,127,58
2019-03-28T13:12:53,C,127,57
2019-03-28T13:22:53,C,127,65
2019-03-28T13:31:53,C,127,61
2019-03-28T13:42:23,C,127,62
2019-03-28T13:52:24,C,127,62
2019-03-28T14:02:24,C,127,59
2019-03-28T14:13:24,C,127,58
2019-03-28T14:22:54,C,127,49
2019-03-28T14:32:55,C,127,48
2019-03-28T14:42:55,C,127,48
2019-03-28T14:52:25,C,127,51
2019-03-28T15:02:26,C,127,45
2019-03-28T15:12:26,C,127,42
2019-03-28T15:22:27,C,127,46
2019-03-28T15:32:57,C,127,50
2019-03-28T15:53:57,C,127,49
2019-03-28T16:02:57,C,127,47
2019-03-28T16:24:28,C,127,48
2019-03-28T16:44:59,C,127,44
2019-03-28T16:54:59,C,127,43
2019-03-28T17:04:59,C,127,46
2019-03-28T17:14:00,C,127,45
2019-03-28T17:23:30,C,127,42
2019-03-28T17:44:34,C,127,44
2019-03-28T17:54:32,C,127,42
2019-03-28T18:05:01,C,127,44
2019-03-28T18:15:01,C,127,41
2019-03-28T18:24:02,C,127,37
2019-03-28T18:34:02,C,127,35
2019-03-28T18:44:32,C,127,37
2019-03-28T18:54:32,C,127,35
2019-03-28T19:16:03,C,127,29
2019-03-28T19:26:03,C,127,30
2019-03-28T19:36:04,C,127,25
2019-03-28T19:45:04,C,127,30
2019-03-28T19:55:34,C,127,28
2019-03-28T20:05:35,C,127,26
2019-03-28T20:16:35,C,127,27
2019-03-28T20:25:35,C,127,28
2019-03-28T20:36:05,C,127,31
2019-03-28T20:46:05,C,127,27
2019-03-28T20:55:06,C,127,25
2019-03-28T21:06:36,C,127,28
2019-03-28T21:16:37,C,127,28
2019-03-28T21:26:37,C,127,26
2019-03-28T21:36:37,C,127,26
2019-03-28T21:47:07,C,127,28
2019-03-28T21:56:08,C,127,26
2019-03-28T22:06:08,C,127,26
2019-03-28T22:16:08,C,127,24
2019-03-28T22:26:38,C,127,28
2019-03-28T22:36:39,C,127,28
2019-03-28T22:46:39,C,127,29
2019-03-28T22:56:40,C,127,27
2019-03-28T23:06:10,C,127,32
2019-03-28T23:16:10,C,127,29
2019-03-28T23:26:10,C,127,27
2019-03-28T23:36:40,C,127,27
2019-03-28T23:46:41,C,127,28
2019-03-28T23:57:41,C,127,29
2019-03-29T00:06:41,C,127,29
2019-03-29T00:18:12,C,127,27
2019-03-29T00:26:12,C,127,27
2019-03-29T00:36:12,C,127,27
2019-03-29T00:46:12,C,127,26
2019-03-29T01:07:43,C,127,25
2019-03-29T01:17:44,C,127,25
2019-03-29T01:27:43,C,127,25
2019-03-29T01:37:14,C,127,25
2019-03-29T01:47:14,C,127,25
2019-03-29T01:57:14,C,127,24
2019-03-29T02:07:45,C,127,24
2019-03-29T02:17:45,C,127,24
2019-03-29T02:27:45,C,127,24
2019-03-29T02:37:46,C,127,24
2019-03-29T02:48:16,C,127,24
2019-03-29T02:57:16,C,127,24
2019-03-29T03:07:17,C,127,24
2019-03-29T03:17:17,C,127,24
2019-03-29T03:27:47,C,127,23
2019-03-29T03:37:47,C,127,23
2019-03-29T03:48:47,C,127,23
2019-03-29T03:59:18,C,127,23
2019-03-29T04:08:21,C,127,38
2019-03-29T04:17:18,C,127,37
2019-03-29T04:28:19,C,127,37
2019-03-29T04:37:49,C,127,37
2019-03-29T04:47:49,C,127,38
2019-03-29T04:58:50,C,127,38
2019-03-29T05:08:54,C,127,39
2019-03-29T05:18:24,C,127,37
2019-03-29T05:27:25,C,127,37
2019-03-29T05:37:25,C,127,37
2019-03-29T05:48:25,C,127,37
2019-03-29T05:58:56,C,127,41
2019-03-29T06:08:56,C,127,40
2019-03-29T06:17:56,C,127,41
2019-03-29T06:26:56,C,127,41
2019-03-29T06:38:27,C,127,49
2019-03-29T06:48:27,C,127,54
2019-03-29T06:58:28,C,127,59
2019-03-29T07:08:28,C,127,69
2019-03-29T07:18:58,C,127,67
2019-03-29T07:28:59,C,127,69
2019-03-29T07:37:59,C,127,67
2019-03-29T07:48:29,C,127,69
2019-03-29T07:58:29,C,127,73
2019-03-29T08:08:30,C,127,73
2019-03-29T08:18:30,C,127,74
2019-03-29T08:29:00,C,127,78
2019-03-29T08:39:00,C,127,74
2019-03-29T08:48:01,C,127,70
2019-03-29T08:59:01,C,127,67
2019-03-29T09:08:31,C,127,69
2019-03-29T09:19:31,C,127,70
2019-03-29T09:28:32,C,127,65
2019-03-29T09:38:32,C,127,67
2019-03-29T09:49:02,C,127,66
2019-03-29T10:00:02,C,127,71
2019-03-29T10:08:03,C,127,74
2019-03-29T10:19:33,C,127,77
2019-03-29T10:28:33,C,127,81
2019-03-29T10:39:34,C,127,79
2019-03-29T10:49:35,C,127,74
2019-03-29T10:59:04,C,127,76
2019-03-29T11:09:05,C,127,75
2019-03-29T11:19:05,C,127,70
2019-03-29T11:29:10,C,127,71
2019-03-29T11:38:40,C,127,70
2019-03-29T11:48:40,C,127,76
2019-03-29T11:59:40,C,127,79
2019-03-29T12:10:11,C,127,79
2019-03-29T12:19:12,C,127,74
2019-03-29T12:29:11,C,127,68
2019-03-29T12:38:12,C,127,68
2019-03-29T12:49:42,C,127,66
2019-03-29T12:59:42,C,127,68
2019-03-29T13:09:42,C,127,62
2019-03-29T13:18:43,C,127,54
2019-03-29T13:30:13,C,127,59
2019-03-29T13:39:13,C,127,58
2019-03-29T13:48:13,C,127,53
2019-03-29T13:59:44,C,127,61
2019-03-29T14:09:44,C,127,59
2019-03-29T14:19:44,C,127,62
2019-03-29T14:29:45,C,127,66
2019-03-29T14:40:15,C,127,66
2019-03-29T14:49:15,C,127,64
2019-03-29T14:59:15,C,127,74
2019-03-29T15:10:16,C,127,73
2019-03-29T15:19:46,C,127,72
2019-03-29T15:29:46,C,127,67
2019-03-29T15:40:47,C,127,64
2019-03-29T15:51:17,C,127,66
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
2019-03-29T15:54:47,C,127,65
