date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:49,C,47,0
2019-03-26T13:10:49,C,47,0
2019-03-26T13:20:49,C,47,0
2019-03-26T13:30:19,C,47,0
2019-03-26T13:40:20,C,47,0
2019-03-26T13:50:19,C,47,0
2019-03-26T14:00:20,C,47,0
2019-03-26T14:10:50,C,47,0
2019-03-26T14:20:50,C,47,0
2019-03-26T14:30:50,C,47,2
2019-03-26T14:40:51,C,47,0
2019-03-26T14:51:21,C,47,0
2019-03-26T15:00:21,C,47,0
2019-03-26T15:11:22,C,47,2
2019-03-26T15:20:52,C,47,4
2019-03-26T15:31:53,C,47,9
2019-03-26T15:40:53,C,47,6
2019-03-26T15:50:53,C,47,0
2019-03-26T16:00:23,C,47,0
2019-03-26T16:10:24,C,47,0
2019-03-26T16:21:24,C,47,1
2019-03-26T16:31:25,C,47,4
2019-03-26T16:41:54,C,47,5
2019-03-26T16:51:55,C,47,3
2019-03-26T17:00:55,C,47,5
2019-03-26T17:11:26,C,47,0
2019-03-26T17:21:26,C,47,2
2019-03-26T17:31:27,C,47,0
2019-03-26T17:41:26,C,47,6
2019-03-26T17:51:59,C,47,2
2019-03-26T18:11:58,C,47,0
2019-03-26T18:32:29,C,47,0
2019-03-26T18:42:29,C,47,0
2019-03-26T18:52:29,C,47,0
2019-03-26T19:02:29,C,47,0
2019-03-26T19:13:59,C,47,0
2019-03-26T19:22:01,C,47,0
2019-03-26T19:33:00,C,47,0
2019-03-26T19:42:32,C,47,0
2019-03-26T19:53:31,C,47,8
2019-03-26T20:02:32,C,47,5
2019-03-26T20:13:32,C,47,1
2019-03-26T20:23:02,C,47,0
2019-03-26T20:33:01,C,47,0
2019-03-26T20:43:01,C,47,0
2019-03-26T20:53:02,C,47,4
2019-03-26T21:03:35,C,47,1
2019-03-26T21:13:33,C,47,0
2019-03-26T21:22:33,C,47,0
2019-03-26T21:34:03,C,47,0
2019-03-26T21:43:03,C,47,0
2019-03-26T21:53:03,C,47,1
2019-03-26T22:02:04,C,47,0
2019-03-26T22:13:34,C,47,5
2019-03-26T22:23:34,C,47,5
2019-03-26T22:33:36,C,47,8
2019-03-26T22:43:35,C,47,6
2019-03-26T22:54:05,C,47,6
2019-03-26T23:03:06,C,47,5
2019-03-26T23:14:06,C,47,7
2019-03-26T23:24:37,C,47,0
2019-03-26T23:34:36,C,47,0
2019-03-26T23:44:37,C,47,4
2019-03-26T23:54:37,C,47,0
2019-03-27T00:05:07,C,47,0
2019-03-27T00:14:07,C,47,3
2019-03-27T00:22:08,C,47,2
2019-03-27T00:29:08,C,47,1
2019-03-27T00:43:38,C,47,0
2019-03-27T00:54:39,C,47,0
2019-03-27T01:04:39,C,47,1
2019-03-27T01:15:09,C,47,1
2019-03-27T01:25:10,C,47,1
2019-03-27T01:34:10,C,47,4
2019-03-27T01:44:11,C,47,3
2019-03-27T01:54:42,C,47,4
2019-03-27T02:04:41,C,47,4
2019-03-27T02:14:41,C,47,5
2019-03-27T02:24:41,C,47,6
2019-03-27T02:35:12,C,47,5
2019-03-27T02:44:12,C,47,4
2019-03-27T02:55:12,C,47,6
2019-03-27T03:15:43,C,47,5
2019-03-27T03:25:43,C,47,5
2019-03-27T03:34:43,C,47,5
2019-03-27T03:46:14,C,47,4
2019-03-27T03:55:14,C,47,6
2019-03-27T04:05:14,C,47,6
2019-03-27T04:14:15,C,47,6
2019-03-27T04:24:45,C,47,5
2019-03-27T04:35:45,C,47,6
2019-03-27T04:44:45,C,47,7
2019-03-27T04:55:46,C,47,6
2019-03-27T05:06:02,C,47,6
2019-03-27T05:15:02,C,47,4
2019-03-27T05:25:33,C,47,4
2019-03-27T05:35:33,C,47,5
2019-03-27T05:45:33,C,47,2
2019-03-27T05:56:04,C,47,2
2019-03-27T06:06:04,C,47,2
2019-03-27T06:16:04,C,47,0
2019-03-27T06:25:04,C,47,0
2019-03-27T06:35:35,C,47,0
2019-03-27T06:45:37,C,47,0
2019-03-27T06:55:36,C,47,0
2019-03-27T07:05:36,C,47,0
2019-03-27T07:17:07,C,47,0
2019-03-27T07:26:07,C,47,0
2019-03-27T07:35:08,C,47,0
2019-03-27T07:45:10,C,47,3
2019-03-27T07:55:38,C,47,0
2019-03-27T08:01:10,C,47,0
2019-03-27T08:01:10,C,47,0
2019-03-27T08:25:52,C,47,0
2019-03-27T08:36:52,C,47,0
2019-03-27T08:45:22,C,47,0
2019-03-27T08:55:23,C,47,0
2019-03-27T09:06:23,C,47,0
2019-03-27T09:16:23,C,47,14
2019-03-27T09:25:53,C,47,13
2019-03-27T09:36:54,C,47,13
2019-03-27T09:45:54,C,47,15
2019-03-27T09:55:55,C,47,12
2019-03-27T10:06:25,C,47,9
2019-03-27T10:16:25,C,47,10
2019-03-27T10:26:25,C,47,8
2019-03-27T10:35:55,C,47,14
2019-03-27T10:46:56,C,47,13
2019-03-27T10:56:56,C,47,11
2019-03-27T11:05:56,C,47,5
2019-03-27T11:16:27,C,47,2
2019-03-27T11:26:27,C,47,5
2019-03-27T11:36:28,C,47,3
2019-03-27T11:46:28,C,47,3
2019-03-27T11:57:58,C,47,5
2019-03-27T12:06:58,C,47,8
2019-03-27T12:16:59,C,47,3
2019-03-27T12:27:30,C,47,4
2019-03-27T12:36:30,C,47,5
2019-03-27T12:47:29,C,47,4
2019-03-27T12:56:30,C,47,2
2019-03-27T13:08:01,C,47,2
2019-03-27T13:17:00,C,47,4
2019-03-27T13:28:01,C,47,5
2019-03-27T13:36:01,C,47,6
2019-03-27T13:47:31,C,47,5
2019-03-27T13:56:31,C,47,9
2019-03-27T14:07:31,C,47,11
2019-03-27T14:16:32,C,47,14
2019-03-27T14:28:02,C,47,11
2019-03-27T14:38:02,C,47,5
2019-03-27T14:47:03,C,47,11
2019-03-27T14:56:33,C,47,5
2019-03-27T15:07:33,C,47,10
2019-03-27T15:17:33,C,47,10
2019-03-27T15:26:34,C,47,10
2019-03-27T15:38:05,C,47,10
2019-03-27T15:48:05,C,47,3
2019-03-27T15:57:05,C,47,5
2019-03-27T16:07:05,C,47,7
2019-03-27T16:17:35,C,47,10
2019-03-27T16:28:36,C,47,7
2019-03-27T16:38:36,C,47,9
2019-03-27T16:49:07,C,47,3
2019-03-27T16:59:06,C,47,4
2019-03-27T17:08:07,C,47,7
2019-03-27T17:18:07,C,47,1
2019-03-27T17:27:39,C,47,5
2019-03-27T17:38:38,C,47,0
2019-03-27T17:47:38,C,47,1
2019-03-27T17:57:39,C,47,2
2019-03-27T18:09:09,C,47,0
2019-03-27T18:17:10,C,47,1
2019-03-27T18:27:09,C,47,5
2019-03-27T18:37:10,C,47,2
2019-03-27T18:48:41,C,47,4
2019-03-27T18:58:40,C,47,4
2019-03-27T19:08:41,C,47,4
2019-03-27T19:19:11,C,47,3
2019-03-27T19:28:11,C,47,3
2019-03-27T19:38:11,C,47,5
2019-03-27T19:48:12,C,47,3
2019-03-27T19:58:42,C,47,9
2019-03-27T20:08:43,C,47,6
2019-03-27T20:19:42,C,47,7
2019-03-27T20:29:43,C,47,0
2019-03-27T20:39:14,C,47,1
2019-03-27T20:48:13,C,47,1
2019-03-27T20:58:14,C,47,3
2019-03-27T21:08:14,C,47,5
2019-03-27T21:18:45,C,47,8
2019-03-27T21:28:45,C,47,5
2019-03-27T21:38:45,C,47,6
2019-03-27T21:49:16,C,47,6
2019-03-27T21:59:17,C,47,11
2019-03-27T22:08:19,C,47,7
2019-03-27T22:18:16,C,47,13
2019-03-27T22:29:47,C,47,12
2019-03-27T22:39:47,C,47,11
2019-03-27T22:48:47,C,47,7
2019-03-27T22:59:48,C,47,12
2019-03-27T23:09:18,C,47,13
2019-03-27T23:19:18,C,47,10
2019-03-27T23:28:18,C,47,11
2019-03-27T23:39:19,C,47,14
2019-03-27T23:49:49,C,47,11
2019-03-27T23:59:49,C,47,11
2019-03-28T00:09:50,C,47,11
2019-03-28T00:20:20,C,47,12
2019-03-28T00:29:20,C,47,13
2019-03-28T00:39:20,C,47,11
2019-03-28T00:49:21,C,47,13
2019-03-28T00:59:51,C,47,13
2019-03-28T01:10:51,C,47,16
2019-03-28T01:20:51,C,47,16
2019-03-28T01:30:52,C,47,14
2019-03-28T01:39:23,C,47,12
2019-03-28T01:49:22,C,47,13
2019-03-28T02:00:23,C,47,14
2019-03-28T02:09:23,C,47,14
2019-03-28T02:20:53,C,47,11
2019-03-28T02:30:54,C,47,12
2019-03-28T02:40:54,C,47,13
2019-03-28T02:50:24,C,47,12
2019-03-28T02:59:26,C,47,15
2019-03-28T03:10:25,C,47,15
2019-03-28T03:19:28,C,47,14
2019-03-28T03:30:55,C,47,17
2019-03-28T03:40:55,C,47,15
2019-03-28T03:50:56,C,47,14
2019-03-28T03:59:56,C,47,15
2019-03-28T04:10:26,C,47,15
2019-03-28T04:21:27,C,47,14
2019-03-28T04:30:27,C,47,15
2019-03-28T04:41:57,C,47,15
2019-03-28T04:50:57,C,47,15
2019-03-28T05:02:04,C,47,14
2019-03-28T05:10:04,C,47,13
2019-03-28T05:21:04,C,47,12
2019-03-28T05:31:35,C,47,13
2019-03-28T05:40:35,C,47,13
2019-03-28T05:51:35,C,47,11
2019-03-28T06:00:35,C,47,12
2019-03-28T06:12:06,C,47,9
2019-03-28T06:20:06,C,47,7
2019-03-28T06:30:06,C,47,8
2019-03-28T06:40:37,C,47,11
2019-03-28T06:51:37,C,47,7
2019-03-28T07:00:37,C,47,7
2019-03-28T07:11:38,C,47,7
2019-03-28T07:22:09,C,47,3
2019-03-28T07:31:09,C,47,2
2019-03-28T07:41:10,C,47,1
2019-03-28T07:51:10,C,47,8
2019-03-28T08:01:40,C,47,9
2019-03-28T08:11:42,C,47,6
2019-03-28T08:21:41,C,47,2
2019-03-28T08:32:11,C,47,4
2019-03-28T08:42:10,C,47,2
2019-03-28T08:51:11,C,47,3
