date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:46,C,340,297
2019-03-26T13:10:46,C,340,300
2019-03-26T13:20:46,C,340,306
2019-03-26T13:30:17,C,340,306
2019-03-26T13:40:17,C,340,306
2019-03-26T13:50:17,C,340,305
2019-03-26T14:00:17,C,340,308
2019-03-26T14:10:48,C,340,309
2019-03-26T14:20:49,C,340,312
2019-03-26T14:30:48,C,340,309
2019-03-26T14:41:19,C,340,311
2019-03-26T14:51:19,C,340,306
2019-03-26T15:00:19,C,340,306
2019-03-26T15:11:19,C,340,310
2019-03-26T15:20:50,C,340,312
2019-03-26T15:31:50,C,340,307
2019-03-26T15:40:50,C,340,309
2019-03-26T15:50:50,C,340,308
2019-03-26T16:00:21,C,340,312
2019-03-26T16:10:21,C,340,311
2019-03-26T16:21:21,C,340,313
2019-03-26T16:31:52,C,340,312
2019-03-26T16:41:52,C,340,316
2019-03-26T16:51:52,C,340,314
2019-03-26T17:00:52,C,340,305
2019-03-26T17:11:23,C,340,307
2019-03-26T17:21:23,C,340,306
2019-03-26T17:31:24,C,340,308
2019-03-26T17:41:24,C,340,306
2019-03-26T17:51:54,C,340,302
2019-03-26T18:11:54,C,340,313
2019-03-26T18:32:26,C,340,298
2019-03-26T18:42:25,C,340,290
2019-03-26T18:52:26,C,340,290
2019-03-26T19:02:56,C,340,291
2019-03-26T19:13:56,C,340,287
2019-03-26T19:21:57,C,340,280
2019-03-26T19:32:57,C,340,273
2019-03-26T19:42:27,C,340,273
2019-03-26T19:53:27,C,340,277
2019-03-26T20:02:29,C,340,266
2019-03-26T20:13:58,C,340,264
2019-03-26T20:22:59,C,340,266
2019-03-26T20:32:58,C,340,266
2019-03-26T20:42:59,C,340,266
2019-03-26T20:53:29,C,340,274
2019-03-26T21:03:29,C,340,273
2019-03-26T21:13:29,C,340,264
2019-03-26T21:22:30,C,340,265
2019-03-26T21:34:00,C,340,265
2019-03-26T21:43:00,C,340,267
2019-03-26T21:53:00,C,340,266
2019-03-26T22:02:01,C,340,262
2019-03-26T22:13:31,C,340,258
2019-03-26T22:23:31,C,340,255
2019-03-26T22:33:32,C,340,251
2019-03-26T22:44:02,C,340,245
2019-03-26T22:54:02,C,340,244
2019-03-26T23:03:03,C,340,241
2019-03-26T23:14:03,C,340,238
2019-03-26T23:24:33,C,340,237
2019-03-26T23:34:33,C,340,239
2019-03-26T23:44:34,C,340,235
2019-03-26T23:55:04,C,340,238
2019-03-27T00:05:04,C,340,236
2019-03-27T00:14:04,C,340,235
2019-03-27T00:22:05,C,340,233
2019-03-27T00:29:05,C,340,234
2019-03-27T00:43:35,C,340,232
2019-03-27T00:54:36,C,340,230
2019-03-27T01:04:36,C,340,229
2019-03-27T01:15:06,C,340,229
2019-03-27T01:25:07,C,340,225
2019-03-27T01:34:07,C,340,225
2019-03-27T01:44:07,C,340,227
2019-03-27T01:54:37,C,340,225
2019-03-27T02:04:38,C,340,225
2019-03-27T02:14:38,C,340,224
2019-03-27T02:25:08,C,340,224
2019-03-27T02:35:09,C,340,221
2019-03-27T02:44:09,C,340,223
2019-03-27T02:55:12,C,340,222
2019-03-27T03:15:40,C,340,223
2019-03-27T03:25:40,C,340,223
2019-03-27T03:34:40,C,340,220
2019-03-27T03:46:11,C,340,221
2019-03-27T03:55:11,C,340,222
2019-03-27T04:05:11,C,340,138
2019-03-27T04:14:11,C,340,137
2019-03-27T04:24:41,C,340,138
2019-03-27T04:35:42,C,340,139
2019-03-27T04:44:42,C,340,140
2019-03-27T04:56:12,C,340,138
2019-03-27T05:05:58,C,340,139
2019-03-27T05:15:28,C,340,139
2019-03-27T05:25:29,C,340,139
2019-03-27T05:35:29,C,340,141
2019-03-27T05:45:29,C,340,141
2019-03-27T05:56:00,C,340,144
2019-03-27T06:06:00,C,340,144
2019-03-27T06:16:00,C,340,146
2019-03-27T06:25:00,C,340,149
2019-03-27T06:35:31,C,340,154
2019-03-27T06:45:31,C,340,161
2019-03-27T06:55:32,C,340,173
2019-03-27T07:06:01,C,340,178
2019-03-27T07:17:02,C,340,191
2019-03-27T07:26:02,C,340,200
2019-03-27T07:35:03,C,340,209
2019-03-27T07:45:34,C,340,218
2019-03-27T07:55:34,C,340,216
2019-03-27T08:06:34,C,340,226
2019-03-27T08:15:34,C,340,234
2019-03-27T08:26:04,C,340,233
2019-03-27T08:37:04,C,340,239
2019-03-27T08:45:05,C,340,241
