date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:48,C,1530,1275
2019-03-26T13:09:48,C,1530,1275
2019-03-26T13:20:18,C,1530,1287
2019-03-26T13:30:18,C,1530,1288
2019-03-26T13:40:49,C,1530,1304
2019-03-26T13:50:49,C,1530,1302
2019-03-26T14:00:50,C,1530,1293
2019-03-26T14:10:20,C,1530,1284
2019-03-26T14:20:21,C,1530,1281
2019-03-26T14:30:20,C,1530,1278
2019-03-26T14:40:21,C,1530,1288
2019-03-26T14:51:52,C,1530,1292
2019-03-26T15:00:52,C,1530,1288
2019-03-26T15:10:52,C,1530,1284
2019-03-26T15:20:22,C,1530,1286
2019-03-26T15:31:22,C,1530,1285
2019-03-26T15:40:22,C,1530,1284
2019-03-26T15:51:53,C,1530,1286
2019-03-26T15:59:53,C,1530,1294
2019-03-26T16:09:53,C,1530,1290
2019-03-26T16:21:25,C,1530,1281
2019-03-26T16:31:24,C,1530,1279
2019-03-26T16:41:25,C,1530,1277
2019-03-26T16:51:24,C,1530,1270
2019-03-26T17:01:55,C,1530,1267
2019-03-26T17:11:55,C,1530,1271
2019-03-26T17:20:56,C,1530,1263
2019-03-26T17:31:27,C,1530,1251
2019-03-26T17:41:26,C,1530,1245
2019-03-26T17:51:27,C,1530,1233
2019-03-26T18:11:57,C,1530,1200
2019-03-26T18:32:28,C,1530,1173
2019-03-26T18:42:28,C,1530,1169
2019-03-26T18:52:29,C,1530,1147
2019-03-26T19:02:28,C,1530,1119
2019-03-26T19:12:58,C,1530,1093
2019-03-26T19:22:00,C,1530,1078
2019-03-26T19:33:29,C,1530,1061
2019-03-26T19:42:29,C,1530,1048
2019-03-26T19:53:30,C,1530,1044
2019-03-26T20:02:00,C,1530,1040
2019-03-26T20:13:01,C,1530,1035
2019-03-26T20:22:01,C,1530,1031
2019-03-26T20:33:31,C,1530,1019
2019-03-26T20:43:31,C,1530,1003
2019-03-26T20:53:32,C,1530,991
2019-03-26T21:03:02,C,1530,982
2019-03-26T21:13:02,C,1530,975
2019-03-26T21:22:32,C,1530,958
2019-03-26T21:33:32,C,1530,952
2019-03-26T21:43:32,C,1530,926
2019-03-26T21:53:31,C,1530,933
2019-03-26T22:03:01,C,1530,912
2019-03-26T22:13:06,C,1530,907
2019-03-26T22:23:33,C,1530,901
2019-03-26T22:33:33,C,1530,894
2019-03-26T22:43:32,C,1530,891
2019-03-26T22:53:03,C,1530,880
2019-03-26T23:03:03,C,1530,872
2019-03-26T23:14:04,C,1530,870
2019-03-26T23:24:33,C,1530,863
2019-03-26T23:34:36,C,1530,859
2019-03-26T23:44:34,C,1530,857
2019-03-26T23:54:04,C,1530,851
2019-03-27T00:05:04,C,1530,846
2019-03-27T00:13:04,C,1530,842
2019-03-27T00:22:05,C,1530,843
2019-03-27T00:29:36,C,1530,842
2019-03-27T00:43:35,C,1530,837
2019-03-27T00:54:36,C,1530,834
2019-03-27T01:05:06,C,1530,833
2019-03-27T01:15:06,C,1530,827
2019-03-27T01:24:06,C,1530,828
2019-03-27T01:34:07,C,1530,824
2019-03-27T01:44:37,C,1530,825
2019-03-27T01:54:37,C,1530,822
