date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:33,C,200,0
2019-03-26T13:11:04,C,200,0
2019-03-26T13:21:04,C,200,0
2019-03-26T13:30:04,C,200,0
2019-03-26T13:40:04,C,200,0
2019-03-26T13:50:34,C,200,0
2019-03-26T14:00:35,C,200,0
2019-03-26T14:10:35,C,200,0
2019-03-26T14:20:35,C,200,0
2019-03-26T14:31:05,C,200,0
2019-03-26T14:41:09,C,200,0
2019-03-26T14:51:06,C,200,6
2019-03-26T15:00:06,C,200,24
2019-03-26T15:11:37,C,200,39
2019-03-26T15:20:37,C,200,39
2019-03-26T15:31:38,C,200,41
2019-03-26T15:41:08,C,200,38
2019-03-26T15:51:08,C,200,40
2019-03-26T16:00:08,C,200,48
2019-03-26T16:10:08,C,200,53
2019-03-26T16:21:39,C,200,46
2019-03-26T16:31:40,C,200,47
2019-03-26T16:41:40,C,200,46
2019-03-26T16:51:40,C,200,48
2019-03-26T17:01:10,C,200,46
2019-03-26T17:11:10,C,200,51
2019-03-26T17:21:11,C,200,58
2019-03-26T17:31:42,C,200,68
2019-03-26T17:41:41,C,200,65
2019-03-26T17:51:42,C,200,60
2019-03-26T18:12:12,C,200,70
2019-03-26T18:32:13,C,200,71
2019-03-26T18:42:43,C,200,75
2019-03-26T18:52:43,C,200,83
2019-03-26T19:02:43,C,200,81
2019-03-26T19:13:44,C,200,87
2019-03-26T19:22:14,C,200,85
2019-03-26T19:33:14,C,200,87
2019-03-26T19:42:14,C,200,84
2019-03-26T19:53:15,C,200,77
2019-03-26T20:02:45,C,200,81
2019-03-26T20:13:45,C,200,72
2019-03-26T20:22:46,C,200,71
2019-03-26T20:32:46,C,200,72
2019-03-26T20:43:16,C,200,75
2019-03-26T20:53:16,C,200,69
2019-03-26T21:03:17,C,200,68
2019-03-26T21:13:47,C,200,69
2019-03-26T21:22:47,C,200,63
2019-03-26T21:33:48,C,200,61
2019-03-26T21:42:48,C,200,59
2019-03-26T21:53:18,C,200,57
2019-03-26T22:02:19,C,200,53
2019-03-26T22:13:19,C,200,47
2019-03-26T22:23:19,C,200,51
2019-03-26T22:33:49,C,200,46
2019-03-26T22:43:50,C,200,44
2019-03-26T22:53:50,C,200,41
2019-03-26T23:03:20,C,200,43
2019-03-26T23:14:20,C,200,42
2019-03-26T23:24:21,C,200,42
2019-03-26T23:34:21,C,200,40
2019-03-26T23:44:52,C,200,40
2019-03-26T23:54:52,C,200,39
2019-03-27T00:04:52,C,200,38
2019-03-27T00:13:52,C,200,37
2019-03-27T00:22:22,C,200,37
2019-03-27T00:29:23,C,200,35
2019-03-27T00:43:23,C,200,34
2019-03-27T00:54:53,C,200,33
2019-03-27T01:04:54,C,200,33
2019-03-27T01:14:54,C,200,32
2019-03-27T01:24:54,C,200,32
2019-03-27T01:34:24,C,200,32
2019-03-27T01:44:25,C,200,31
2019-03-27T01:54:25,C,200,30
2019-03-27T02:04:25,C,200,31
2019-03-27T02:14:56,C,200,28
2019-03-27T02:24:56,C,200,27
