date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:17,C,500,293
2019-03-26T13:09:17,C,500,297
2019-03-26T13:19:18,C,500,296
2019-03-26T13:29:18,C,500,296
2019-03-26T13:39:18,C,500,305
2019-03-26T13:49:19,C,500,305
2019-03-26T13:59:19,C,500,293
2019-03-26T14:09:19,C,500,293
2019-03-26T14:19:19,C,500,303
2019-03-26T14:29:20,C,500,297
2019-03-26T14:39:20,C,500,302
2019-03-26T14:51:20,C,500,294
2019-03-26T14:59:21,C,500,297
2019-03-26T15:11:21,C,500,294
2019-03-26T15:19:21,C,500,294
2019-03-26T15:31:21,C,500,295
2019-03-26T15:39:22,C,500,293
2019-03-26T15:51:22,C,500,296
2019-03-26T15:59:22,C,500,297
2019-03-26T16:09:23,C,500,290
2019-03-26T16:21:53,C,500,285
2019-03-26T16:31:53,C,500,290
2019-03-26T16:41:53,C,500,291
2019-03-26T16:51:53,C,500,289
2019-03-26T17:01:54,C,500,291
2019-03-26T17:11:54,C,500,288
2019-03-26T17:21:54,C,500,289
2019-03-26T17:31:55,C,500,284
2019-03-26T17:41:55,C,500,292
2019-03-26T17:51:55,C,500,298
2019-03-26T18:11:56,C,500,288
2019-03-26T18:31:56,C,500,280
2019-03-26T18:41:57,C,500,272
2019-03-26T18:51:57,C,500,279
2019-03-26T19:01:57,C,500,281
2019-03-26T19:13:58,C,500,279
2019-03-26T19:21:58,C,500,276
2019-03-26T19:33:58,C,500,273
2019-03-26T19:41:58,C,500,277
2019-03-26T19:53:59,C,500,273
2019-03-26T20:01:59,C,500,274
2019-03-26T20:13:59,C,500,280
2019-03-26T20:21:59,C,500,278
2019-03-26T20:34:00,C,500,273
2019-03-26T20:44:00,C,500,265
2019-03-26T20:54:00,C,500,267
2019-03-26T21:04:01,C,500,264
2019-03-26T21:14:01,C,500,267
2019-03-26T21:22:01,C,500,269
2019-03-26T21:34:02,C,500,260
2019-03-26T21:44:02,C,500,269
2019-03-26T21:54:02,C,500,267
2019-03-26T22:02:02,C,500,265
2019-03-26T22:14:03,C,500,268
2019-03-26T22:24:03,C,500,270
