date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:58:29,C,385,355
2019-03-26T13:08:59,C,385,352
2019-03-26T13:18:59,C,385,351
2019-03-26T13:28:59,C,385,351
2019-03-26T13:38:29,C,385,357
2019-03-26T13:48:30,C,385,356
2019-03-26T13:58:30,C,385,355
2019-03-26T14:08:30,C,385,360
2019-03-26T14:19:00,C,385,362
2019-03-26T14:29:01,C,385,361
2019-03-26T14:39:03,C,385,360
2019-03-26T14:49:01,C,385,360
2019-03-26T14:58:32,C,385,358
2019-03-26T15:09:32,C,385,357
2019-03-26T15:18:32,C,385,355
2019-03-26T15:30:02,C,385,355
2019-03-26T15:39:03,C,385,353
2019-03-26T15:50:03,C,385,352
2019-03-26T15:58:03,C,385,352
2019-03-26T16:08:34,C,385,354
2019-03-26T16:19:34,C,385,355
2019-03-26T16:29:34,C,385,355
2019-03-26T16:39:34,C,385,352
2019-03-26T16:50:05,C,385,353
2019-03-26T17:00:05,C,385,353
2019-03-26T17:10:08,C,385,353
2019-03-26T17:19:06,C,385,356
2019-03-26T17:29:36,C,385,354
2019-03-26T17:39:36,C,385,356
2019-03-26T17:49:36,C,385,356
2019-03-26T18:11:07,C,385,357
2019-03-26T18:30:07,C,385,357
2019-03-26T18:40:38,C,385,355
2019-03-26T18:50:38,C,385,354
2019-03-26T19:00:39,C,385,352
2019-03-26T19:11:39,C,385,355
2019-03-26T19:21:09,C,385,356
2019-03-26T19:32:09,C,385,355
2019-03-26T19:40:09,C,385,356
2019-03-26T19:51:10,C,385,354
2019-03-26T20:00:40,C,385,353
2019-03-26T20:11:40,C,385,354
2019-03-26T20:20:40,C,385,356
2019-03-26T20:32:11,C,385,348
2019-03-26T20:42:11,C,385,346
2019-03-26T20:51:12,C,385,342
2019-03-26T21:01:12,C,385,340
2019-03-26T21:11:42,C,385,337
2019-03-26T21:20:42,C,385,335
2019-03-26T21:31:43,C,385,332
2019-03-26T21:41:43,C,385,328
2019-03-26T21:52:13,C,385,326
2019-03-26T22:00:13,C,385,325
2019-03-26T22:11:14,C,385,322
2019-03-26T22:21:44,C,385,322
2019-03-26T22:31:44,C,385,321
2019-03-26T22:41:44,C,385,321
2019-03-26T22:51:45,C,385,321
2019-03-26T23:02:15,C,385,320
2019-03-26T23:12:15,C,385,317
2019-03-26T23:22:16,C,385,313
2019-03-26T23:32:16,C,385,309
2019-03-26T23:42:46,C,385,308
2019-03-26T23:52:46,C,385,308
2019-03-27T00:02:47,C,385,308
2019-03-27T00:11:47,C,385,308
2019-03-27T00:21:17,C,385,308
2019-03-27T00:27:18,C,385,307
2019-03-27T00:41:18,C,385,306
2019-03-27T00:52:48,C,385,305
2019-03-27T01:02:49,C,385,304
2019-03-27T01:12:49,C,385,303
2019-03-27T01:22:49,C,385,302
2019-03-27T01:33:19,C,385,302
2019-03-27T01:42:20,C,385,301
2019-03-27T01:52:23,C,385,301
2019-03-27T02:02:20,C,385,301
2019-03-27T02:12:50,C,385,301
2019-03-27T02:22:51,C,385,301
2019-03-27T02:32:51,C,385,301
