date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:58:29,C,128,39
2019-03-26T13:08:59,C,128,47
2019-03-26T13:19:00,C,128,46
2019-03-26T13:29:00,C,128,61
2019-03-26T13:38:30,C,128,64
2019-03-26T13:48:30,C,128,72
2019-03-26T13:58:31,C,128,79
2019-03-26T14:08:31,C,128,87
2019-03-26T14:19:01,C,128,91
2019-03-26T14:29:01,C,128,91
2019-03-26T14:39:02,C,128,95
2019-03-26T14:49:02,C,128,97
2019-03-26T14:58:32,C,128,102
2019-03-26T15:09:32,C,128,91
2019-03-26T15:18:33,C,128,95
2019-03-26T15:29:33,C,128,100
2019-03-26T15:39:03,C,128,105
2019-03-26T15:50:04,C,128,105
2019-03-26T15:58:04,C,128,101
2019-03-26T16:08:35,C,128,107
2019-03-26T16:19:34,C,128,102
2019-03-26T16:29:35,C,128,105
2019-03-26T16:39:35,C,128,104
2019-03-26T16:50:06,C,128,98
2019-03-26T17:00:05,C,128,99
2019-03-26T17:10:06,C,128,95
2019-03-26T17:19:06,C,128,97
2019-03-26T17:29:36,C,128,98
2019-03-26T17:39:37,C,128,96
2019-03-26T17:49:37,C,128,96
2019-03-26T18:11:07,C,128,96
2019-03-26T18:30:08,C,128,90
2019-03-26T18:40:38,C,128,86
2019-03-26T18:50:39,C,128,79
2019-03-26T19:00:39,C,128,75
2019-03-26T19:11:39,C,128,69
2019-03-26T19:21:09,C,128,71
2019-03-26T19:32:10,C,128,75
2019-03-26T19:40:10,C,128,75
2019-03-26T19:51:10,C,128,72
2019-03-26T20:00:40,C,128,67
2019-03-26T20:11:41,C,128,76
2019-03-26T20:20:41,C,128,77
2019-03-26T20:32:12,C,128,80
2019-03-26T20:42:12,C,128,78
2019-03-26T20:51:12,C,128,76
2019-03-26T21:01:12,C,128,80
2019-03-26T21:11:42,C,128,82
2019-03-26T21:20:43,C,128,81
2019-03-26T21:31:43,C,128,81
2019-03-26T21:41:43,C,128,77
2019-03-26T21:52:13,C,128,78
2019-03-26T22:00:14,C,128,78
2019-03-26T22:11:14,C,128,75
2019-03-26T22:21:14,C,128,75
