date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:36,C,659,556
2019-03-26T13:10:36,C,659,557
2019-03-26T13:21:06,C,659,554
2019-03-26T13:30:07,C,659,557
2019-03-26T13:40:08,C,659,560
2019-03-26T13:50:37,C,659,558
2019-03-26T14:00:37,C,659,560
2019-03-26T14:10:38,C,659,553
2019-03-26T14:20:38,C,659,548
2019-03-26T14:30:08,C,659,548
2019-03-26T14:40:08,C,659,549
2019-03-26T14:51:09,C,659,549
2019-03-26T15:00:40,C,659,552
2019-03-26T15:11:40,C,659,552
2019-03-26T15:20:40,C,659,552
2019-03-26T15:31:10,C,659,550
2019-03-26T15:40:11,C,659,549
2019-03-26T15:51:11,C,659,548
2019-03-26T16:00:41,C,659,554
2019-03-26T16:10:42,C,659,552
2019-03-26T16:21:42,C,659,547
2019-03-26T16:32:12,C,659,549
2019-03-26T16:41:13,C,659,549
2019-03-26T16:51:13,C,659,551
2019-03-26T17:01:14,C,659,553
2019-03-26T17:11:43,C,659,554
2019-03-26T17:21:44,C,659,553
2019-03-26T17:30:44,C,659,557
2019-03-26T17:41:14,C,659,544
2019-03-26T17:51:15,C,659,538
2019-03-26T18:12:46,C,659,528
2019-03-26T18:32:46,C,659,517
2019-03-26T18:41:46,C,659,501
2019-03-26T18:52:17,C,659,484
2019-03-26T19:02:17,C,659,473
2019-03-26T19:13:17,C,659,463
2019-03-26T19:22:50,C,659,446
2019-03-26T19:33:48,C,659,444
2019-03-26T19:41:48,C,659,440
2019-03-26T19:53:19,C,659,424
2019-03-26T20:02:19,C,659,410
2019-03-26T20:13:50,C,659,401
2019-03-26T20:22:49,C,659,389
2019-03-26T20:32:50,C,659,389
2019-03-26T20:43:20,C,659,387
2019-03-26T20:53:21,C,659,375
2019-03-26T21:03:21,C,659,365
2019-03-26T21:13:53,C,659,353
2019-03-26T21:22:53,C,659,350
2019-03-26T21:32:52,C,659,345
2019-03-26T21:43:22,C,659,337
2019-03-26T21:53:21,C,659,332
2019-03-26T22:02:21,C,659,327
2019-03-26T22:13:51,C,659,320
2019-03-26T22:23:52,C,659,316
2019-03-26T22:32:53,C,659,311
2019-03-26T22:43:23,C,659,304
2019-03-26T22:53:23,C,659,302
2019-03-26T23:03:53,C,659,300
2019-03-26T23:14:53,C,659,298
2019-03-26T23:23:54,C,659,293
2019-03-26T23:34:24,C,659,287
2019-03-26T23:44:28,C,659,285
2019-03-26T23:54:25,C,659,282
2019-03-27T00:04:55,C,659,278
2019-03-27T00:13:55,C,659,278
2019-03-27T00:22:56,C,659,277
2019-03-27T00:29:56,C,659,276
2019-03-27T00:43:26,C,659,272
2019-03-27T00:54:26,C,659,272
