date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:22,C,435,229
2019-03-26T13:09:22,C,435,227
2019-03-26T13:19:22,C,435,232
2019-03-26T13:29:23,C,435,246
2019-03-26T13:39:23,C,435,255
2019-03-26T13:49:23,C,435,253
2019-03-26T13:59:24,C,435,253
2019-03-26T14:09:24,C,435,248
2019-03-26T14:19:24,C,435,243
2019-03-26T14:29:24,C,435,245
2019-03-26T14:39:25,C,435,248
2019-03-26T14:50:25,C,435,239
2019-03-26T14:59:25,C,435,245
2019-03-26T15:10:26,C,435,246
2019-03-26T15:19:26,C,435,240
2019-03-26T15:30:26,C,435,246
2019-03-26T15:39:26,C,435,248
2019-03-26T15:50:27,C,435,254
2019-03-26T15:59:27,C,435,256
2019-03-26T16:09:27,C,435,254
2019-03-26T16:20:28,C,435,254
2019-03-26T16:30:28,C,435,245
2019-03-26T16:40:28,C,435,234
2019-03-26T16:50:28,C,435,236
2019-03-26T17:00:29,C,435,223
2019-03-26T17:10:29,C,435,233
2019-03-26T17:20:29,C,435,228
2019-03-26T17:30:30,C,435,221
2019-03-26T17:40:30,C,435,214
2019-03-26T17:50:30,C,435,195
2019-03-26T18:11:31,C,435,178
2019-03-26T18:31:31,C,435,158
2019-03-26T18:41:32,C,435,148
2019-03-26T18:51:32,C,435,131
2019-03-26T19:01:32,C,435,120
2019-03-26T19:12:33,C,435,99
2019-03-26T19:21:33,C,435,99
2019-03-26T19:32:33,C,435,101
2019-03-26T19:41:33,C,435,101
2019-03-26T19:52:34,C,435,115
2019-03-26T20:01:34,C,435,116
2019-03-26T20:12:34,C,435,107
2019-03-26T20:21:35,C,435,99
2019-03-26T20:32:35,C,435,100
2019-03-26T20:42:35,C,435,102
2019-03-26T20:52:35,C,435,111
2019-03-26T21:03:06,C,435,106
2019-03-26T21:13:06,C,435,112
2019-03-26T21:22:06,C,435,114
2019-03-26T21:33:07,C,435,116
2019-03-26T21:43:07,C,435,123
2019-03-26T21:53:07,C,435,118
2019-03-26T22:02:07,C,435,113
2019-03-26T22:12:08,C,435,111
2019-03-26T22:22:08,C,435,105
2019-03-26T22:32:08,C,435,106
2019-03-26T22:42:09,C,435,101
2019-03-26T22:52:09,C,435,102
2019-03-26T23:02:09,C,435,98
2019-03-26T23:13:10,C,435,95
2019-03-26T23:23:10,C,435,93
2019-03-26T23:33:10,C,435,92
2019-03-26T23:43:10,C,435,90
2019-03-26T23:53:11,C,435,89
2019-03-27T00:03:11,C,435,87
2019-03-27T00:12:11,C,435,85
2019-03-27T00:21:11,C,435,84
2019-03-27T00:28:12,C,435,82
2019-03-27T00:42:12,C,435,79
2019-03-27T00:53:12,C,435,80
2019-03-27T01:03:13,C,435,80
2019-03-27T01:13:13,C,435,79
2019-03-27T01:23:13,C,435,80
2019-03-27T01:33:14,C,435,80
2019-03-27T01:43:14,C,435,77
2019-03-27T01:53:14,C,435,74
2019-03-27T02:03:14,C,435,75
2019-03-27T02:13:15,C,435,73
2019-03-27T02:23:15,C,435,73
2019-03-27T02:33:15,C,435,68
2019-03-27T02:43:16,C,435,71
2019-03-27T02:54:02,C,435,72
2019-03-27T03:14:03,C,435,75
2019-03-27T03:24:03,C,435,72
2019-03-27T03:33:03,C,435,71
2019-03-27T03:44:03,C,435,73
2019-03-27T03:54:04,C,435,71
2019-03-27T04:04:04,C,435,72
2019-03-27T04:13:04,C,435,69
2019-03-27T04:23:04,C,435,73
2019-03-27T04:34:05,C,435,70
2019-03-27T04:43:35,C,435,70
2019-03-27T04:54:35,C,435,71
2019-03-27T05:04:36,C,435,71
2019-03-27T05:14:36,C,435,74
2019-03-27T05:24:36,C,435,74
2019-03-27T05:34:37,C,435,75
2019-03-27T05:44:37,C,435,80
2019-03-27T05:54:37,C,435,83
2019-03-27T06:04:37,C,435,88
2019-03-27T06:14:38,C,435,94
2019-03-27T06:24:38,C,435,102
2019-03-27T06:34:38,C,435,112
2019-03-27T06:44:39,C,435,120
2019-03-27T06:54:39,C,435,130
2019-03-27T07:04:39,C,435,135
2019-03-27T07:15:39,C,435,157
2019-03-27T07:24:40,C,435,158
2019-03-27T07:34:40,C,435,160
2019-03-27T07:44:40,C,435,160
2019-03-27T07:54:41,C,435,163
2019-03-27T08:05:41,C,435,173
2019-03-27T08:14:41,C,435,179
2019-03-27T08:24:41,C,435,193
2019-03-27T08:35:42,C,435,189
2019-03-27T08:44:42,C,435,189
2019-03-27T08:54:42,C,435,199
2019-03-27T09:05:43,C,435,191
2019-03-27T09:15:43,C,435,202
2019-03-27T09:24:43,C,435,210
2019-03-27T09:35:44,C,435,215
2019-03-27T09:44:44,C,435,220
2019-03-27T09:55:44,C,435,221
2019-03-27T10:05:44,C,435,225
2019-03-27T10:15:45,C,435,215
2019-03-27T10:25:45,C,435,224
2019-03-27T10:34:45,C,435,221
2019-03-27T10:45:46,C,435,234
2019-03-27T10:55:46,C,435,229
2019-03-27T11:05:46,C,435,231
2019-03-27T11:15:46,C,435,234
2019-03-27T11:25:47,C,435,228
2019-03-27T11:35:47,C,435,225
2019-03-27T11:45:47,C,435,221
2019-03-27T11:56:48,C,435,213
2019-03-27T12:05:48,C,435,213
2019-03-27T12:16:48,C,435,193
2019-03-27T12:26:48,C,435,186
2019-03-27T12:35:49,C,435,193
2019-03-27T12:46:49,C,435,192
2019-03-27T12:55:49,C,435,193
2019-03-27T13:06:50,C,435,198
2019-03-27T13:15:50,C,435,206
2019-03-27T13:26:50,C,435,222
2019-03-27T13:35:50,C,435,230
2019-03-27T13:46:51,C,435,236
2019-03-27T13:54:51,C,435,241
2019-03-27T14:05:51,C,435,237
2019-03-27T14:14:52,C,435,252
