date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:30,C,227,39
2019-03-26T13:10:59,C,227,45
2019-03-26T13:21:00,C,227,51
2019-03-26T13:30:01,C,227,55
2019-03-26T13:40:01,C,227,48
2019-03-26T13:50:31,C,227,57
2019-03-26T14:00:31,C,227,59
2019-03-26T14:10:31,C,227,65
2019-03-26T14:21:02,C,227,67
2019-03-26T14:31:02,C,227,69
2019-03-26T14:41:03,C,227,77
2019-03-26T14:51:03,C,227,74
2019-03-26T15:00:34,C,227,70
2019-03-26T15:11:34,C,227,79
2019-03-26T15:20:34,C,227,80
2019-03-26T15:31:35,C,227,77
2019-03-26T15:41:04,C,227,80
2019-03-26T15:51:04,C,227,78
2019-03-26T16:00:04,C,227,75
2019-03-26T16:10:34,C,227,71
2019-03-26T16:21:35,C,227,69
2019-03-26T16:31:35,C,227,68
2019-03-26T16:41:35,C,227,72
2019-03-26T16:52:06,C,227,72
2019-03-26T17:01:06,C,227,76
2019-03-26T17:11:06,C,227,84
2019-03-26T17:21:07,C,227,81
2019-03-26T17:31:38,C,227,77
2019-03-26T17:41:37,C,227,72
2019-03-26T17:51:37,C,227,71
2019-03-26T18:12:07,C,227,52
2019-03-26T18:32:07,C,227,47
2019-03-26T18:42:39,C,227,41
2019-03-26T18:52:38,C,227,38
2019-03-26T19:02:37,C,227,38
2019-03-26T19:14:06,C,227,39
2019-03-26T19:22:07,C,227,39
2019-03-26T19:33:07,C,227,32
2019-03-26T19:42:07,C,227,35
2019-03-26T19:53:37,C,227,39
2019-03-26T20:02:38,C,227,42
2019-03-26T20:13:39,C,227,46
2019-03-26T20:22:40,C,227,51
2019-03-26T20:33:09,C,227,48
2019-03-26T20:43:09,C,227,45
2019-03-26T20:53:10,C,227,48
2019-03-26T21:03:10,C,227,49
2019-03-26T21:13:41,C,227,53
2019-03-26T21:22:41,C,227,52
2019-03-26T21:33:42,C,227,49
2019-03-26T21:43:11,C,227,54
2019-03-26T21:53:12,C,227,46
2019-03-26T22:02:13,C,227,47
2019-03-26T22:13:13,C,227,51
2019-03-26T22:23:44,C,227,49
2019-03-26T22:33:44,C,227,47
2019-03-26T22:43:44,C,227,45
2019-03-26T22:53:45,C,227,47
2019-03-26T23:03:14,C,227,45
2019-03-26T23:14:15,C,227,44
2019-03-26T23:24:15,C,227,47
2019-03-26T23:34:46,C,227,46
