date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:20,C,34,0
2019-03-26T13:10:06,C,34,0
2019-03-26T13:20:47,C,34,0
2019-03-26T13:30:55,C,34,0
2019-03-26T13:39:59,C,34,0
2019-03-26T13:50:41,C,34,1
2019-03-26T13:59:20,C,34,0
2019-03-26T14:10:23,C,34,0
2019-03-26T14:20:20,C,34,0
2019-03-26T14:30:34,C,34,0
2019-03-26T14:39:15,C,34,0
2019-03-26T14:51:13,C,34,0
2019-03-26T14:59:45,C,34,0
2019-03-26T15:11:33,C,34,0
2019-03-26T15:20:20,C,34,0
2019-03-26T15:30:48,C,34,2
2019-03-26T15:41:09,C,34,0
2019-03-26T15:51:06,C,34,0
2019-03-26T16:00:10,C,34,0
2019-03-26T16:10:38,C,34,3
2019-03-26T16:21:50,C,34,0
2019-03-26T16:31:00,C,34,0
2019-03-26T16:40:01,C,34,0
2019-03-26T16:51:33,C,34,0
2019-03-26T17:00:21,C,34,0
2019-03-26T17:10:52,C,34,2
2019-03-26T17:20:55,C,34,0
2019-03-26T17:30:52,C,34,0
2019-03-26T17:40:53,C,34,0
2019-03-26T17:49:44,C,34,0
2019-03-26T18:12:21,C,34,0
2019-03-26T18:32:51,C,34,0
2019-03-26T18:41:58,C,34,0
2019-03-26T18:52:14,C,34,0
2019-03-26T19:02:32,C,34,0
2019-03-26T19:13:47,C,34,0
2019-03-26T19:22:57,C,34,0
2019-03-26T19:33:23,C,34,0
2019-03-26T19:42:22,C,34,0
2019-03-26T19:53:32,C,34,0
2019-03-26T20:02:14,C,34,0
2019-03-26T20:13:10,C,34,0
2019-03-26T20:18:58,C,34,0
2019-03-26T20:32:39,C,34,0
2019-03-26T20:43:53,C,34,0
2019-03-26T20:52:21,C,34,0
2019-03-26T21:03:23,C,34,0
2019-03-26T21:13:48,C,34,3
2019-03-26T21:22:54,C,34,2
2019-03-26T21:33:21,C,34,5
2019-03-26T21:42:52,C,34,7
2019-03-26T21:52:21,C,34,7
2019-03-26T22:02:39,C,34,8
2019-03-26T22:12:21,C,34,9
2019-03-26T22:22:05,C,34,12
2019-03-26T22:33:13,C,34,14
2019-03-26T22:43:41,C,34,15
2019-03-26T22:53:31,C,34,14
2019-03-26T23:02:47,C,34,12
2019-03-26T23:13:34,C,34,15
2019-03-26T23:24:21,C,34,15
2019-03-26T23:33:18,C,34,17
2019-03-26T23:44:21,C,34,17
2019-03-26T23:54:24,C,34,14
2019-03-27T00:04:24,C,34,18
2019-03-27T00:12:21,C,34,17
2019-03-27T00:20:21,C,34,17
2019-03-27T00:28:44,C,34,17
2019-03-27T00:40:22,C,34,18
2019-03-27T00:52:39,C,34,17
2019-03-27T01:04:22,C,34,17
2019-03-27T01:14:14,C,34,16
2019-03-27T01:24:22,C,34,16
2019-03-27T01:32:22,C,34,19
