date,lot_type_0,lots_total_0,lots_available_0
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
2015-08-19T12:37:42,C,360,353
