date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:42,C,384,226
2019-03-26T13:08:42,C,384,226
2019-03-26T13:18:43,C,384,226
2019-03-26T13:28:43,C,384,228
2019-03-26T13:39:43,C,384,227
2019-03-26T13:49:43,C,384,229
2019-03-26T13:59:43,C,384,229
2019-03-26T14:09:43,C,384,229
2019-03-26T14:19:43,C,384,229
2019-03-26T14:29:43,C,384,225
2019-03-26T14:39:44,C,384,224
2019-03-26T14:50:44,C,384,222
2019-03-26T15:00:44,C,384,223
2019-03-26T15:10:44,C,384,226
2019-03-26T15:20:44,C,384,225
2019-03-26T15:30:44,C,384,225
2019-03-26T15:38:44,C,384,225
2019-03-26T15:50:44,C,384,224
2019-03-26T15:59:45,C,384,222
2019-03-26T16:09:45,C,384,220
2019-03-26T16:21:45,C,384,219
2019-03-26T16:31:45,C,384,219
2019-03-26T16:39:45,C,384,219
2019-03-26T16:49:45,C,384,222
2019-03-26T16:59:45,C,384,223
2019-03-26T17:09:46,C,384,220
2019-03-26T17:20:46,C,384,219
2019-03-26T17:30:46,C,384,219
2019-03-26T17:40:46,C,384,212
2019-03-26T17:50:46,C,384,210
2019-03-26T18:10:46,C,384,201
2019-03-26T18:31:47,C,384,196
2019-03-26T18:41:47,C,384,193
2019-03-26T18:51:47,C,384,191
2019-03-26T19:01:47,C,384,189
2019-03-26T19:11:47,C,384,186
2019-03-26T19:21:47,C,384,181
2019-03-26T19:31:47,C,384,180
2019-03-26T19:42:48,C,384,178
2019-03-26T19:52:48,C,384,176
2019-03-26T20:02:48,C,384,168
2019-03-26T20:12:48,C,384,164
2019-03-26T20:20:48,C,384,162
2019-03-26T20:32:48,C,384,160
2019-03-26T20:42:48,C,384,160
2019-03-26T20:53:48,C,384,161
2019-03-26T21:03:49,C,384,159
2019-03-26T21:13:49,C,384,157
2019-03-26T21:21:49,C,384,155
2019-03-26T21:31:49,C,384,155
2019-03-26T21:41:49,C,384,156
2019-03-26T21:51:49,C,384,154
2019-03-26T22:01:49,C,384,151
2019-03-26T22:12:50,C,384,149
2019-03-26T22:22:50,C,384,142
2019-03-26T22:32:50,C,384,137
2019-03-26T22:42:50,C,384,133
2019-03-26T22:52:50,C,384,131
2019-03-26T23:02:50,C,384,129
2019-03-26T23:12:50,C,384,126
2019-03-26T23:23:51,C,384,125
2019-03-26T23:33:51,C,384,126
2019-03-26T23:43:51,C,384,125
2019-03-26T23:53:51,C,384,124
2019-03-27T00:03:51,C,384,123
2019-03-27T00:11:51,C,384,123
2019-03-27T00:21:51,C,384,125
2019-03-27T00:27:51,C,384,124
2019-03-27T00:42:52,C,384,122
2019-03-27T00:54:52,C,384,122
2019-03-27T01:04:52,C,384,119
2019-03-27T01:12:52,C,384,118
2019-03-27T01:22:52,C,384,118
2019-03-27T01:32:52,C,384,116
2019-03-27T01:42:52,C,384,115
2019-03-27T01:53:52,C,384,115
2019-03-27T02:03:53,C,384,114
2019-03-27T02:13:53,C,384,112
2019-03-27T02:23:53,C,384,112
2019-03-27T02:33:53,C,384,111
2019-03-27T02:43:53,C,384,109
2019-03-27T02:53:53,C,384,109
2019-03-27T03:14:28,C,384,108
2019-03-27T03:24:28,C,384,107
2019-03-27T03:32:28,C,384,107
2019-03-27T03:45:28,C,384,107
2019-03-27T03:55:28,C,384,106
2019-03-27T04:05:29,C,384,106
2019-03-27T04:13:29,C,384,106
2019-03-27T04:23:29,C,384,108
2019-03-27T04:35:29,C,384,110
2019-03-27T04:43:29,C,384,110
2019-03-27T04:53:29,C,384,110
2019-03-27T05:04:29,C,384,112
2019-03-27T05:14:30,C,384,113
2019-03-27T05:24:30,C,384,114
2019-03-27T05:34:30,C,384,115
2019-03-27T05:44:30,C,384,116
2019-03-27T05:54:30,C,384,117
2019-03-27T06:04:30,C,384,118
2019-03-27T06:15:30,C,384,119
2019-03-27T06:25:30,C,384,123
2019-03-27T06:35:31,C,384,126
2019-03-27T06:45:31,C,384,135
2019-03-27T06:55:31,C,384,144
2019-03-27T07:05:31,C,384,149
2019-03-27T07:15:31,C,384,159
2019-03-27T07:24:31,C,384,167
2019-03-27T07:34:31,C,384,178
2019-03-27T07:44:32,C,384,183
2019-03-27T07:54:32,C,384,193
2019-03-27T08:06:32,C,384,196
2019-03-27T08:14:32,C,384,197
2019-03-27T08:24:32,C,384,202
2019-03-27T08:34:32,C,384,204
2019-03-27T08:45:32,C,384,209
2019-03-27T08:55:32,C,384,212
2019-03-27T09:05:33,C,384,212
2019-03-27T09:15:33,C,384,211
2019-03-27T09:25:33,C,384,214
2019-03-27T09:35:33,C,384,216
2019-03-27T09:43:33,C,384,218
2019-03-27T09:56:33,C,384,220
2019-03-27T10:06:33,C,384,222
2019-03-27T10:16:34,C,384,223
2019-03-27T10:26:34,C,384,229
2019-03-27T10:34:34,C,384,228
2019-03-27T10:44:34,C,384,230
2019-03-27T10:54:34,C,384,228
2019-03-27T11:05:34,C,384,228
2019-03-27T11:15:34,C,384,228
2019-03-27T11:25:34,C,384,228
2019-03-27T11:35:35,C,384,225
2019-03-27T11:45:35,C,384,225
2019-03-27T11:57:35,C,384,226
2019-03-27T12:05:35,C,384,225
2019-03-27T12:15:35,C,384,226
2019-03-27T12:26:35,C,384,228
2019-03-27T12:36:35,C,384,230
2019-03-27T12:46:36,C,384,233
2019-03-27T12:56:36,C,384,234
2019-03-27T13:06:36,C,384,236
2019-03-27T13:14:36,C,384,237
2019-03-27T13:26:36,C,384,238
2019-03-27T13:35:36,C,384,239
2019-03-27T13:47:36,C,384,238
2019-03-27T13:55:36,C,384,238
2019-03-27T14:07:37,C,384,237
2019-03-27T14:15:37,C,384,236
2019-03-27T14:25:37,C,384,232
2019-03-27T14:35:37,C,384,231
2019-03-27T14:46:37,C,384,231
2019-03-27T14:56:37,C,384,229
2019-03-27T15:06:37,C,384,228
2019-03-27T15:16:38,C,384,226
2019-03-27T15:26:38,C,384,224
2019-03-27T15:36:38,C,384,225
2019-03-27T15:46:38,C,384,226
2019-03-27T15:56:38,C,384,229
2019-03-27T16:07:38,C,384,230
2019-03-27T16:17:38,C,384,232
2019-03-27T16:27:38,C,384,231
2019-03-27T16:37:39,C,384,232
2019-03-27T16:47:39,C,384,231
2019-03-27T16:57:39,C,384,230
2019-03-27T17:07:39,C,384,230
2019-03-27T17:18:39,C,384,227
2019-03-27T17:26:39,C,384,220
2019-03-27T17:38:39,C,384,212
2019-03-27T17:46:39,C,384,211
2019-03-27T17:56:40,C,384,210
2019-03-27T18:06:40,C,384,211
2019-03-27T18:16:40,C,384,207
2019-03-27T18:27:40,C,384,201
2019-03-27T18:37:40,C,384,200
2019-03-27T18:47:40,C,384,198
2019-03-27T18:57:40,C,384,196
2019-03-27T19:07:40,C,384,198
2019-03-27T19:17:41,C,384,195
2019-03-27T19:27:41,C,384,191
2019-03-27T19:37:41,C,384,187
2019-03-27T19:48:41,C,384,188
2019-03-27T19:58:41,C,384,184
2019-03-27T20:08:41,C,384,175
2019-03-27T20:18:41,C,384,169
2019-03-27T20:28:42,C,384,163
2019-03-27T20:36:42,C,384,161
2019-03-27T20:46:42,C,384,158
2019-03-27T20:57:42,C,384,155
2019-03-27T21:07:42,C,384,151
2019-03-27T21:17:42,C,384,153
2019-03-27T21:27:42,C,384,153
2019-03-27T21:37:42,C,384,151
2019-03-27T21:47:43,C,384,151
2019-03-27T21:57:43,C,384,149
2019-03-27T22:08:43,C,384,142
2019-03-27T22:18:43,C,384,141
2019-03-27T22:28:43,C,384,141
2019-03-27T22:38:43,C,384,139
2019-03-27T22:48:43,C,384,133
2019-03-27T22:58:44,C,384,132
2019-03-27T23:08:44,C,384,132
2019-03-27T23:19:44,C,384,127
2019-03-27T23:27:44,C,384,127
2019-03-27T23:39:44,C,384,125
2019-03-27T23:49:44,C,384,123
2019-03-27T23:59:44,C,384,122
2019-03-28T00:07:44,C,384,120
2019-03-28T00:17:45,C,384,119
2019-03-28T00:27:45,C,384,116
2019-03-28T00:38:45,C,384,116
2019-03-28T00:48:45,C,384,116
2019-03-28T00:58:45,C,384,114
2019-03-28T01:10:45,C,384,113
2019-03-28T01:18:45,C,384,113
2019-03-28T01:28:46,C,384,113
2019-03-28T01:38:46,C,384,112
2019-03-28T01:49:46,C,384,109
2019-03-28T01:59:46,C,384,107
2019-03-28T02:09:46,C,384,106
2019-03-28T02:19:46,C,384,106
2019-03-28T02:29:46,C,384,105
2019-03-28T02:39:46,C,384,104
2019-03-28T02:49:47,C,384,104
2019-03-28T02:57:47,C,384,103
2019-03-28T03:10:34,C,384,102
2019-03-28T03:18:34,C,384,102
2019-03-28T03:30:34,C,384,101
2019-03-28T03:38:34,C,384,101
2019-03-28T03:48:35,C,384,100
2019-03-28T03:59:35,C,384,99
2019-03-28T04:09:35,C,384,99
2019-03-28T04:21:35,C,384,100
2019-03-28T04:29:35,C,384,100
2019-03-28T04:41:35,C,384,100
2019-03-28T04:49:35,C,384,101
2019-03-28T04:59:36,C,384,102
2019-03-28T05:09:36,C,384,104
2019-03-28T05:20:36,C,384,104
2019-03-28T05:30:36,C,384,106
2019-03-28T05:40:36,C,384,108
2019-03-28T05:50:36,C,384,108
2019-03-28T06:00:36,C,384,109
2019-03-28T06:10:36,C,384,109
2019-03-28T06:18:37,C,384,112
2019-03-28T06:29:37,C,384,119
2019-03-28T06:39:37,C,384,126
2019-03-28T06:51:37,C,384,137
2019-03-28T06:59:37,C,384,141
2019-03-28T07:11:37,C,384,150
2019-03-28T07:19:37,C,384,157
2019-03-28T07:29:38,C,384,163
2019-03-28T07:40:38,C,384,178
2019-03-28T07:50:38,C,384,180
2019-03-28T08:00:38,C,384,186
2019-03-28T08:10:38,C,384,190
2019-03-28T08:20:38,C,384,195
2019-03-28T08:30:38,C,384,198
2019-03-28T08:40:38,C,384,196
2019-03-28T08:50:39,C,384,200
2019-03-28T09:01:39,C,384,205
2019-03-28T09:11:39,C,384,210
2019-03-28T09:21:39,C,384,207
2019-03-28T09:31:39,C,384,208
2019-03-28T09:41:39,C,384,209
2019-03-28T09:51:39,C,384,211
2019-03-28T09:59:39,C,384,211
2019-03-28T10:10:40,C,384,212
2019-03-28T10:22:40,C,384,214
2019-03-28T10:32:40,C,384,215
2019-03-28T10:42:40,C,384,218
2019-03-28T10:50:40,C,384,217
2019-03-28T11:00:40,C,384,215
2019-03-28T11:10:40,C,384,215
2019-03-28T11:21:41,C,384,215
2019-03-28T11:31:41,C,384,217
2019-03-28T11:41:41,C,384,217
2019-03-28T11:51:41,C,384,218
2019-03-28T12:01:41,C,384,217
2019-03-28T12:11:41,C,384,219
2019-03-28T12:21:41,C,384,217
2019-03-28T12:31:42,C,384,218
2019-03-28T12:42:42,C,384,217
2019-03-28T12:52:42,C,384,216
2019-03-28T13:02:42,C,384,217
2019-03-28T13:12:42,C,384,216
2019-03-28T13:20:42,C,384,217
2019-03-28T13:30:42,C,384,216
2019-03-28T13:40:42,C,384,215
