date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:43,C,81,11
2019-03-26T13:10:44,C,81,14
2019-03-26T13:20:44,C,81,15
2019-03-26T13:30:14,C,81,14
2019-03-26T13:40:14,C,81,11
2019-03-26T13:50:15,C,81,18
2019-03-26T14:00:45,C,81,26
2019-03-26T14:10:45,C,81,24
2019-03-26T14:20:45,C,81,20
2019-03-26T14:30:46,C,81,19
2019-03-26T14:41:16,C,81,18
2019-03-26T14:51:17,C,81,18
2019-03-26T15:00:17,C,81,25
2019-03-26T15:11:17,C,81,21
2019-03-26T15:20:47,C,81,22
2019-03-26T15:31:48,C,81,27
2019-03-26T15:40:48,C,81,31
2019-03-26T15:51:18,C,81,32
2019-03-26T16:00:18,C,81,31
2019-03-26T16:10:19,C,81,25
2019-03-26T16:21:19,C,81,23
2019-03-26T16:31:49,C,81,24
2019-03-26T16:41:50,C,81,28
2019-03-26T16:51:50,C,81,28
2019-03-26T17:00:50,C,81,29
2019-03-26T17:11:21,C,81,23
2019-03-26T17:21:21,C,81,19
2019-03-26T17:31:21,C,81,19
2019-03-26T17:41:52,C,81,26
2019-03-26T17:51:52,C,81,32
2019-03-26T18:11:53,C,81,27
2019-03-26T18:32:24,C,81,24
2019-03-26T18:42:23,C,81,14
2019-03-26T18:52:23,C,81,21
2019-03-26T19:02:54,C,81,17
2019-03-26T19:13:54,C,81,17
2019-03-26T19:21:54,C,81,19
2019-03-26T19:32:55,C,81,18
2019-03-26T19:42:25,C,81,16
2019-03-26T19:53:26,C,81,11
2019-03-26T20:02:26,C,81,12
2019-03-26T20:13:56,C,81,12
2019-03-26T20:22:57,C,81,9
2019-03-26T20:32:56,C,81,12
2019-03-26T20:42:57,C,81,14
2019-03-26T20:53:27,C,81,12
2019-03-26T21:03:27,C,81,17
2019-03-26T21:13:28,C,81,21
2019-03-26T21:22:28,C,81,23
2019-03-26T21:33:58,C,81,23
2019-03-26T21:42:59,C,81,22
2019-03-26T21:52:59,C,81,22
2019-03-26T22:02:29,C,81,23
2019-03-26T22:13:29,C,81,21
2019-03-26T22:23:30,C,81,20
2019-03-26T22:33:30,C,81,16
