date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:52,C,372,159
2019-03-26T13:10:53,C,372,164
2019-03-26T13:20:53,C,372,176
2019-03-26T13:29:53,C,372,169
2019-03-26T13:40:23,C,372,175
2019-03-26T13:50:23,C,372,174
2019-03-26T14:00:24,C,372,168
2019-03-26T14:10:54,C,372,163
2019-03-26T14:20:54,C,372,162
2019-03-26T14:30:55,C,372,166
2019-03-26T14:40:55,C,372,170
2019-03-26T14:51:26,C,372,173
2019-03-26T15:00:26,C,372,173
2019-03-26T15:11:26,C,372,179
2019-03-26T15:20:26,C,372,185
2019-03-26T15:31:56,C,372,179
2019-03-26T15:40:57,C,372,188
2019-03-26T15:50:57,C,372,190
2019-03-26T15:59:57,C,372,202
2019-03-26T16:10:28,C,372,200
2019-03-26T16:21:28,C,372,209
2019-03-26T16:31:28,C,372,205
2019-03-26T16:41:58,C,372,209
2019-03-26T16:51:59,C,372,208
2019-03-26T17:00:59,C,372,209
2019-03-26T17:10:59,C,372,214
2019-03-26T17:21:30,C,372,216
2019-03-26T17:31:31,C,372,223
2019-03-26T17:41:30,C,372,226
2019-03-26T17:51:30,C,372,228
2019-03-26T18:12:01,C,372,235
2019-03-26T18:32:32,C,372,231
2019-03-26T18:42:32,C,372,232
2019-03-26T18:52:32,C,372,236
2019-03-26T19:02:32,C,372,236
2019-03-26T19:14:03,C,372,233
2019-03-26T19:22:03,C,372,239
2019-03-26T19:33:03,C,372,247
2019-03-26T19:42:05,C,372,251
2019-03-26T19:53:34,C,372,253
2019-03-26T20:02:34,C,372,262
2019-03-26T20:13:35,C,372,268
2019-03-26T20:23:05,C,372,275
2019-03-26T20:33:05,C,372,279
2019-03-26T20:43:05,C,372,287
2019-03-26T20:53:06,C,372,292
2019-03-26T21:03:36,C,372,291
2019-03-26T21:13:36,C,372,293
2019-03-26T21:22:36,C,372,294
2019-03-26T21:33:37,C,372,306
2019-03-26T21:43:07,C,372,305
2019-03-26T21:53:07,C,372,307
2019-03-26T22:02:08,C,372,310
2019-03-26T22:13:38,C,372,309
2019-03-26T22:23:38,C,372,312
2019-03-26T22:33:38,C,372,314
2019-03-26T22:43:38,C,372,312
2019-03-26T22:54:09,C,372,313
2019-03-26T23:03:09,C,372,314
2019-03-26T23:14:09,C,372,314
2019-03-26T23:24:09,C,372,315
2019-03-26T23:34:40,C,372,314
2019-03-26T23:44:41,C,372,311
2019-03-26T23:54:41,C,372,309
2019-03-27T00:05:11,C,372,309
2019-03-27T00:14:11,C,372,309
2019-03-27T00:22:12,C,372,310
2019-03-27T00:29:13,C,372,310
2019-03-27T00:43:42,C,372,309
2019-03-27T00:54:42,C,372,307
2019-03-27T01:04:42,C,372,307
2019-03-27T01:14:43,C,372,306
2019-03-27T01:25:13,C,372,308
2019-03-27T01:34:13,C,372,309
2019-03-27T01:44:14,C,372,309
2019-03-27T01:54:14,C,372,309
2019-03-27T02:04:47,C,372,308
2019-03-27T02:14:45,C,372,308
2019-03-27T02:24:45,C,372,308
2019-03-27T02:35:15,C,372,308
2019-03-27T02:44:15,C,372,309
2019-03-27T02:55:16,C,372,309
2019-03-27T03:15:46,C,372,309
2019-03-27T03:25:46,C,372,309
2019-03-27T03:34:47,C,372,309
2019-03-27T03:45:47,C,372,309
2019-03-27T03:55:17,C,372,309
2019-03-27T04:05:18,C,372,314
2019-03-27T04:14:18,C,372,314
2019-03-27T04:24:18,C,372,313
2019-03-27T04:35:49,C,372,313
2019-03-27T04:44:49,C,372,313
2019-03-27T04:55:49,C,372,313
2019-03-27T05:06:07,C,372,313
2019-03-27T05:15:07,C,372,314
2019-03-27T05:25:37,C,372,314
2019-03-27T05:35:38,C,372,314
2019-03-27T05:45:38,C,372,314
2019-03-27T05:55:38,C,372,314
2019-03-27T06:06:09,C,372,316
2019-03-27T06:16:09,C,372,315
2019-03-27T06:25:09,C,372,315
2019-03-27T06:35:09,C,372,316
2019-03-27T06:45:41,C,372,317
2019-03-27T06:55:40,C,372,318
2019-03-27T07:05:40,C,372,319
2019-03-27T07:17:11,C,372,318
2019-03-27T07:26:11,C,372,318
2019-03-27T07:35:11,C,372,312
2019-03-27T07:45:12,C,372,312
2019-03-27T07:55:42,C,372,310
2019-03-27T08:06:43,C,372,307
2019-03-27T08:15:43,C,372,309
2019-03-27T08:25:43,C,372,308
2019-03-27T08:37:13,C,372,306
2019-03-27T08:45:13,C,372,300
2019-03-27T08:55:13,C,372,296
2019-03-27T09:06:14,C,372,292
2019-03-27T09:16:44,C,372,284
2019-03-27T09:25:44,C,372,276
2019-03-27T09:36:45,C,372,264
2019-03-27T09:46:15,C,372,253
2019-03-27T09:56:15,C,372,252
2019-03-27T10:06:15,C,372,250
2019-03-27T10:16:16,C,372,246
2019-03-27T10:26:46,C,372,238
2019-03-27T10:35:46,C,372,236
2019-03-27T10:46:47,C,372,222
2019-03-27T10:56:47,C,372,210
2019-03-27T11:06:17,C,372,200
2019-03-27T11:16:20,C,372,194
2019-03-27T11:26:18,C,372,191
2019-03-27T11:36:48,C,372,194
2019-03-27T11:46:48,C,372,192
2019-03-27T11:57:49,C,372,170
2019-03-27T12:06:49,C,372,174
2019-03-27T12:17:20,C,372,167
2019-03-27T12:27:21,C,372,153
2019-03-27T12:36:20,C,372,156
2019-03-27T12:47:20,C,372,160
2019-03-27T12:56:50,C,372,158
2019-03-27T13:07:50,C,372,147
2019-03-27T13:16:51,C,372,146
2019-03-27T13:27:52,C,372,154
2019-03-27T13:36:21,C,372,167
2019-03-27T13:47:22,C,372,172
2019-03-27T13:56:25,C,372,185
2019-03-27T14:07:52,C,372,199
2019-03-27T14:16:52,C,372,202
2019-03-27T14:27:53,C,372,217
2019-03-27T14:37:53,C,372,215
2019-03-27T14:47:23,C,372,206
2019-03-27T14:56:23,C,372,200
2019-03-27T15:07:24,C,372,192
2019-03-27T15:17:24,C,372,194
2019-03-27T15:26:54,C,372,184
2019-03-27T15:37:58,C,372,184
2019-03-27T15:47:55,C,372,181
2019-03-27T15:56:55,C,372,181
2019-03-27T16:07:25,C,372,185
2019-03-27T16:17:26,C,372,175
2019-03-27T16:28:26,C,372,175
2019-03-27T16:38:56,C,372,172
2019-03-27T16:48:57,C,372,166
2019-03-27T16:58:57,C,372,172
2019-03-27T17:07:57,C,372,180
2019-03-27T17:18:28,C,372,183
2019-03-27T17:27:28,C,372,194
2019-03-27T17:38:28,C,372,204
2019-03-27T17:47:28,C,372,214
2019-03-27T17:58:00,C,372,219
2019-03-27T18:08:59,C,372,217
2019-03-27T18:16:59,C,372,214
2019-03-27T18:26:59,C,372,219
2019-03-27T18:37:30,C,372,223
2019-03-27T18:48:30,C,372,233
2019-03-27T18:58:30,C,372,243
2019-03-27T19:09:01,C,372,249
2019-03-27T19:19:02,C,372,254
2019-03-27T19:28:01,C,372,252
2019-03-27T19:38:01,C,372,255
2019-03-27T19:48:32,C,372,257
2019-03-27T19:58:32,C,372,265
2019-03-27T20:08:32,C,372,276
2019-03-27T20:19:33,C,372,270
2019-03-27T20:30:03,C,372,274
2019-03-27T20:39:03,C,372,277
2019-03-27T20:48:03,C,372,281
2019-03-27T20:58:34,C,372,282
2019-03-27T21:08:34,C,372,295
2019-03-27T21:18:34,C,372,295
2019-03-27T21:28:35,C,372,299
2019-03-27T21:39:05,C,372,297
2019-03-27T21:49:06,C,372,304
2019-03-27T21:59:06,C,372,305
2019-03-27T22:08:06,C,372,305
2019-03-27T22:18:36,C,372,307
2019-03-27T22:29:36,C,372,307
2019-03-27T22:39:37,C,372,309
2019-03-27T22:49:07,C,372,309
2019-03-27T23:00:07,C,372,309
2019-03-27T23:09:08,C,372,305
2019-03-27T23:19:08,C,372,307
2019-03-27T23:28:38,C,372,307
2019-03-27T23:39:38,C,372,307
2019-03-27T23:49:39,C,372,306
2019-03-27T23:59:39,C,372,307
2019-03-28T00:10:10,C,372,308
2019-03-28T00:20:12,C,372,308
2019-03-28T00:29:10,C,372,308
2019-03-28T00:39:10,C,372,308
2019-03-28T00:49:40,C,372,306
2019-03-28T00:59:43,C,372,306
2019-03-28T01:10:41,C,372,305
2019-03-28T01:21:11,C,372,306
2019-03-28T01:31:12,C,372,306
2019-03-28T01:39:12,C,372,305
2019-03-28T01:49:13,C,372,304
2019-03-28T02:00:42,C,372,305
2019-03-28T02:09:42,C,372,305
2019-03-28T02:20:43,C,372,304
2019-03-28T02:30:43,C,372,302
2019-03-28T02:41:13,C,372,302
2019-03-28T02:50:14,C,372,301
2019-03-28T02:59:15,C,372,301
2019-03-28T03:10:14,C,372,301
2019-03-28T03:19:44,C,372,301
2019-03-28T03:30:45,C,372,301
2019-03-28T03:40:45,C,372,301
2019-03-28T03:51:15,C,372,301
2019-03-28T04:00:16,C,372,300
2019-03-28T04:10:19,C,372,311
2019-03-28T04:21:16,C,372,311
