date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:58:34,C,357,188
2019-03-26T13:09:04,C,357,191
2019-03-26T13:19:04,C,357,197
2019-03-26T13:29:04,C,357,198
2019-03-26T13:38:05,C,357,198
2019-03-26T13:48:35,C,357,198
2019-03-26T13:58:36,C,357,199
2019-03-26T14:08:36,C,357,199
2019-03-26T14:18:36,C,357,200
2019-03-26T14:29:06,C,357,202
2019-03-26T14:39:07,C,357,204
2019-03-26T14:49:07,C,357,202
2019-03-26T14:58:07,C,357,205
2019-03-26T15:09:37,C,357,213
2019-03-26T15:18:38,C,357,211
2019-03-26T15:29:38,C,357,209
2019-03-26T15:39:08,C,357,206
2019-03-26T15:50:09,C,357,207
2019-03-26T15:58:09,C,357,207
2019-03-26T16:08:09,C,357,210
2019-03-26T16:19:39,C,357,211
2019-03-26T16:29:40,C,357,211
2019-03-26T16:39:40,C,357,210
2019-03-26T16:49:40,C,357,211
2019-03-26T17:00:11,C,357,215
2019-03-26T17:10:11,C,357,221
2019-03-26T17:19:11,C,357,226
2019-03-26T17:29:42,C,357,230
2019-03-26T17:39:42,C,357,235
2019-03-26T17:49:42,C,357,243
2019-03-26T18:11:13,C,357,260
2019-03-26T18:30:13,C,357,259
2019-03-26T18:40:13,C,357,261
2019-03-26T18:50:44,C,357,260
2019-03-26T19:00:44,C,357,264
2019-03-26T19:11:44,C,357,273
2019-03-26T19:20:45,C,357,274
2019-03-26T19:32:15,C,357,275
2019-03-26T19:40:15,C,357,278
2019-03-26T19:51:16,C,357,281
2019-03-26T20:00:46,C,357,282
2019-03-26T20:11:46,C,357,290
2019-03-26T20:20:47,C,357,291
2019-03-26T20:31:47,C,357,291
2019-03-26T20:42:17,C,357,291
2019-03-26T20:51:17,C,357,292
2019-03-26T21:01:18,C,357,297
2019-03-26T21:11:18,C,357,296
2019-03-26T21:20:48,C,357,297
2019-03-26T21:31:48,C,357,295
2019-03-26T21:41:49,C,357,296
2019-03-26T21:52:19,C,357,296
2019-03-26T22:00:19,C,357,295
2019-03-26T22:11:20,C,357,294
2019-03-26T22:21:20,C,357,294
2019-03-26T22:31:50,C,357,296
2019-03-26T22:41:50,C,357,296
2019-03-26T22:51:51,C,357,295
2019-03-26T23:01:51,C,357,295
2019-03-26T23:12:21,C,357,295
2019-03-26T23:22:22,C,357,295
2019-03-26T23:32:22,C,357,292
2019-03-26T23:42:22,C,357,292
2019-03-26T23:52:53,C,357,291
2019-03-27T00:02:53,C,357,291
2019-03-27T00:11:53,C,357,290
2019-03-27T00:20:53,C,357,290
