date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:44,C,702,497
2019-03-26T13:08:44,C,702,498
2019-03-26T13:18:45,C,702,500
2019-03-26T13:28:45,C,702,500
2019-03-26T13:39:45,C,702,501
2019-03-26T13:49:45,C,702,498
2019-03-26T13:59:45,C,702,497
2019-03-26T14:09:45,C,702,496
2019-03-26T14:19:45,C,702,496
2019-03-26T14:29:46,C,702,492
2019-03-26T14:39:46,C,702,490
2019-03-26T14:50:46,C,702,490
2019-03-26T15:00:46,C,702,489
2019-03-26T15:10:46,C,702,492
2019-03-26T15:20:46,C,702,493
2019-03-26T15:30:46,C,702,494
2019-03-26T15:38:47,C,702,494
2019-03-26T15:50:47,C,702,497
2019-03-26T15:58:47,C,702,499
2019-03-26T16:09:47,C,702,498
2019-03-26T16:21:47,C,702,494
2019-03-26T16:31:47,C,702,494
2019-03-26T16:39:48,C,702,494
2019-03-26T16:49:48,C,702,498
2019-03-26T16:59:48,C,702,494
2019-03-26T17:09:48,C,702,494
2019-03-26T17:20:48,C,702,492
2019-03-26T17:30:48,C,702,488
2019-03-26T17:40:48,C,702,482
2019-03-26T17:50:49,C,702,472
2019-03-26T18:10:49,C,702,458
2019-03-26T18:31:49,C,702,445
2019-03-26T18:41:49,C,702,437
2019-03-26T18:51:50,C,702,429
2019-03-26T19:01:50,C,702,422
2019-03-26T19:11:50,C,702,412
2019-03-26T19:21:50,C,702,406
2019-03-26T19:31:50,C,702,399
2019-03-26T19:42:50,C,702,397
2019-03-26T19:52:50,C,702,393
2019-03-26T20:02:50,C,702,387
2019-03-26T20:12:51,C,702,381
2019-03-26T20:20:51,C,702,379
2019-03-26T20:32:51,C,702,373
2019-03-26T20:42:51,C,702,369
2019-03-26T20:52:51,C,702,361
2019-03-26T21:03:51,C,702,355
2019-03-26T21:13:52,C,702,353
2019-03-26T21:21:52,C,702,354
2019-03-26T21:31:52,C,702,352
2019-03-26T21:41:52,C,702,349
2019-03-26T21:51:52,C,702,344
2019-03-26T22:01:52,C,702,337
2019-03-26T22:12:52,C,702,337
2019-03-26T22:22:52,C,702,331
2019-03-26T22:32:53,C,702,327
2019-03-26T22:42:53,C,702,319
2019-03-26T22:52:53,C,702,313
2019-03-26T23:02:53,C,702,310
2019-03-26T23:12:53,C,702,308
2019-03-26T23:23:53,C,702,304
2019-03-26T23:33:54,C,702,304
2019-03-26T23:43:54,C,702,303
2019-03-26T23:53:54,C,702,302
2019-03-27T00:03:54,C,702,299
2019-03-27T00:11:54,C,702,298
2019-03-27T00:21:54,C,702,298
2019-03-27T00:27:54,C,702,296
2019-03-27T00:42:55,C,702,294
2019-03-27T00:54:55,C,702,292
2019-03-27T01:04:55,C,702,293
2019-03-27T01:12:55,C,702,292
2019-03-27T01:22:55,C,702,291
2019-03-27T01:32:55,C,702,290
2019-03-27T01:42:55,C,702,289
