date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:21,C,281,108
2019-03-26T13:10:01,C,281,109
2019-03-26T13:20:31,C,281,105
2019-03-26T13:29:25,C,281,108
2019-03-26T13:39:53,C,281,105
2019-03-26T13:50:16,C,281,111
2019-03-26T14:00:13,C,281,112
2019-03-26T14:10:16,C,281,113
2019-03-26T14:21:00,C,281,114
2019-03-26T14:29:44,C,281,109
2019-03-26T14:39:33,C,281,111
2019-03-26T14:50:48,C,281,103
2019-03-26T15:00:09,C,281,98
2019-03-26T15:11:44,C,281,102
2019-03-26T15:19:11,C,281,100
2019-03-26T15:29:56,C,281,102
2019-03-26T15:40:03,C,281,104
2019-03-26T15:51:20,C,281,107
2019-03-26T16:00:26,C,281,112
2019-03-26T16:09:45,C,281,116
2019-03-26T16:21:27,C,281,114
2019-03-26T16:30:45,C,281,117
2019-03-26T16:41:06,C,281,123
2019-03-26T16:50:29,C,281,118
2019-03-26T17:00:25,C,281,118
2019-03-26T17:10:41,C,281,122
2019-03-26T17:21:28,C,281,121
2019-03-26T17:31:53,C,281,126
2019-03-26T17:40:44,C,281,131
2019-03-26T17:50:07,C,281,136
2019-03-26T18:12:43,C,281,146
2019-03-26T18:31:51,C,281,156
2019-03-26T18:41:54,C,281,157
2019-03-26T18:52:05,C,281,161
2019-03-26T19:02:32,C,281,157
2019-03-26T19:11:01,C,281,153
2019-03-26T19:22:10,C,281,158
2019-03-26T19:32:45,C,281,154
2019-03-26T19:42:38,C,281,153
2019-03-26T19:53:55,C,281,152
2019-03-26T20:01:31,C,281,151
2019-03-26T20:12:34,C,281,148
2019-03-26T20:22:00,C,281,153
2019-03-26T20:32:31,C,281,152
2019-03-26T20:43:41,C,281,154
2019-03-26T20:53:13,C,281,154
2019-03-26T21:03:10,C,281,152
2019-03-26T21:13:03,C,281,153
2019-03-26T21:21:32,C,281,151
2019-03-26T21:33:32,C,281,152
2019-03-26T21:42:28,C,281,154
2019-03-26T21:50:24,C,281,154
2019-03-26T22:02:06,C,281,153
2019-03-26T22:12:33,C,281,151
2019-03-26T22:21:32,C,281,150
2019-03-26T22:33:33,C,281,151
2019-03-26T22:42:44,C,281,152
2019-03-26T22:53:22,C,281,147
2019-03-26T23:03:15,C,281,146
2019-03-26T23:14:41,C,281,145
2019-03-26T23:24:02,C,281,141
2019-03-26T23:33:45,C,281,142
2019-03-26T23:41:34,C,281,142
2019-03-26T23:53:34,C,281,142
2019-03-27T00:04:27,C,281,139
2019-03-27T00:13:34,C,281,139
2019-03-27T00:21:34,C,281,139
2019-03-27T00:25:34,C,281,139
2019-03-27T00:43:32,C,281,139
2019-03-27T00:53:35,C,281,138
2019-03-27T01:01:35,C,281,139
2019-03-27T01:13:35,C,281,141
2019-03-27T01:24:14,C,281,140
2019-03-27T01:33:35,C,281,140
2019-03-27T01:41:35,C,281,140
2019-03-27T01:53:35,C,281,139
2019-03-27T02:01:36,C,281,138
2019-03-27T02:13:36,C,281,137
2019-03-27T02:21:39,C,281,138
2019-03-27T02:33:49,C,281,137
2019-03-27T02:41:52,C,281,138
2019-03-27T02:53:52,C,281,137
2019-03-27T03:13:52,C,281,137
2019-03-27T03:21:52,C,281,136
2019-03-27T03:33:52,C,281,137
2019-03-27T03:42:32,C,281,135
2019-03-27T03:53:53,C,281,136
2019-03-27T04:05:53,C,281,156
2019-03-27T04:09:53,C,281,156
2019-03-27T04:21:53,C,281,156
2019-03-27T04:33:53,C,281,156
2019-03-27T04:42:51,C,281,156
2019-03-27T04:53:53,C,281,155
2019-03-27T05:01:54,C,281,156
2019-03-27T05:13:54,C,281,156
2019-03-27T05:21:54,C,281,159
2019-03-27T05:33:54,C,281,159
2019-03-27T05:43:43,C,281,159
2019-03-27T05:53:54,C,281,160
2019-03-27T06:04:48,C,281,162
2019-03-27T06:13:55,C,281,166
2019-03-27T06:23:01,C,281,167
2019-03-27T06:33:55,C,281,167
2019-03-27T06:45:55,C,281,169
2019-03-27T06:53:55,C,281,174
2019-03-27T07:03:49,C,281,180
2019-03-27T07:16:10,C,281,179
2019-03-27T07:24:52,C,281,181
2019-03-27T07:35:31,C,281,181
2019-03-27T07:45:00,C,281,180
2019-03-27T07:55:32,C,281,184
2019-03-27T08:06:20,C,281,186
2019-03-27T08:15:22,C,281,180
2019-03-27T08:25:30,C,281,175
2019-03-27T08:36:38,C,281,165
2019-03-27T08:45:09,C,281,166
2019-03-27T08:55:03,C,281,169
2019-03-27T09:05:57,C,281,159
2019-03-27T09:15:20,C,281,157
2019-03-27T09:25:43,C,281,147
2019-03-27T09:35:59,C,281,139
2019-03-27T09:45:11,C,281,136
2019-03-27T09:54:06,C,281,138
2019-03-27T10:05:58,C,281,132
2019-03-27T10:14:36,C,281,133
2019-03-27T10:25:58,C,281,126
2019-03-27T10:34:55,C,281,129
2019-03-27T10:46:25,C,281,132
2019-03-27T10:57:01,C,281,132
2019-03-27T11:05:46,C,281,129
2019-03-27T11:16:01,C,281,120
2019-03-27T11:26:40,C,281,115
2019-03-27T11:34:29,C,281,112
2019-03-27T11:45:27,C,281,113
2019-03-27T11:57:11,C,281,106
2019-03-27T12:05:00,C,281,99
2019-03-27T12:17:38,C,281,101
2019-03-27T12:26:17,C,281,99
2019-03-27T12:36:17,C,281,99
2019-03-27T12:47:31,C,281,96
2019-03-27T12:56:19,C,281,95
2019-03-27T13:07:54,C,281,99
2019-03-27T13:16:50,C,281,98
2019-03-27T13:26:43,C,281,93
2019-03-27T13:35:55,C,281,93
2019-03-27T13:47:24,C,281,98
2019-03-27T13:54:49,C,281,100
2019-03-27T14:07:41,C,281,103
2019-03-27T14:16:46,C,281,102
2019-03-27T14:26:40,C,281,98
2019-03-27T14:36:10,C,281,103
2019-03-27T14:47:34,C,281,106
2019-03-27T14:55:42,C,281,104
2019-03-27T15:06:02,C,281,101
2019-03-27T15:15:46,C,281,100
2019-03-27T15:26:29,C,281,103
2019-03-27T15:36:53,C,281,104
2019-03-27T15:47:44,C,281,104
2019-03-27T15:56:56,C,281,101
2019-03-27T16:06:25,C,281,101
2019-03-27T16:17:39,C,281,105
2019-03-27T16:27:20,C,281,104
2019-03-27T16:39:05,C,281,105
2019-03-27T16:46:26,C,281,105
2019-03-27T16:58:04,C,281,113
2019-03-27T17:08:01,C,281,112
2019-03-27T17:18:04,C,281,114
2019-03-27T17:27:32,C,281,117
2019-03-27T17:38:05,C,281,118
2019-03-27T17:46:36,C,281,116
2019-03-27T17:57:10,C,281,118
2019-03-27T18:06:52,C,281,127
2019-03-27T18:16:39,C,281,127
2019-03-27T18:27:11,C,281,132
2019-03-27T18:37:12,C,281,141
2019-03-27T18:48:37,C,281,155
2019-03-27T18:58:28,C,281,157
2019-03-27T19:08:22,C,281,160
2019-03-27T19:18:06,C,281,159
2019-03-27T19:28:00,C,281,158
2019-03-27T19:38:06,C,281,159
2019-03-27T19:49:04,C,281,159
2019-03-27T19:58:49,C,281,163
2019-03-27T20:07:33,C,281,161
2019-03-27T20:18:59,C,281,161
2019-03-27T20:29:40,C,281,158
2019-03-27T20:38:07,C,281,158
2019-03-27T20:48:45,C,281,158
2019-03-27T20:58:07,C,281,157
2019-03-27T21:08:10,C,281,154
2019-03-27T21:18:12,C,281,148
2019-03-27T21:28:00,C,281,152
2019-03-27T21:38:22,C,281,156
2019-03-27T21:49:01,C,281,157
2019-03-27T21:58:08,C,281,152
2019-03-27T22:06:58,C,281,155
2019-03-27T22:18:25,C,281,156
2019-03-27T22:28:50,C,281,160
2019-03-27T22:39:46,C,281,161
2019-03-27T22:48:02,C,281,160
2019-03-27T22:58:09,C,281,160
2019-03-27T23:09:15,C,281,159
2019-03-27T23:19:11,C,281,158
2019-03-27T23:29:03,C,281,162
