date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:01:09,C,1194,1182
2019-03-26T13:09:09,C,1194,1179
2019-03-26T13:19:10,C,1194,1180
2019-03-26T13:29:10,C,1194,1185
2019-03-26T13:39:10,C,1194,1187
2019-03-26T13:49:10,C,1194,1189
2019-03-26T13:59:10,C,1194,1187
2019-03-26T14:10:10,C,1194,1187
2019-03-26T14:20:10,C,1194,1191
2019-03-26T14:30:11,C,1194,1191
2019-03-26T14:40:11,C,1194,1191
2019-03-26T14:50:11,C,1194,1183
2019-03-26T15:00:11,C,1194,1188
2019-03-26T15:10:11,C,1194,1185
2019-03-26T15:21:11,C,1194,1188
2019-03-26T15:31:11,C,1194,1185
2019-03-26T15:39:12,C,1194,1191
2019-03-26T15:51:12,C,1194,1186
2019-03-26T15:59:12,C,1194,1186
2019-03-26T16:09:12,C,1194,1189
2019-03-26T16:21:12,C,1194,1191
2019-03-26T16:32:12,C,1194,1192
2019-03-26T16:40:12,C,1194,1189
2019-03-26T16:50:13,C,1194,1186
2019-03-26T17:00:13,C,1194,1192
2019-03-26T17:10:13,C,1194,1191
2019-03-26T17:20:13,C,1194,1187
2019-03-26T17:30:13,C,1194,1190
2019-03-26T17:40:13,C,1194,1183
2019-03-26T17:51:14,C,1194,1186
2019-03-26T18:11:14,C,1194,1182
2019-03-26T18:31:14,C,1194,1178
2019-03-26T18:41:14,C,1194,1177
2019-03-26T18:51:14,C,1194,1177
2019-03-26T19:02:15,C,1194,1176
2019-03-26T19:12:15,C,1194,1178
2019-03-26T19:22:15,C,1194,1174
2019-03-26T19:32:15,C,1194,1173
2019-03-26T19:42:15,C,1194,1176
2019-03-26T19:52:15,C,1194,1178
2019-03-26T20:02:15,C,1194,1180
2019-03-26T20:13:16,C,1194,1186
2019-03-26T20:21:16,C,1194,1184
2019-03-26T20:33:16,C,1194,1185
2019-03-26T20:43:16,C,1194,1184
2019-03-26T20:53:16,C,1194,1186
2019-03-26T21:03:16,C,1194,1188
2019-03-26T21:13:17,C,1194,1187
2019-03-26T21:21:17,C,1194,1185
2019-03-26T21:32:17,C,1194,1190
2019-03-26T21:42:17,C,1194,1191
2019-03-26T21:52:17,C,1194,1191
2019-03-26T22:02:17,C,1194,1193
2019-03-26T22:12:17,C,1194,1188
2019-03-26T22:22:18,C,1194,1194
2019-03-26T22:32:18,C,1194,1192
2019-03-26T22:43:18,C,1194,1191
2019-03-26T22:53:18,C,1194,1188
2019-03-26T23:03:18,C,1194,1185
2019-03-26T23:13:18,C,1194,1190
2019-03-26T23:23:18,C,1194,1193
2019-03-26T23:33:19,C,1194,1192
2019-03-26T23:43:19,C,1194,1192
2019-03-26T23:54:19,C,1194,1192
2019-03-27T00:04:19,C,1194,1190
2019-03-27T00:12:19,C,1194,1188
2019-03-27T00:22:19,C,1194,1190
2019-03-27T00:28:19,C,1194,1188
2019-03-27T00:42:20,C,1194,1189
2019-03-27T00:54:20,C,1194,1191
2019-03-27T01:04:20,C,1194,1188
2019-03-27T01:13:20,C,1194,1188
2019-03-27T01:23:20,C,1194,1189
2019-03-27T01:33:20,C,1194,1188
2019-03-27T01:43:21,C,1194,1191
2019-03-27T01:53:21,C,1194,1189
2019-03-27T02:03:21,C,1194,1189
2019-03-27T02:13:21,C,1194,1189
2019-03-27T02:24:21,C,1194,1191
2019-03-27T02:34:21,C,1194,1191
2019-03-27T02:44:21,C,1194,1190
2019-03-27T02:54:22,C,1194,1190
2019-03-27T03:15:05,C,1194,1189
2019-03-27T03:25:06,C,1194,1190
2019-03-27T03:33:06,C,1194,1191
2019-03-27T03:45:06,C,1194,1190
2019-03-27T03:55:06,C,1194,1190
2019-03-27T04:05:06,C,1194,1193
2019-03-27T04:13:06,C,1194,1193
2019-03-27T04:23:06,C,1194,1193
2019-03-27T04:36:07,C,1194,1193
2019-03-27T04:44:07,C,1194,1192
2019-03-27T04:54:07,C,1194,1191
2019-03-27T05:04:07,C,1194,1191
2019-03-27T05:14:07,C,1194,1192
2019-03-27T05:24:07,C,1194,1191
2019-03-27T05:34:08,C,1194,1192
2019-03-27T05:45:08,C,1194,1190
2019-03-27T05:55:08,C,1194,1193
2019-03-27T06:05:08,C,1194,1187
2019-03-27T06:15:08,C,1194,1185
2019-03-27T06:25:08,C,1194,1187
2019-03-27T06:35:08,C,1194,1188
2019-03-27T06:45:09,C,1194,1189
2019-03-27T06:56:09,C,1194,1189
2019-03-27T07:06:09,C,1194,1182
2019-03-27T07:16:09,C,1194,1183
2019-03-27T07:24:09,C,1194,1186
2019-03-27T07:34:09,C,1194,1186
2019-03-27T07:44:09,C,1194,1179
2019-03-27T07:54:10,C,1194,1182
2019-03-27T08:06:10,C,1194,1181
2019-03-27T08:15:10,C,1194,1189
2019-03-27T08:25:10,C,1194,1182
2019-03-27T08:35:10,C,1194,1185
2019-03-27T08:45:10,C,1194,1186
2019-03-27T08:55:11,C,1194,1182
2019-03-27T09:05:11,C,1194,1183
2019-03-27T09:15:11,C,1194,1187
2019-03-27T09:26:11,C,1194,1186
2019-03-27T09:36:11,C,1194,1184
2019-03-27T09:44:11,C,1194,1184
2019-03-27T09:56:11,C,1194,1185
2019-03-27T10:06:12,C,1194,1188
2019-03-27T10:16:12,C,1194,1185
2019-03-27T10:26:12,C,1194,1186
2019-03-27T10:34:12,C,1194,1188
2019-03-27T10:45:12,C,1194,1185
2019-03-27T10:55:12,C,1194,1186
2019-03-27T11:05:12,C,1194,1180
2019-03-27T11:15:13,C,1194,1180
2019-03-27T11:25:13,C,1194,1181
2019-03-27T11:35:13,C,1194,1187
2019-03-27T11:45:13,C,1194,1184
2019-03-27T11:58:13,C,1194,1190
2019-03-27T12:06:13,C,1194,1191
2019-03-27T12:16:14,C,1194,1190
2019-03-27T12:26:14,C,1194,1187
2019-03-27T12:36:14,C,1194,1186
2019-03-27T12:46:14,C,1194,1188
2019-03-27T12:56:14,C,1194,1186
2019-03-27T13:07:14,C,1194,1186
