date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:50,C,26,0
2019-03-26T13:09:50,C,26,0
2019-03-26T13:20:22,C,26,0
2019-03-26T13:30:21,C,26,0
2019-03-26T13:40:50,C,26,0
2019-03-26T13:50:50,C,26,0
2019-03-26T13:59:51,C,26,0
2019-03-26T14:09:51,C,26,0
2019-03-26T14:20:22,C,26,0
2019-03-26T14:30:23,C,26,0
2019-03-26T14:40:22,C,26,0
2019-03-26T14:50:53,C,26,0
2019-03-26T14:59:54,C,26,0
2019-03-26T15:10:54,C,26,1
2019-03-26T15:20:24,C,26,0
2019-03-26T15:31:25,C,26,0
2019-03-26T15:40:25,C,26,1
2019-03-26T15:51:56,C,26,4
2019-03-26T15:59:56,C,26,5
2019-03-26T16:09:57,C,26,4
2019-03-26T16:20:57,C,26,4
2019-03-26T16:31:27,C,26,6
2019-03-26T16:41:30,C,26,7
2019-03-26T16:51:30,C,26,6
2019-03-26T17:01:02,C,26,8
2019-03-26T17:11:03,C,26,9
2019-03-26T17:21:08,C,26,8
2019-03-26T17:31:06,C,26,2
2019-03-26T17:41:35,C,26,1
2019-03-26T17:51:37,C,26,1
2019-03-26T18:12:06,C,26,0
2019-03-26T18:32:05,C,26,0
2019-03-26T18:42:04,C,26,0
2019-03-26T18:52:37,C,26,0
2019-03-26T19:02:34,C,26,0
2019-03-26T19:13:05,C,26,0
2019-03-26T19:22:05,C,26,0
2019-03-26T19:33:04,C,26,0
2019-03-26T19:42:35,C,26,0
2019-03-26T19:53:35,C,26,0
2019-03-26T20:01:36,C,26,0
2019-03-26T20:13:05,C,26,0
2019-03-26T20:22:05,C,26,0
2019-03-26T20:33:35,C,26,0
2019-03-26T20:43:36,C,26,0
2019-03-26T20:53:36,C,26,0
2019-03-26T21:03:05,C,26,0
2019-03-26T21:13:05,C,26,0
2019-03-26T21:22:05,C,26,0
2019-03-26T21:33:36,C,26,0
2019-03-26T21:42:36,C,26,2
2019-03-26T21:53:33,C,26,11
2019-03-26T22:01:37,C,26,14
2019-03-26T22:13:06,C,26,16
2019-03-26T22:23:04,C,26,15
2019-03-26T22:33:35,C,26,16
2019-03-26T22:42:37,C,26,17
2019-03-26T22:53:04,C,26,19
2019-03-26T23:03:07,C,26,19
2019-03-26T23:14:04,C,26,19
2019-03-26T23:24:34,C,26,19
2019-03-26T23:34:34,C,26,19
2019-03-26T23:43:34,C,26,20
2019-03-26T23:54:04,C,26,19
2019-03-27T00:05:05,C,26,19
2019-03-27T00:13:03,C,26,18
2019-03-27T00:22:03,C,26,16
2019-03-27T00:29:35,C,26,16
2019-03-27T00:43:34,C,26,15
2019-03-27T00:54:34,C,26,16
2019-03-27T01:05:03,C,26,17
2019-03-27T01:15:04,C,26,17
2019-03-27T01:24:04,C,26,17
2019-03-27T01:34:07,C,26,17
2019-03-27T01:44:34,C,26,17
2019-03-27T01:54:35,C,26,17
2019-03-27T02:04:34,C,26,16
2019-03-27T02:15:04,C,26,16
2019-03-27T02:25:04,C,26,16
2019-03-27T02:34:04,C,26,17
2019-03-27T02:44:04,C,26,18
2019-03-27T02:55:34,C,26,18
2019-03-27T03:15:34,C,26,18
2019-03-27T03:26:04,C,26,18
2019-03-27T03:35:04,C,26,18
2019-03-27T03:45:06,C,26,18
2019-03-27T03:55:05,C,26,18
2019-03-27T04:05:35,C,26,22
2019-03-27T04:14:35,C,26,22
2019-03-27T04:24:35,C,26,22
2019-03-27T04:36:04,C,26,22
2019-03-27T04:45:05,C,26,22
2019-03-27T04:56:05,C,26,22
2019-03-27T05:05:06,C,26,21
2019-03-27T05:15:36,C,26,22
2019-03-27T05:25:36,C,26,22
2019-03-27T05:35:37,C,26,23
2019-03-27T05:45:37,C,26,23
2019-03-27T05:56:07,C,26,23
2019-03-27T06:06:07,C,26,23
2019-03-27T06:15:08,C,26,23
2019-03-27T06:25:08,C,26,23
2019-03-27T06:35:38,C,26,22
2019-03-27T06:45:40,C,26,22
2019-03-27T06:55:38,C,26,22
2019-03-27T07:06:08,C,26,22
2019-03-27T07:16:09,C,26,21
2019-03-27T07:25:09,C,26,20
2019-03-27T07:35:09,C,26,20
2019-03-27T07:45:40,C,26,20
2019-03-27T07:55:40,C,26,20
2019-03-27T08:06:40,C,26,18
2019-03-27T08:15:40,C,26,17
2019-03-27T08:24:40,C,26,19
2019-03-27T08:36:10,C,26,19
2019-03-27T08:45:10,C,26,19
2019-03-27T08:55:41,C,26,19
2019-03-27T09:06:43,C,26,18
2019-03-27T09:16:43,C,26,16
2019-03-27T09:26:13,C,26,15
2019-03-27T09:36:13,C,26,13
2019-03-27T09:45:12,C,26,10
2019-03-27T09:56:12,C,26,11
2019-03-27T10:06:42,C,26,8
2019-03-27T10:16:43,C,26,12
2019-03-27T10:26:44,C,26,9
2019-03-27T10:35:43,C,26,11
2019-03-27T10:46:13,C,26,8
2019-03-27T10:56:13,C,26,4
2019-03-27T11:06:13,C,26,0
2019-03-27T11:16:44,C,26,0
2019-03-27T11:26:44,C,26,1
2019-03-27T11:36:44,C,26,0
2019-03-27T11:46:45,C,26,0
2019-03-27T11:57:15,C,26,1
2019-03-27T12:06:17,C,26,0
2019-03-27T12:17:16,C,26,0
2019-03-27T12:27:15,C,26,0
2019-03-27T12:36:46,C,26,0
2019-03-27T12:47:46,C,26,0
2019-03-27T12:56:46,C,26,0
2019-03-27T13:08:16,C,26,0
2019-03-27T13:16:16,C,26,0
2019-03-27T13:27:18,C,26,0
2019-03-27T13:36:16,C,26,0
2019-03-27T13:47:47,C,26,3
2019-03-27T13:56:47,C,26,0
2019-03-27T14:07:47,C,26,0
2019-03-27T14:16:47,C,26,0
2019-03-27T14:27:17,C,26,0
2019-03-27T14:37:19,C,26,0
2019-03-27T14:47:18,C,26,0
2019-03-27T14:56:48,C,26,0
2019-03-27T15:07:48,C,26,2
2019-03-27T15:17:48,C,26,0
2019-03-27T15:26:48,C,26,0
2019-03-27T15:37:18,C,26,0
2019-03-27T15:47:18,C,26,0
2019-03-27T15:57:18,C,26,0
2019-03-27T16:07:48,C,26,0
2019-03-27T16:17:49,C,26,0
2019-03-27T16:28:50,C,26,3
2019-03-27T16:38:49,C,26,0
2019-03-27T16:48:19,C,26,0
2019-03-27T16:58:20,C,26,0
2019-03-27T17:08:19,C,26,0
2019-03-27T17:18:23,C,26,4
2019-03-27T17:27:51,C,26,3
2019-03-27T17:38:50,C,26,1
2019-03-27T17:47:50,C,26,0
2019-03-27T17:57:20,C,26,0
2019-03-27T18:08:20,C,26,0
2019-03-27T18:17:20,C,26,1
2019-03-27T18:27:23,C,26,8
2019-03-27T18:37:50,C,26,8
2019-03-27T18:48:51,C,26,2
2019-03-27T18:58:51,C,26,0
2019-03-27T19:07:51,C,26,0
2019-03-27T19:18:20,C,26,0
2019-03-27T19:28:21,C,26,0
2019-03-27T19:38:21,C,26,0
2019-03-27T19:48:52,C,26,0
2019-03-27T19:58:51,C,26,0
2019-03-27T20:08:54,C,26,0
2019-03-27T20:18:52,C,26,0
2019-03-27T20:29:21,C,26,0
2019-03-27T20:38:20,C,26,0
2019-03-27T20:48:21,C,26,0
2019-03-27T20:58:51,C,26,0
2019-03-27T21:08:51,C,26,2
2019-03-27T21:18:53,C,26,5
2019-03-27T21:28:51,C,26,7
2019-03-27T21:38:21,C,26,8
