date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:38,C,227,114
2019-03-26T13:10:38,C,227,115
2019-03-26T13:20:39,C,227,116
2019-03-26T13:31:09,C,227,117
2019-03-26T13:40:09,C,227,120
2019-03-26T13:50:09,C,227,123
2019-03-26T14:00:40,C,227,115
2019-03-26T14:10:40,C,227,120
2019-03-26T14:20:40,C,227,121
2019-03-26T14:30:40,C,227,119
2019-03-26T14:41:11,C,227,123
2019-03-26T14:51:11,C,227,129
2019-03-26T15:00:11,C,227,126
2019-03-26T15:11:12,C,227,124
2019-03-26T15:20:42,C,227,127
2019-03-26T15:31:42,C,227,130
2019-03-26T15:40:43,C,227,128
2019-03-26T15:52:13,C,227,122
2019-03-26T16:00:13,C,227,131
2019-03-26T16:10:13,C,227,132
2019-03-26T16:21:14,C,227,135
2019-03-26T16:31:44,C,227,134
2019-03-26T16:41:44,C,227,129
2019-03-26T16:51:45,C,227,127
2019-03-26T17:01:45,C,227,131
2019-03-26T17:11:15,C,227,131
2019-03-26T17:21:15,C,227,136
2019-03-26T17:31:16,C,227,131
2019-03-26T17:41:16,C,227,127
2019-03-26T17:51:46,C,227,132
2019-03-26T18:12:47,C,227,132
2019-03-26T18:32:18,C,227,126
2019-03-26T18:42:18,C,227,126
2019-03-26T18:52:18,C,227,125
2019-03-26T19:02:48,C,227,126
2019-03-26T19:13:49,C,227,125
2019-03-26T19:22:49,C,227,122
2019-03-26T19:33:49,C,227,115
2019-03-26T19:42:20,C,227,106
2019-03-26T19:53:20,C,227,101
2019-03-26T20:02:20,C,227,96
2019-03-26T20:13:50,C,227,93
2019-03-26T20:22:51,C,227,90
2019-03-26T20:33:51,C,227,93
2019-03-26T20:43:51,C,227,84
2019-03-26T20:53:22,C,227,88
2019-03-26T21:03:22,C,227,87
2019-03-26T21:13:22,C,227,91
2019-03-26T21:22:22,C,227,93
2019-03-26T21:33:53,C,227,97
2019-03-26T21:43:53,C,227,99
2019-03-26T21:53:54,C,227,104
2019-03-26T22:01:54,C,227,103
2019-03-26T22:13:24,C,227,105
2019-03-26T22:23:24,C,227,107
2019-03-26T22:33:24,C,227,111
2019-03-26T22:43:55,C,227,109
2019-03-26T22:53:55,C,227,111
2019-03-26T23:03:55,C,227,112
2019-03-26T23:13:56,C,227,110
2019-03-26T23:24:26,C,227,109
2019-03-26T23:34:26,C,227,112
2019-03-26T23:44:27,C,227,112
2019-03-26T23:54:57,C,227,113
2019-03-27T00:04:57,C,227,113
2019-03-27T00:13:57,C,227,114
2019-03-27T00:22:58,C,227,112
2019-03-27T00:29:58,C,227,112
2019-03-27T00:43:28,C,227,111
2019-03-27T00:54:29,C,227,110
2019-03-27T01:04:29,C,227,108
2019-03-27T01:14:59,C,227,108
2019-03-27T01:25:00,C,227,108
2019-03-27T01:35:00,C,227,107
2019-03-27T01:44:00,C,227,107
2019-03-27T01:54:30,C,227,105
2019-03-27T02:04:31,C,227,104
2019-03-27T02:14:31,C,227,103
2019-03-27T02:25:01,C,227,102
2019-03-27T02:35:01,C,227,102
2019-03-27T02:45:02,C,227,102
2019-03-27T02:55:02,C,227,103
2019-03-27T03:15:34,C,227,101
2019-03-27T03:25:33,C,227,103
2019-03-27T03:34:33,C,227,103
2019-03-27T03:46:04,C,227,104
2019-03-27T03:56:04,C,227,104
2019-03-27T04:05:04,C,227,104
2019-03-27T04:14:05,C,227,103
2019-03-27T04:24:35,C,227,104
2019-03-27T04:35:35,C,227,105
2019-03-27T04:44:35,C,227,106
2019-03-27T04:56:06,C,227,106
2019-03-27T05:06:06,C,227,106
2019-03-27T05:16:06,C,227,105
2019-03-27T05:25:06,C,227,106
2019-03-27T05:35:37,C,227,107
2019-03-27T05:45:37,C,227,108
2019-03-27T05:55:37,C,227,108
2019-03-27T06:05:38,C,227,109
2019-03-27T06:16:08,C,227,111
2019-03-27T06:26:08,C,227,111
2019-03-27T06:35:08,C,227,110
2019-03-27T06:45:09,C,227,113
2019-03-27T06:55:39,C,227,116
2019-03-27T07:05:39,C,227,124
2019-03-27T07:16:40,C,227,130
2019-03-27T07:26:10,C,227,132
2019-03-27T07:36:10,C,227,129
2019-03-27T07:45:11,C,227,124
2019-03-27T07:55:11,C,227,124
2019-03-27T08:06:41,C,227,128
2019-03-27T08:15:41,C,227,127
2019-03-27T08:25:42,C,227,126
2019-03-27T08:37:13,C,227,127
2019-03-27T08:45:13,C,227,131
2019-03-27T08:55:13,C,227,129
2019-03-27T09:06:14,C,227,128
2019-03-27T09:16:44,C,227,127
2019-03-27T09:25:44,C,227,122
2019-03-27T09:36:45,C,227,127
2019-03-27T09:45:45,C,227,126
2019-03-27T09:57:15,C,227,127
2019-03-27T10:06:15,C,227,127
2019-03-27T10:16:16,C,227,128
2019-03-27T10:26:46,C,227,129
2019-03-27T10:35:46,C,227,127
2019-03-27T10:46:47,C,227,126
2019-03-27T10:56:47,C,227,125
2019-03-27T11:07:17,C,227,124
2019-03-27T11:16:17,C,227,123
2019-03-27T11:26:18,C,227,123
2019-03-27T11:36:18,C,227,120
2019-03-27T11:46:48,C,227,113
2019-03-27T11:57:48,C,227,109
2019-03-27T12:06:49,C,227,112
2019-03-27T12:18:19,C,227,105
2019-03-27T12:27:19,C,227,104
2019-03-27T12:36:20,C,227,101
2019-03-27T12:47:23,C,227,101
2019-03-27T12:56:50,C,227,104
2019-03-27T13:07:51,C,227,97
2019-03-27T13:16:51,C,227,99
2019-03-27T13:27:51,C,227,95
2019-03-27T13:36:22,C,227,94
2019-03-27T13:47:22,C,227,100
2019-03-27T13:56:22,C,227,105
2019-03-27T14:07:22,C,227,108
2019-03-27T14:16:52,C,227,103
2019-03-27T14:27:53,C,227,103
2019-03-27T14:37:53,C,227,108
2019-03-27T14:46:53,C,227,108
2019-03-27T14:56:24,C,227,108
2019-03-27T15:07:24,C,227,114
2019-03-27T15:17:24,C,227,113
2019-03-27T15:26:54,C,227,115
2019-03-27T15:37:55,C,227,115
2019-03-27T15:47:55,C,227,116
2019-03-27T15:57:55,C,227,117
2019-03-27T16:07:26,C,227,118
2019-03-27T16:17:26,C,227,118
2019-03-27T16:28:26,C,227,115
2019-03-27T16:38:26,C,227,115
2019-03-27T16:48:57,C,227,117
2019-03-27T16:58:57,C,227,114
2019-03-27T17:08:58,C,227,115
2019-03-27T17:18:28,C,227,120
2019-03-27T17:27:28,C,227,124
2019-03-27T17:38:28,C,227,125
2019-03-27T17:47:28,C,227,126
2019-03-27T17:57:59,C,227,124
2019-03-27T18:08:59,C,227,121
2019-03-27T18:17:59,C,227,119
2019-03-27T18:26:59,C,227,117
2019-03-27T18:37:30,C,227,117
2019-03-27T18:48:30,C,227,112
2019-03-27T18:58:30,C,227,111
2019-03-27T19:08:31,C,227,104
2019-03-27T19:19:01,C,227,101
2019-03-27T19:29:01,C,227,100
2019-03-27T19:38:02,C,227,95
2019-03-27T19:48:32,C,227,94
2019-03-27T19:58:32,C,227,95
2019-03-27T20:08:32,C,227,98
2019-03-27T20:19:33,C,227,101
2019-03-27T20:30:03,C,227,102
2019-03-27T20:39:03,C,227,104
2019-03-27T20:48:04,C,227,110
2019-03-27T20:58:04,C,227,110
2019-03-27T21:08:34,C,227,114
2019-03-27T21:18:34,C,227,113
2019-03-27T21:28:35,C,227,114
2019-03-27T21:38:35,C,227,115
2019-03-27T21:49:05,C,227,118
2019-03-27T21:59:06,C,227,118
2019-03-27T22:08:06,C,227,119
2019-03-27T22:18:36,C,227,117
2019-03-27T22:29:36,C,227,114
2019-03-27T22:39:37,C,227,113
2019-03-27T22:48:37,C,227,115
2019-03-27T23:00:07,C,227,112
2019-03-27T23:10:08,C,227,111
2019-03-27T23:19:08,C,227,112
2019-03-27T23:28:08,C,227,111
2019-03-27T23:39:38,C,227,111
2019-03-27T23:49:39,C,227,111
2019-03-27T23:59:39,C,227,113
2019-03-28T00:10:09,C,227,112
2019-03-28T00:20:10,C,227,107
2019-03-28T00:29:10,C,227,107
2019-03-28T00:39:10,C,227,108
2019-03-28T00:49:40,C,227,108
2019-03-28T00:59:41,C,227,107
2019-03-28T01:10:50,C,227,107
2019-03-28T01:20:41,C,227,106
2019-03-28T01:31:12,C,227,105
