date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:50,C,530,373
2019-03-26T13:10:50,C,530,373
2019-03-26T13:20:50,C,530,374
2019-03-26T13:30:20,C,530,376
2019-03-26T13:40:22,C,530,382
2019-03-26T13:50:20,C,530,379
2019-03-26T14:00:21,C,530,380
2019-03-26T14:10:51,C,530,383
2019-03-26T14:20:54,C,530,381
2019-03-26T14:30:51,C,530,383
2019-03-26T14:39:52,C,530,386
2019-03-26T14:51:22,C,530,386
2019-03-26T15:00:22,C,530,385
2019-03-26T15:11:22,C,530,390
2019-03-26T15:20:53,C,530,389
2019-03-26T15:31:53,C,530,386
2019-03-26T15:40:53,C,530,386
2019-03-26T15:50:53,C,530,386
2019-03-26T16:00:25,C,530,386
2019-03-26T16:10:25,C,530,390
2019-03-26T16:21:24,C,530,388
2019-03-26T16:31:25,C,530,388
2019-03-26T16:41:55,C,530,388
2019-03-26T16:51:56,C,530,386
2019-03-26T17:00:56,C,530,380
2019-03-26T17:11:26,C,530,379
2019-03-26T17:21:27,C,530,382
2019-03-26T17:31:28,C,530,384
2019-03-26T17:41:27,C,530,384
2019-03-26T17:52:00,C,530,382
2019-03-26T18:11:58,C,530,372
2019-03-26T18:32:29,C,530,377
2019-03-26T18:42:30,C,530,379
2019-03-26T18:52:30,C,530,373
2019-03-26T19:02:59,C,530,373
2019-03-26T19:14:00,C,530,365
2019-03-26T19:22:01,C,530,356
2019-03-26T19:33:00,C,530,347
2019-03-26T19:42:06,C,530,345
2019-03-26T19:53:31,C,530,342
2019-03-26T20:02:32,C,530,340
2019-03-26T20:13:32,C,530,333
2019-03-26T20:23:02,C,530,332
2019-03-26T20:33:02,C,530,323
2019-03-26T20:43:02,C,530,323
2019-03-26T20:53:02,C,530,322
2019-03-26T21:03:33,C,530,323
2019-03-26T21:13:33,C,530,313
2019-03-26T21:22:33,C,530,312
2019-03-26T21:34:04,C,530,310
2019-03-26T21:43:03,C,530,306
2019-03-26T21:53:04,C,530,302
2019-03-26T22:02:05,C,530,299
2019-03-26T22:13:35,C,530,296
2019-03-26T22:23:35,C,530,291
2019-03-26T22:33:36,C,530,290
2019-03-26T22:43:35,C,530,290
2019-03-26T22:54:06,C,530,285
2019-03-26T23:03:07,C,530,279
2019-03-26T23:14:06,C,530,279
2019-03-26T23:24:37,C,530,278
2019-03-26T23:34:37,C,530,277
2019-03-26T23:44:38,C,530,277
2019-03-26T23:54:37,C,530,276
2019-03-27T00:05:07,C,530,275
2019-03-27T00:14:09,C,530,273
2019-03-27T00:22:09,C,530,274
2019-03-27T00:29:09,C,530,274
2019-03-27T00:43:39,C,530,271
2019-03-27T00:54:39,C,530,271
2019-03-27T01:04:39,C,530,270
2019-03-27T01:15:10,C,530,270
2019-03-27T01:25:10,C,530,269
2019-03-27T01:34:10,C,530,268
2019-03-27T01:44:10,C,530,268
2019-03-27T01:54:41,C,530,267
2019-03-27T02:04:41,C,530,267
2019-03-27T02:14:43,C,530,265
2019-03-27T02:24:42,C,530,265
2019-03-27T02:35:13,C,530,265
2019-03-27T02:44:12,C,530,263
2019-03-27T02:55:12,C,530,264
2019-03-27T03:15:43,C,530,264
2019-03-27T03:25:43,C,530,262
2019-03-27T03:34:44,C,530,262
2019-03-27T03:46:15,C,530,262
2019-03-27T03:55:14,C,530,262
2019-03-27T04:05:15,C,530,261
2019-03-27T04:14:15,C,530,261
2019-03-27T04:24:45,C,530,261
2019-03-27T04:35:46,C,530,261
2019-03-27T04:44:49,C,530,261
2019-03-27T04:55:46,C,530,262
2019-03-27T05:06:05,C,530,261
2019-03-27T05:15:05,C,530,262
2019-03-27T05:25:36,C,530,262
2019-03-27T05:35:36,C,530,262
2019-03-27T05:45:37,C,530,263
2019-03-27T05:55:36,C,530,267
2019-03-27T06:06:07,C,530,270
2019-03-27T06:16:07,C,530,273
2019-03-27T06:25:08,C,530,275
2019-03-27T06:35:08,C,530,284
2019-03-27T06:45:39,C,530,296
2019-03-27T06:55:39,C,530,306
2019-03-27T07:05:39,C,530,327
2019-03-27T07:17:09,C,530,346
2019-03-27T07:26:10,C,530,345
2019-03-27T07:35:11,C,530,340
2019-03-27T07:45:11,C,530,343
2019-03-27T07:55:41,C,530,350
2019-03-27T08:06:41,C,530,350
2019-03-27T08:15:41,C,530,348
2019-03-27T08:25:42,C,530,355
2019-03-27T08:37:12,C,530,355
2019-03-27T08:45:12,C,530,355
2019-03-27T08:55:12,C,530,356
2019-03-27T09:06:44,C,530,357
2019-03-27T09:16:43,C,530,364
2019-03-27T09:25:43,C,530,364
2019-03-27T09:36:44,C,530,367
2019-03-27T09:46:14,C,530,372
2019-03-27T09:56:14,C,530,373
2019-03-27T10:06:14,C,530,372
2019-03-27T10:16:15,C,530,372
2019-03-27T10:26:46,C,530,370
2019-03-27T10:35:45,C,530,372
2019-03-27T10:46:46,C,530,372
2019-03-27T10:56:45,C,530,371
2019-03-27T11:06:16,C,530,374
2019-03-27T11:16:16,C,530,374
2019-03-27T11:26:16,C,530,374
2019-03-27T11:36:47,C,530,377
2019-03-27T11:46:47,C,530,375
2019-03-27T11:57:47,C,530,375
2019-03-27T12:06:49,C,530,375
2019-03-27T12:17:20,C,530,370
2019-03-27T12:27:18,C,530,367
2019-03-27T12:36:18,C,530,366
2019-03-27T12:47:20,C,530,367
2019-03-27T12:56:49,C,530,375
2019-03-27T13:07:49,C,530,378
2019-03-27T13:16:50,C,530,376
2019-03-27T13:28:20,C,530,378
2019-03-27T13:36:23,C,530,381
2019-03-27T13:47:20,C,530,385
2019-03-27T13:56:20,C,530,386
2019-03-27T14:07:51,C,530,388
2019-03-27T14:16:51,C,530,384
2019-03-27T14:27:52,C,530,390
2019-03-27T14:37:52,C,530,389
2019-03-27T14:47:22,C,530,386
2019-03-27T14:56:23,C,530,388
2019-03-27T15:07:23,C,530,389
2019-03-27T15:17:24,C,530,391
2019-03-27T15:26:53,C,530,389
2019-03-27T15:37:54,C,530,389
2019-03-27T15:47:54,C,530,384
2019-03-27T15:57:24,C,530,380
2019-03-27T16:07:27,C,530,378
2019-03-27T16:17:25,C,530,377
2019-03-27T16:28:25,C,530,377
2019-03-27T16:38:55,C,530,373
2019-03-27T16:48:55,C,530,374
2019-03-27T16:58:56,C,530,373
2019-03-27T17:07:57,C,530,372
2019-03-27T17:18:26,C,530,367
2019-03-27T17:27:27,C,530,368
2019-03-27T17:38:27,C,530,369
2019-03-27T17:47:28,C,530,364
2019-03-27T17:57:58,C,530,359
2019-03-27T18:08:59,C,530,357
2019-03-27T18:16:58,C,530,357
2019-03-27T18:27:28,C,530,352
2019-03-27T18:37:29,C,530,351
2019-03-27T18:48:29,C,530,349
2019-03-27T18:58:30,C,530,355
2019-03-27T19:09:00,C,530,357
2019-03-27T19:19:01,C,530,357
2019-03-27T19:28:00,C,530,350
2019-03-27T19:38:00,C,530,348
2019-03-27T19:48:32,C,530,343
2019-03-27T19:58:31,C,530,340
2019-03-27T20:08:31,C,530,328
2019-03-27T20:20:02,C,530,326
2019-03-27T20:30:02,C,530,319
2019-03-27T20:39:05,C,530,314
2019-03-27T20:48:03,C,530,310
2019-03-27T20:58:33,C,530,308
2019-03-27T21:08:33,C,530,303
2019-03-27T21:18:34,C,530,301
2019-03-27T21:28:34,C,530,298
2019-03-27T21:39:04,C,530,296
2019-03-27T21:49:04,C,530,292
2019-03-27T21:59:05,C,530,289
2019-03-27T22:08:05,C,530,286
2019-03-27T22:18:36,C,530,280
2019-03-27T22:29:36,C,530,275
2019-03-27T22:39:36,C,530,275
2019-03-27T22:49:06,C,530,275
2019-03-27T23:00:07,C,530,273
2019-03-27T23:09:07,C,530,272
2019-03-27T23:19:07,C,530,271
2019-03-27T23:28:38,C,530,271
