date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:58:16,C,260,247
2019-03-26T13:08:47,C,260,249
2019-03-26T13:18:07,C,260,247
2019-03-26T13:28:37,C,260,248
2019-03-26T13:37:57,C,260,248
2019-03-26T13:48:27,C,260,255
2019-03-26T13:57:47,C,260,255
2019-03-26T14:08:20,C,260,257
2019-03-26T14:18:47,C,260,260
2019-03-26T14:28:07,C,260,260
2019-03-26T14:38:37,C,260,260
2019-03-26T14:49:08,C,260,255
2019-03-26T14:58:28,C,260,258
2019-03-26T15:08:58,C,260,255
2019-03-26T15:18:18,C,260,256
2019-03-26T15:29:58,C,260,254
2019-03-26T15:38:08,C,260,256
2019-03-26T15:49:48,C,260,255
2019-03-26T15:57:58,C,260,253
2019-03-26T16:08:28,C,260,257
2019-03-26T16:18:58,C,260,259
2019-03-26T16:29:29,C,260,258
2019-03-26T16:38:49,C,260,258
2019-03-26T16:49:19,C,260,257
2019-03-26T16:59:49,C,260,254
2019-03-26T17:10:19,C,260,249
2019-03-26T17:18:29,C,260,248
2019-03-26T17:28:59,C,260,250
2019-03-26T17:39:29,C,260,253
2019-03-26T17:48:49,C,260,251
2019-03-26T18:11:00,C,260,244
2019-03-26T18:29:40,C,260,235
2019-03-26T18:40:10,C,260,236
2019-03-26T18:50:40,C,260,234
2019-03-26T19:00:00,C,260,229
2019-03-26T19:11:43,C,260,225
2019-03-26T19:21:00,C,260,225
2019-03-26T19:31:30,C,260,222
2019-03-26T19:39:41,C,260,220
2019-03-26T19:51:21,C,260,220
2019-03-26T20:00:41,C,260,221
2019-03-26T20:11:11,C,260,222
2019-03-26T20:20:31,C,260,224
2019-03-26T20:32:12,C,260,223
2019-03-26T20:41:31,C,260,221
2019-03-26T20:50:51,C,260,221
2019-03-26T21:01:21,C,260,218
2019-03-26T21:10:42,C,260,213
2019-03-26T21:20:02,C,260,212
2019-03-26T21:31:42,C,260,212
2019-03-26T21:41:02,C,260,211
2019-03-26T21:51:32,C,260,207
2019-03-26T21:59:42,C,260,206
2019-03-26T22:11:22,C,260,207
2019-03-26T22:20:42,C,260,206
2019-03-26T22:31:15,C,260,202
2019-03-26T22:41:43,C,260,201
2019-03-26T22:51:03,C,260,199
2019-03-26T23:01:33,C,260,197
2019-03-26T23:12:03,C,260,196
2019-03-26T23:22:33,C,260,196
2019-03-26T23:31:53,C,260,196
2019-03-26T23:42:23,C,260,197
2019-03-26T23:52:53,C,260,196
2019-03-27T00:02:13,C,260,195
2019-03-27T00:11:34,C,260,195
2019-03-27T00:20:53,C,260,195
2019-03-27T00:26:44,C,260,195
2019-03-27T00:40:44,C,260,193
2019-03-27T00:52:24,C,260,194
2019-03-27T01:02:54,C,260,190
2019-03-27T01:12:14,C,260,190
2019-03-27T01:22:44,C,260,190
2019-03-27T01:33:14,C,260,189
2019-03-27T01:41:24,C,260,190
2019-03-27T01:51:55,C,260,189
2019-03-27T02:02:25,C,260,188
2019-03-27T02:12:55,C,260,187
2019-03-27T02:22:15,C,260,187
2019-03-27T02:32:45,C,260,187
2019-03-27T02:43:16,C,260,188
2019-03-27T02:52:36,C,260,188
2019-03-27T03:13:37,C,260,185
2019-03-27T03:22:57,C,260,185
2019-03-27T03:32:17,C,260,186
2019-03-27T03:43:58,C,260,186
2019-03-27T03:53:18,C,260,185
2019-03-27T04:02:38,C,260,260
2019-03-27T04:11:58,C,260,260
2019-03-27T04:22:29,C,260,260
2019-03-27T04:32:59,C,260,259
2019-03-27T04:42:19,C,260,259
2019-03-27T04:54:00,C,260,259
2019-03-27T05:03:22,C,260,259
2019-03-27T05:12:42,C,260,259
2019-03-27T05:23:12,C,260,260
2019-03-27T05:32:33,C,260,260
2019-03-27T05:43:02,C,260,260
2019-03-27T05:53:33,C,260,260
2019-03-27T06:04:03,C,260,260
2019-03-27T06:13:23,C,260,260
2019-03-27T06:23:53,C,260,259
2019-03-27T06:33:13,C,260,260
2019-03-27T06:42:33,C,260,260
2019-03-27T06:53:03,C,260,260
2019-03-27T07:03:34,C,260,260
2019-03-27T07:14:04,C,260,259
2019-03-27T07:23:24,C,260,259
2019-03-27T07:33:54,C,260,258
2019-03-27T07:43:14,C,260,259
2019-03-27T07:52:34,C,260,258
2019-03-27T08:04:14,C,260,260
2019-03-27T08:13:34,C,260,259
2019-03-27T08:22:54,C,260,260
2019-03-27T08:34:34,C,260,259
2019-03-27T08:43:54,C,260,260
2019-03-27T08:53:15,C,260,260
2019-03-27T09:03:45,C,260,259
2019-03-27T09:14:18,C,260,260
2019-03-27T09:23:35,C,260,260
2019-03-27T09:34:05,C,260,259
2019-03-27T09:43:25,C,260,258
2019-03-27T09:55:05,C,260,257
2019-03-27T10:04:25,C,260,258
2019-03-27T10:13:46,C,260,259
2019-03-27T10:24:16,C,260,260
2019-03-27T10:33:36,C,260,260
2019-03-27T10:44:06,C,260,258
2019-03-27T10:54:36,C,260,256
2019-03-27T11:05:06,C,260,258
2019-03-27T11:14:27,C,260,260
2019-03-27T11:23:46,C,260,260
2019-03-27T11:34:16,C,260,257
2019-03-27T11:44:47,C,260,255
2019-03-27T11:55:17,C,260,256
2019-03-27T12:04:37,C,260,250
2019-03-27T12:15:07,C,260,249
2019-03-27T12:25:37,C,260,250
2019-03-27T12:33:47,C,260,250
2019-03-27T12:45:27,C,260,253
2019-03-27T12:54:47,C,260,247
2019-03-27T13:05:17,C,260,245
2019-03-27T13:14:37,C,260,248
2019-03-27T13:25:08,C,260,247
2019-03-27T13:34:28,C,260,249
2019-03-27T13:44:58,C,260,248
2019-03-27T13:54:18,C,260,252
2019-03-27T14:04:48,C,260,251
2019-03-27T14:14:08,C,260,251
2019-03-27T14:25:48,C,260,253
2019-03-27T14:35:08,C,260,255
2019-03-27T14:45:38,C,260,254
2019-03-27T14:53:49,C,260,256
2019-03-27T15:05:29,C,260,258
2019-03-27T15:14:49,C,260,259
2019-03-27T15:24:09,C,260,260
2019-03-27T15:35:50,C,260,258
2019-03-27T15:45:09,C,260,258
2019-03-27T15:55:39,C,260,256
2019-03-27T16:06:09,C,260,254
2019-03-27T16:15:30,C,260,255
2019-03-27T16:25:59,C,260,259
2019-03-27T16:36:30,C,260,260
2019-03-27T16:47:00,C,260,257
2019-03-27T16:56:20,C,260,257
2019-03-27T17:06:50,C,260,255
2019-03-27T17:17:20,C,260,255
2019-03-27T17:25:30,C,260,255
2019-03-27T17:36:00,C,260,256
2019-03-27T17:45:21,C,260,250
2019-03-27T17:55:50,C,260,245
