date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:18,C,178,149
2019-03-26T13:10:49,C,178,143
2019-03-26T13:20:49,C,178,140
2019-03-26T13:30:49,C,178,147
2019-03-26T13:39:49,C,178,146
2019-03-26T13:50:22,C,178,148
2019-03-26T14:00:21,C,178,149
2019-03-26T14:10:20,C,178,147
2019-03-26T14:20:20,C,178,150
2019-03-26T14:30:53,C,178,150
2019-03-26T14:40:51,C,178,150
2019-03-26T14:50:54,C,178,149
2019-03-26T15:00:21,C,178,149
2019-03-26T15:11:22,C,178,159
2019-03-26T15:20:22,C,178,158
2019-03-26T15:31:23,C,178,158
2019-03-26T15:40:52,C,178,163
2019-03-26T15:51:53,C,178,160
2019-03-26T15:59:53,C,178,160
2019-03-26T16:09:53,C,178,166
2019-03-26T16:21:23,C,178,171
2019-03-26T16:31:24,C,178,166
2019-03-26T16:41:25,C,178,168
2019-03-26T16:51:55,C,178,166
2019-03-26T17:01:56,C,178,165
2019-03-26T17:10:55,C,178,155
2019-03-26T17:20:56,C,178,156
2019-03-26T17:31:29,C,178,155
2019-03-26T17:41:26,C,178,155
2019-03-26T17:51:27,C,178,155
2019-03-26T18:12:57,C,178,139
2019-03-26T18:31:58,C,178,131
2019-03-26T18:42:28,C,178,134
2019-03-26T18:52:31,C,178,136
2019-03-26T19:02:29,C,178,129
2019-03-26T19:13:29,C,178,121
2019-03-26T19:22:59,C,178,120
2019-03-26T19:33:00,C,178,116
2019-03-26T19:42:01,C,178,117
2019-03-26T19:53:31,C,178,120
2019-03-26T20:02:30,C,178,116
2019-03-26T20:13:30,C,178,107
2019-03-26T20:22:30,C,178,109
2019-03-26T20:34:01,C,178,109
2019-03-26T20:43:01,C,178,107
2019-03-26T20:53:02,C,178,105
2019-03-26T21:03:02,C,178,111
2019-03-26T21:13:32,C,178,110
2019-03-26T21:22:32,C,178,110
2019-03-26T21:33:33,C,178,110
2019-03-26T21:44:03,C,178,110
2019-03-26T21:53:03,C,178,109
2019-03-26T22:02:04,C,178,104
2019-03-26T22:13:04,C,178,102
2019-03-26T22:23:34,C,178,99
2019-03-26T22:33:34,C,178,98
2019-03-26T22:43:34,C,178,93
2019-03-26T22:53:35,C,178,94
2019-03-26T23:03:05,C,178,94
2019-03-26T23:14:05,C,178,92
2019-03-26T23:24:05,C,178,92
2019-03-26T23:34:36,C,178,92
2019-03-26T23:44:37,C,178,89
2019-03-26T23:54:36,C,178,91
2019-03-27T00:04:37,C,178,89
2019-03-27T00:14:07,C,178,89
2019-03-27T00:23:08,C,178,90
2019-03-27T00:30:08,C,178,90
2019-03-27T00:43:08,C,178,90
2019-03-27T00:54:38,C,178,90
2019-03-27T01:04:39,C,178,91
2019-03-27T01:14:39,C,178,90
2019-03-27T01:25:09,C,178,91
2019-03-27T01:35:09,C,178,91
2019-03-27T01:44:10,C,178,89
2019-03-27T01:54:10,C,178,90
2019-03-27T02:04:41,C,178,90
2019-03-27T02:14:40,C,178,89
2019-03-27T02:24:41,C,178,89
2019-03-27T02:34:41,C,178,89
2019-03-27T02:45:11,C,178,90
2019-03-27T02:55:11,C,178,90
2019-03-27T03:15:12,C,178,90
2019-03-27T03:25:42,C,178,89
2019-03-27T03:34:43,C,178,89
2019-03-27T03:45:44,C,178,89
2019-03-27T03:56:13,C,178,89
2019-03-27T04:05:14,C,178,31
2019-03-27T04:14:14,C,178,30
2019-03-27T04:24:14,C,178,30
2019-03-27T04:35:44,C,178,30
2019-03-27T04:44:45,C,178,30
2019-03-27T04:55:45,C,178,30
2019-03-27T05:06:11,C,178,30
2019-03-27T05:16:11,C,178,30
2019-03-27T05:25:11,C,178,31
2019-03-27T05:35:12,C,178,33
2019-03-27T05:45:42,C,178,34
2019-03-27T05:55:42,C,178,37
2019-03-27T06:05:42,C,178,38
2019-03-27T06:15:43,C,178,41
2019-03-27T06:26:13,C,178,45
2019-03-27T06:35:13,C,178,49
2019-03-27T06:45:13,C,178,52
2019-03-27T06:55:44,C,178,63
2019-03-27T07:05:44,C,178,73
2019-03-27T07:16:45,C,178,83
2019-03-27T07:25:45,C,178,79
2019-03-27T07:35:15,C,178,77
2019-03-27T07:45:16,C,178,82
2019-03-27T07:55:16,C,178,86
2019-03-27T08:06:16,C,178,90
2019-03-27T08:15:47,C,178,99
2019-03-27T08:25:47,C,178,100
2019-03-27T08:35:48,C,178,102
2019-03-27T08:45:18,C,178,108
2019-03-27T08:55:17,C,178,113
2019-03-27T09:06:19,C,178,124
2019-03-27T09:16:48,C,178,125
2019-03-27T09:25:48,C,178,127
2019-03-27T09:36:49,C,178,127
2019-03-27T09:45:49,C,178,126
2019-03-27T09:56:19,C,178,126
2019-03-27T10:06:19,C,178,126
2019-03-27T10:16:20,C,178,129
2019-03-27T10:26:20,C,178,129
2019-03-27T10:35:53,C,178,134
2019-03-27T10:46:50,C,178,129
2019-03-27T10:56:51,C,178,131
2019-03-27T11:06:22,C,178,129
2019-03-27T11:16:22,C,178,129
2019-03-27T11:26:22,C,178,130
2019-03-27T11:36:22,C,178,125
2019-03-27T11:46:52,C,178,131
2019-03-27T11:57:52,C,178,128
2019-03-27T12:06:53,C,178,126
2019-03-27T12:16:53,C,178,123
2019-03-27T12:27:23,C,178,122
2019-03-27T12:36:24,C,178,127
2019-03-27T12:47:24,C,178,125
2019-03-27T12:56:24,C,178,125
2019-03-27T13:07:54,C,178,134
2019-03-27T13:16:54,C,178,136
2019-03-27T13:26:55,C,178,135
2019-03-27T13:36:25,C,178,139
2019-03-27T13:47:25,C,178,137
