date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:44,C,267,187
2019-03-26T13:10:45,C,267,184
2019-03-26T13:20:45,C,267,187
2019-03-26T13:30:14,C,267,190
2019-03-26T13:40:15,C,267,191
2019-03-26T13:50:15,C,267,191
2019-03-26T14:00:45,C,267,194
2019-03-26T14:10:45,C,267,193
2019-03-26T14:20:46,C,267,193
2019-03-26T14:30:46,C,267,196
2019-03-26T14:41:17,C,267,195
2019-03-26T14:51:17,C,267,198
2019-03-26T15:00:17,C,267,193
2019-03-26T15:11:17,C,267,192
2019-03-26T15:20:47,C,267,188
2019-03-26T15:31:51,C,267,187
2019-03-26T15:40:48,C,267,182
2019-03-26T15:51:18,C,267,183
2019-03-26T16:00:19,C,267,179
2019-03-26T16:10:19,C,267,174
2019-03-26T16:21:19,C,267,175
2019-03-26T16:31:49,C,267,176
2019-03-26T16:41:50,C,267,179
2019-03-26T16:51:54,C,267,178
2019-03-26T17:00:51,C,267,173
2019-03-26T17:11:21,C,267,176
2019-03-26T17:21:21,C,267,176
2019-03-26T17:31:22,C,267,175
2019-03-26T17:41:22,C,267,177
2019-03-26T17:51:52,C,267,170
2019-03-26T18:11:53,C,267,157
2019-03-26T18:32:24,C,267,152
2019-03-26T18:42:23,C,267,148
2019-03-26T18:52:23,C,267,148
2019-03-26T19:02:54,C,267,143
2019-03-26T19:13:55,C,267,137
2019-03-26T19:21:54,C,267,131
2019-03-26T19:33:25,C,267,126
2019-03-26T19:42:25,C,267,125
2019-03-26T19:53:25,C,267,119
2019-03-26T20:02:27,C,267,111
2019-03-26T20:13:56,C,267,105
2019-03-26T20:22:58,C,267,105
2019-03-26T20:32:56,C,267,96
2019-03-26T20:42:56,C,267,98
2019-03-26T20:53:27,C,267,91
2019-03-26T21:03:27,C,267,88
2019-03-26T21:13:27,C,267,89
2019-03-26T21:22:27,C,267,81
2019-03-26T21:33:58,C,267,82
2019-03-26T21:42:58,C,267,80
2019-03-26T21:52:58,C,267,74
2019-03-26T22:02:29,C,267,73
2019-03-26T22:13:29,C,267,71
2019-03-26T22:23:29,C,267,66
2019-03-26T22:33:30,C,267,66
2019-03-26T22:44:00,C,267,67
2019-03-26T22:54:00,C,267,66
2019-03-26T23:03:01,C,267,65
2019-03-26T23:14:00,C,267,62
2019-03-26T23:24:31,C,267,60
2019-03-26T23:34:31,C,267,57
2019-03-26T23:44:32,C,267,59
2019-03-26T23:55:02,C,267,56
2019-03-27T00:05:02,C,267,57
2019-03-27T00:14:02,C,267,57
2019-03-27T00:22:03,C,267,57
2019-03-27T00:29:03,C,267,56
2019-03-27T00:43:33,C,267,57
2019-03-27T00:54:37,C,267,56
2019-03-27T01:04:34,C,267,56
2019-03-27T01:15:04,C,267,55
2019-03-27T01:25:04,C,267,55
2019-03-27T01:34:04,C,267,55
2019-03-27T01:44:05,C,267,54
2019-03-27T01:54:35,C,267,53
2019-03-27T02:04:35,C,267,53
2019-03-27T02:14:36,C,267,53
2019-03-27T02:25:06,C,267,52
2019-03-27T02:35:07,C,267,52
2019-03-27T02:44:07,C,267,52
2019-03-27T02:55:07,C,267,52
2019-03-27T03:15:37,C,267,50
2019-03-27T03:25:38,C,267,49
2019-03-27T03:34:38,C,267,49
2019-03-27T03:46:09,C,267,49
2019-03-27T03:55:09,C,267,49
2019-03-27T04:05:09,C,267,50
2019-03-27T04:14:09,C,267,50
2019-03-27T04:24:39,C,267,50
2019-03-27T04:35:40,C,267,50
2019-03-27T04:44:40,C,267,50
2019-03-27T04:56:10,C,267,50
2019-03-27T05:05:59,C,267,51
2019-03-27T05:15:30,C,267,51
2019-03-27T05:25:30,C,267,52
2019-03-27T05:35:30,C,267,53
2019-03-27T05:45:31,C,267,53
2019-03-27T05:56:01,C,267,55
2019-03-27T06:06:01,C,267,55
2019-03-27T06:16:01,C,267,60
2019-03-27T06:25:02,C,267,66
2019-03-27T06:35:32,C,267,70
2019-03-27T06:45:34,C,267,88
2019-03-27T06:55:33,C,267,96
2019-03-27T07:05:33,C,267,108
2019-03-27T07:17:04,C,267,111
2019-03-27T07:26:04,C,267,116
2019-03-27T07:35:05,C,267,122
2019-03-27T07:45:36,C,267,133
2019-03-27T07:55:36,C,267,135
2019-03-27T08:06:35,C,267,149
2019-03-27T08:15:37,C,267,158
2019-03-27T08:26:05,C,267,160
2019-03-27T08:37:05,C,267,169
2019-03-27T08:45:07,C,267,178
2019-03-27T08:55:07,C,267,180
2019-03-27T09:06:37,C,267,187
2019-03-27T09:16:37,C,267,188
2019-03-27T09:25:37,C,267,193
2019-03-27T09:37:07,C,267,193
2019-03-27T09:46:07,C,267,197
2019-03-27T09:56:08,C,267,199
2019-03-27T10:06:08,C,267,200
2019-03-27T10:16:39,C,267,199
2019-03-27T10:26:40,C,267,199
2019-03-27T10:35:39,C,267,204
2019-03-27T10:46:39,C,267,201
2019-03-27T10:57:09,C,267,204
2019-03-27T11:06:10,C,267,203
2019-03-27T11:16:10,C,267,204
2019-03-27T11:26:10,C,267,201
2019-03-27T11:36:40,C,267,200
2019-03-27T11:46:41,C,267,201
2019-03-27T11:57:45,C,267,204
2019-03-27T12:07:12,C,267,205
2019-03-27T12:17:12,C,267,201
2019-03-27T12:27:12,C,267,204
2019-03-27T12:36:13,C,267,195
2019-03-27T12:47:42,C,267,197
2019-03-27T12:56:42,C,267,196
2019-03-27T13:07:43,C,267,197
2019-03-27T13:16:43,C,267,199
2019-03-27T13:28:14,C,267,195
2019-03-27T13:36:14,C,267,200
2019-03-27T13:47:14,C,267,198
2019-03-27T13:56:15,C,267,196
2019-03-27T14:07:45,C,267,196
2019-03-27T14:16:45,C,267,196
2019-03-27T14:27:45,C,267,202
2019-03-27T14:38:16,C,267,208
2019-03-27T14:47:16,C,267,207
2019-03-27T14:56:16,C,267,209
2019-03-27T15:07:16,C,267,213
2019-03-27T15:17:47,C,267,209
2019-03-27T15:26:47,C,267,206
2019-03-27T15:37:47,C,267,205
2019-03-27T15:47:47,C,267,205
2019-03-27T15:57:18,C,267,206
2019-03-27T16:07:18,C,267,204
2019-03-27T16:17:18,C,267,207
2019-03-27T16:28:48,C,267,203
2019-03-27T16:38:49,C,267,199
2019-03-27T16:48:49,C,267,197
2019-03-27T16:58:49,C,267,195
2019-03-27T17:08:19,C,267,197
2019-03-27T17:18:20,C,267,196
2019-03-27T17:27:20,C,267,196
2019-03-27T17:38:21,C,267,188
2019-03-27T17:47:51,C,267,179
2019-03-27T17:57:51,C,267,172
2019-03-27T18:08:51,C,267,166
2019-03-27T18:16:51,C,267,165
2019-03-27T18:27:22,C,267,161
2019-03-27T18:37:22,C,267,154
2019-03-27T18:48:22,C,267,151
2019-03-27T18:58:53,C,267,144
2019-03-27T19:08:54,C,267,138
2019-03-27T19:18:53,C,267,137
2019-03-27T19:27:55,C,267,140
2019-03-27T19:38:24,C,267,134
2019-03-27T19:48:24,C,267,123
2019-03-27T19:58:25,C,267,116
2019-03-27T20:08:25,C,267,112
2019-03-27T20:19:55,C,267,109
2019-03-27T20:29:55,C,267,106
2019-03-27T20:38:56,C,267,111
2019-03-27T20:47:56,C,267,109
2019-03-27T20:58:27,C,267,108
2019-03-27T21:08:27,C,267,105
2019-03-27T21:18:27,C,267,108
2019-03-27T21:28:57,C,267,99
2019-03-27T21:38:57,C,267,96
2019-03-27T21:48:58,C,267,90
2019-03-27T21:58:58,C,267,80
2019-03-27T22:08:28,C,267,80
2019-03-27T22:18:28,C,267,76
2019-03-27T22:29:29,C,267,72
2019-03-27T22:39:29,C,267,74
2019-03-27T22:48:59,C,267,76
2019-03-27T23:00:00,C,267,70
2019-03-27T23:09:00,C,267,68
2019-03-27T23:19:30,C,267,68
2019-03-27T23:28:31,C,267,63
2019-03-27T23:39:31,C,267,60
2019-03-27T23:49:31,C,267,59
2019-03-27T23:59:31,C,267,58
2019-03-28T00:10:02,C,267,59
2019-03-28T00:20:02,C,267,56
2019-03-28T00:29:02,C,267,58
2019-03-28T00:39:33,C,267,56
2019-03-28T00:49:33,C,267,56
2019-03-28T00:59:33,C,267,56
2019-03-28T01:11:03,C,267,54
2019-03-28T01:21:03,C,267,53
2019-03-28T01:31:04,C,267,51
2019-03-28T01:39:07,C,267,52
2019-03-28T01:49:34,C,267,52
2019-03-28T02:00:35,C,267,52
2019-03-28T02:09:38,C,267,52
2019-03-28T02:20:35,C,267,50
2019-03-28T02:31:06,C,267,50
2019-03-28T02:41:06,C,267,51
2019-03-28T02:50:06,C,267,51
2019-03-28T02:59:08,C,267,51
2019-03-28T03:10:37,C,267,50
2019-03-28T03:19:37,C,267,50
2019-03-28T03:30:38,C,267,50
2019-03-28T03:41:08,C,267,50
2019-03-28T03:51:08,C,267,50
2019-03-28T04:00:09,C,267,50
2019-03-28T04:10:09,C,267,50
2019-03-28T04:21:42,C,267,50
2019-03-28T04:30:40,C,267,50
2019-03-28T04:41:40,C,267,52
2019-03-28T04:50:40,C,267,52
2019-03-28T05:00:41,C,267,52
2019-03-28T05:10:01,C,267,52
2019-03-28T05:21:32,C,267,52
2019-03-28T05:31:32,C,267,52
2019-03-28T05:40:32,C,267,51
2019-03-28T05:51:33,C,267,54
2019-03-28T06:01:03,C,267,56
2019-03-28T06:12:03,C,267,57
2019-03-28T06:20:04,C,267,62
2019-03-28T06:30:04,C,267,67
2019-03-28T06:40:34,C,267,78
2019-03-28T06:51:34,C,267,89
2019-03-28T07:00:34,C,267,100
2019-03-28T07:11:35,C,267,113
2019-03-28T07:22:06,C,267,113
2019-03-28T07:31:07,C,267,113
2019-03-28T07:41:06,C,267,117
2019-03-28T07:51:37,C,267,125
2019-03-28T08:01:38,C,267,132
2019-03-28T08:11:38,C,267,146
2019-03-28T08:21:37,C,267,148
2019-03-28T08:32:08,C,267,154
2019-03-28T08:42:08,C,267,161
2019-03-28T08:51:08,C,267,167
2019-03-28T09:01:09,C,267,173
2019-03-28T09:12:39,C,267,174
2019-03-28T09:21:39,C,267,174
2019-03-28T09:31:40,C,267,183
2019-03-28T09:43:09,C,267,187
2019-03-28T09:53:10,C,267,188
2019-03-28T10:01:10,C,267,193
2019-03-28T10:11:10,C,267,193
2019-03-28T10:22:41,C,267,195
2019-03-28T10:32:41,C,267,198
2019-03-28T10:42:41,C,267,198
2019-03-28T10:51:41,C,267,200
2019-03-28T11:03:12,C,267,199
2019-03-28T11:11:12,C,267,203
2019-03-28T11:22:13,C,267,200
2019-03-28T11:32:12,C,267,192
2019-03-28T11:42:42,C,267,194
2019-03-28T11:52:43,C,267,198
2019-03-28T12:02:43,C,267,199
2019-03-28T12:12:43,C,267,195
2019-03-28T12:22:15,C,267,199
2019-03-28T12:32:15,C,267,196
2019-03-28T12:42:14,C,267,197
2019-03-28T12:52:44,C,267,199
2019-03-28T13:02:45,C,267,202
2019-03-28T13:12:45,C,267,209
2019-03-28T13:22:45,C,267,208
2019-03-28T13:32:16,C,267,211
2019-03-28T13:42:16,C,267,211
2019-03-28T13:52:16,C,267,211
2019-03-28T14:02:17,C,267,211
2019-03-28T14:13:46,C,267,214
2019-03-28T14:22:47,C,267,211
2019-03-28T14:32:47,C,267,203
2019-03-28T14:43:18,C,267,199
2019-03-28T14:52:18,C,267,203
2019-03-28T15:02:18,C,267,202
