date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:37,C,70,35
2019-03-26T13:10:00,C,70,42
2019-03-26T13:18:54,C,70,45
2019-03-26T13:30:00,C,70,48
2019-03-26T13:40:18,C,70,52
2019-03-26T13:50:00,C,70,48
2019-03-26T14:00:29,C,70,54
2019-03-26T14:10:20,C,70,58
2019-03-26T14:20:46,C,70,55
2019-03-26T14:30:21,C,70,50
2019-03-26T14:38:51,C,70,54
2019-03-26T14:51:23,C,70,57
2019-03-26T15:00:40,C,70,58
2019-03-26T15:11:34,C,70,56
2019-03-26T15:19:43,C,70,56
2019-03-26T15:30:49,C,70,56
2019-03-26T15:40:28,C,70,58
2019-03-26T15:50:00,C,70,60
2019-03-26T15:59:13,C,70,60
2019-03-26T16:10:00,C,70,59
2019-03-26T16:21:31,C,70,53
2019-03-26T16:31:16,C,70,55
2019-03-26T16:40:56,C,70,58
2019-03-26T16:51:08,C,70,58
2019-03-26T17:02:00,C,70,57
2019-03-26T17:11:12,C,70,59
2019-03-26T17:18:01,C,70,55
2019-03-26T17:30:03,C,70,54
2019-03-26T17:42:02,C,70,53
2019-03-26T17:51:13,C,70,53
2019-03-26T18:12:38,C,70,46
2019-03-26T18:31:55,C,70,46
2019-03-26T18:42:01,C,70,46
2019-03-26T18:52:20,C,70,39
2019-03-26T19:00:29,C,70,37
2019-03-26T19:12:59,C,70,30
2019-03-26T19:20:52,C,70,30
2019-03-26T19:33:15,C,70,28
2019-03-26T19:40:52,C,70,27
2019-03-26T19:53:20,C,70,26
2019-03-26T20:02:37,C,70,27
2019-03-26T20:11:37,C,70,18
2019-03-26T20:22:01,C,70,21
2019-03-26T20:32:28,C,70,21
2019-03-26T20:43:59,C,70,17
2019-03-26T20:54:01,C,70,18
2019-03-26T21:02:49,C,70,19
2019-03-26T21:11:35,C,70,21
2019-03-26T21:21:12,C,70,22
2019-03-26T21:32:59,C,70,23
2019-03-26T21:42:18,C,70,25
2019-03-26T21:52:58,C,70,24
2019-03-26T22:02:36,C,70,27
2019-03-26T22:12:23,C,70,25
2019-03-26T22:22:01,C,70,20
2019-03-26T22:32:06,C,70,18
2019-03-26T22:42:01,C,70,14
2019-03-26T22:52:19,C,70,13
2019-03-26T23:02:20,C,70,9
2019-03-26T23:14:01,C,70,14
2019-03-26T23:22:01,C,70,14
2019-03-26T23:33:16,C,70,14
2019-03-26T23:42:01,C,70,13
2019-03-26T23:54:08,C,70,9
2019-03-27T00:04:48,C,70,8
2019-03-27T00:14:01,C,70,13
2019-03-27T00:20:54,C,70,13
2019-03-27T00:26:17,C,70,14
2019-03-27T00:42:01,C,70,12
2019-03-27T00:54:01,C,70,12
2019-03-27T01:02:01,C,70,11
2019-03-27T01:13:39,C,70,12
2019-03-27T01:23:26,C,70,12
2019-03-27T01:34:01,C,70,11
2019-03-27T01:42:01,C,70,11
2019-03-27T01:54:01,C,70,10
2019-03-27T02:02:01,C,70,10
2019-03-27T02:14:01,C,70,10
2019-03-27T02:22:01,C,70,9
