date,lot_type_0,lots_total_0,lots_available_0,lot_type_1,lots_total_1,lots_available_1,lot_type_2,lots_total_2,lots_available_2
2019-03-26T13:00:01,C,266,152,Y,88,0,H,0,0
2019-03-26T13:10:01,C,266,157,Y,88,0,H,0,0
2019-03-26T13:20:01,C,266,163,Y,88,0,H,0,0
2019-03-26T13:30:01,C,266,170,Y,88,0,H,0,0
2019-03-26T13:40:01,C,266,173,Y,88,0,H,0,0
2019-03-26T13:50:01,C,266,174,Y,88,0,H,0,0
2019-03-26T14:00:01,C,266,181,Y,88,0,H,0,0
2019-03-26T14:10:01,C,266,183,Y,88,0,H,0,0
2019-03-26T14:20:01,C,266,181,Y,88,0,H,0,0
2019-03-26T14:30:01,C,266,176,Y,88,0,H,0,0
2019-03-26T14:40:01,C,266,173,Y,88,0,H,0,0
2019-03-26T14:50:01,C,266,176,Y,88,0,H,0,0
2019-03-26T15:00:01,C,266,176,Y,88,0,H,0,0
2019-03-26T15:12:01,C,266,173,Y,88,0,H,0,0
2019-03-26T15:20:01,C,266,174,Y,88,0,H,0,0
2019-03-26T15:30:01,C,266,175,Y,88,0,H,0,0
2019-03-26T15:40:01,C,266,175,Y,88,0,H,0,0
2019-03-26T15:50:01,C,266,166,Y,88,0,H,0,0
2019-03-26T16:00:01,C,266,167,Y,88,0,H,0,0
2019-03-26T16:10:01,C,266,167,Y,88,0,H,0,0
2019-03-26T16:20:01,C,266,168,Y,88,0,H,0,0
2019-03-26T16:30:01,C,266,176,Y,88,0,H,0,0
2019-03-26T16:42:01,C,266,178,Y,88,0,H,0,0
2019-03-26T16:52:01,C,266,175,Y,88,0,H,0,0
2019-03-26T17:02:01,C,266,177,Y,88,0,H,0,0
2019-03-26T17:10:01,C,266,178,Y,88,0,H,0,0
2019-03-26T17:20:01,C,266,179,Y,88,0,H,0,0
2019-03-26T17:32:01,C,266,181,Y,88,0,H,0,0
2019-03-26T17:42:01,C,266,179,Y,88,0,H,0,0
2019-03-26T17:50:01,C,266,180,Y,88,0,H,0,0
2019-03-26T18:12:01,C,266,179,Y,88,0,H,0,0
2019-03-26T18:32:01,C,266,170,Y,88,0,H,0,0
2019-03-26T18:42:01,C,266,166,Y,88,0,H,0,0
2019-03-26T18:52:01,C,266,163,Y,88,0,H,0,0
2019-03-26T19:02:01,C,266,154,Y,88,0,H,0,0
2019-03-26T19:12:01,C,266,149,Y,88,0,H,0,0
2019-03-26T19:22:01,C,266,146,Y,88,0,H,0,0
2019-03-26T19:32:01,C,266,148,Y,88,0,H,0,0
2019-03-26T19:42:01,C,266,143,Y,88,0,H,0,0
2019-03-26T19:52:01,C,266,144,Y,88,0,H,0,0
2019-03-26T20:02:01,C,266,147,Y,88,0,H,0,0
2019-03-26T20:12:01,C,266,146,Y,88,0,H,0,0
2019-03-26T20:22:01,C,266,143,Y,88,0,H,0,0
2019-03-26T20:32:01,C,266,146,Y,88,0,H,0,0
2019-03-26T20:42:01,C,266,149,Y,88,0,H,0,0
2019-03-26T20:54:01,C,266,138,Y,88,0,H,0,0
2019-03-26T21:02:01,C,266,132,Y,88,0,H,0,0
2019-03-26T21:14:01,C,266,131,Y,88,0,H,0,0
2019-03-26T21:22:01,C,266,127,Y,88,0,H,0,0
2019-03-26T21:32:01,C,266,130,Y,88,0,H,0,0
2019-03-26T21:42:01,C,266,130,Y,88,0,H,0,0
2019-03-26T21:54:01,C,266,127,Y,88,0,H,0,0
2019-03-26T22:02:01,C,266,128,Y,88,0,H,0,0
2019-03-26T22:12:01,C,266,129,Y,88,0,H,0,0
2019-03-26T22:22:01,C,266,126,Y,88,0,H,0,0
2019-03-26T22:34:01,C,266,124,Y,88,0,H,0,0
2019-03-26T22:42:01,C,266,123,Y,88,0,H,0,0
2019-03-26T22:52:01,C,266,123,Y,88,0,H,0,0
2019-03-26T23:04:01,C,266,121,Y,88,0,H,0,0
2019-03-26T23:14:01,C,266,118,Y,88,0,H,0,0
2019-03-26T23:24:01,C,266,116,Y,88,0,H,0,0
2019-03-26T23:34:01,C,266,114,Y,88,0,H,0,0
2019-03-26T23:44:02,C,266,113,Y,88,0,H,0,0
2019-03-26T23:54:01,C,266,111,Y,88,0,H,0,0
2019-03-27T00:04:01,C,266,108,Y,88,0,H,0,0
2019-03-27T00:14:01,C,266,106,Y,88,0,H,0,0
2019-03-27T00:22:01,C,266,105,Y,88,0,H,0,0
2019-03-27T00:30:01,C,266,105,Y,88,0,H,0,0
2019-03-27T00:44:01,C,266,104,Y,88,0,H,0,0
2019-03-27T00:54:01,C,266,104,Y,88,0,H,0,0
2019-03-27T01:03:45,C,266,102,Y,88,0,H,0,0
2019-03-27T01:14:36,C,266,102,Y,88,0,H,0,0
2019-03-27T01:24:36,C,266,100,Y,88,0,H,0,0
2019-03-27T01:34:01,C,266,99,Y,88,0,H,0,0
2019-03-27T01:44:40,C,266,98,Y,88,0,H,0,0
2019-03-27T01:52:38,C,266,98,Y,88,0,H,0,0
2019-03-27T02:02:49,C,266,97,Y,88,0,H,0,0
2019-03-27T02:14:36,C,266,96,Y,88,0,H,0,0
2019-03-27T02:24:01,C,266,96,Y,88,0,H,0,0
2019-03-27T02:34:01,C,266,95,Y,88,0,H,0,0
2019-03-27T02:44:01,C,266,94,Y,88,0,H,0,0
2019-03-27T02:56:01,C,266,93,Y,88,0,H,0,0
2019-03-27T03:14:01,C,266,94,Y,88,0,H,0,0
2019-03-27T03:26:01,C,266,95,Y,88,0,H,0,0
2019-03-27T03:34:01,C,266,93,Y,88,0,H,0,0
2019-03-27T03:44:01,C,266,92,Y,88,0,H,0,0
2019-03-27T03:54:01,C,266,91,Y,88,0,H,0,0
2019-03-27T04:04:01,C,266,94,Y,88,0,H,0,0
2019-03-27T04:14:01,C,266,94,Y,88,0,H,0,0
2019-03-27T04:24:01,C,266,101,Y,88,0,H,0,0
2019-03-27T04:36:01,C,266,102,Y,88,0,H,0,0
2019-03-27T04:44:01,C,266,102,Y,88,0,H,0,0
2019-03-27T04:54:01,C,266,103,Y,88,0,H,0,0
2019-03-27T05:06:01,C,266,103,Y,88,0,H,0,0
2019-03-27T05:16:01,C,266,104,Y,88,0,H,0,0
2019-03-27T05:24:01,C,266,105,Y,88,0,H,0,0
2019-03-27T05:36:01,C,266,105,Y,88,0,H,0,0
2019-03-27T05:44:01,C,266,107,Y,88,0,H,0,0
2019-03-27T05:54:01,C,266,107,Y,88,0,H,0,0
2019-03-27T06:06:01,C,266,107,Y,88,0,H,0,0
2019-03-27T06:14:01,C,266,110,Y,88,0,H,0,0
2019-03-27T06:24:01,C,266,111,Y,88,0,H,0,0
2019-03-27T06:36:01,C,266,112,Y,88,0,H,0,0
2019-03-27T06:46:02,C,266,118,Y,88,0,H,0,0
2019-03-27T06:54:01,C,266,122,Y,88,0,H,0,0
2019-03-27T07:04:01,C,266,128,Y,88,0,H,0,0
2019-03-27T07:16:01,C,266,141,Y,88,0,H,0,0
2019-03-27T07:26:01,C,266,145,Y,88,0,H,0,0
2019-03-27T07:34:01,C,266,140,Y,88,0,H,0,0
2019-03-27T07:44:01,C,266,143,Y,88,0,H,0,0
2019-03-27T07:56:01,C,266,148,Y,88,0,H,0,0
2019-03-27T08:06:01,C,266,147,Y,88,0,H,0,0
2019-03-27T08:14:01,C,266,154,Y,88,0,H,0,0
2019-03-27T08:26:01,C,266,153,Y,88,0,H,0,0
2019-03-27T08:36:01,C,266,154,Y,88,0,H,0,0
2019-03-27T08:44:01,C,266,156,Y,88,0,H,0,0
2019-03-27T08:56:01,C,266,164,Y,88,0,H,0,0
2019-03-27T09:06:01,C,266,161,Y,88,0,H,0,0
2019-03-27T09:16:01,C,266,164,Y,88,0,H,0,0
2019-03-27T09:26:01,C,266,162,Y,88,0,H,0,0
2019-03-27T09:36:01,C,266,164,Y,88,0,H,0,0
2019-03-27T09:46:01,C,266,167,Y,88,0,H,0,0
2019-03-27T09:56:01,C,266,168,Y,88,0,H,0,0
2019-03-27T10:06:01,C,266,171,Y,88,0,H,0,0
2019-03-27T10:16:01,C,266,173,Y,88,0,H,0,0
2019-03-27T10:26:01,C,266,169,Y,88,0,H,0,0
2019-03-27T10:34:01,C,266,172,Y,88,0,H,0,0
2019-03-27T10:46:01,C,266,177,Y,88,0,H,0,0
2019-03-27T10:56:01,C,266,173,Y,88,0,H,0,0
