date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:58:23,C,431,377
2019-03-26T13:10:23,C,431,376
2019-03-26T13:18:23,C,431,376
2019-03-26T13:30:23,C,431,376
2019-03-26T13:40:19,C,431,373
2019-03-26T13:49:32,C,431,371
2019-03-26T14:00:08,C,431,371
2019-03-26T14:10:32,C,431,370
2019-03-26T14:18:35,C,431,368
2019-03-26T14:30:23,C,431,370
2019-03-26T14:38:23,C,431,372
2019-03-26T14:50:23,C,431,372
2019-03-26T14:59:12,C,431,372
2019-03-26T15:11:53,C,431,372
2019-03-26T15:18:23,C,431,374
2019-03-26T15:30:23,C,431,375
2019-03-26T15:38:23,C,431,375
2019-03-26T15:50:23,C,431,375
2019-03-26T15:58:23,C,431,375
2019-03-26T16:06:23,C,431,376
2019-03-26T16:20:42,C,431,373
2019-03-26T16:30:23,C,431,375
2019-03-26T16:40:47,C,431,376
2019-03-26T16:50:23,C,431,377
2019-03-26T16:58:23,C,431,377
2019-03-26T17:11:13,C,431,378
2019-03-26T17:18:23,C,431,379
2019-03-26T17:30:43,C,431,381
2019-03-26T17:39:27,C,431,381
2019-03-26T17:50:23,C,431,382
2019-03-26T18:10:23,C,431,383
2019-03-26T18:30:23,C,431,384
2019-03-26T18:38:23,C,431,384
2019-03-26T18:50:23,C,431,384
2019-03-26T18:58:23,C,431,384
2019-03-26T19:10:23,C,431,386
2019-03-26T19:18:23,C,431,386
2019-03-26T19:32:33,C,431,386
2019-03-26T19:38:23,C,431,386
2019-03-26T19:50:23,C,431,385
2019-03-26T20:02:23,C,431,385
2019-03-26T20:10:23,C,431,384
2019-03-26T20:18:56,C,431,385
2019-03-26T20:30:23,C,431,385
2019-03-26T20:42:23,C,431,385
2019-03-26T20:52:06,C,431,384
2019-03-26T21:02:23,C,431,383
2019-03-26T21:13:01,C,431,384
2019-03-26T21:18:24,C,431,385
2019-03-26T21:30:24,C,431,385
2019-03-26T21:42:24,C,431,385
2019-03-26T21:50:24,C,431,385
2019-03-26T22:02:24,C,431,385
2019-03-26T22:11:38,C,431,386
2019-03-26T22:22:24,C,431,387
2019-03-26T22:30:24,C,431,387
2019-03-26T22:42:24,C,431,387
2019-03-26T22:50:24,C,431,387
2019-03-26T23:02:24,C,431,387
2019-03-26T23:14:24,C,431,387
2019-03-26T23:22:24,C,431,387
2019-03-26T23:30:24,C,431,387
2019-03-26T23:42:24,C,431,387
2019-03-26T23:54:24,C,431,386
2019-03-27T00:02:24,C,431,386
2019-03-27T00:10:24,C,431,386
2019-03-27T00:18:24,C,431,386
2019-03-27T00:26:24,C,431,386
2019-03-27T00:42:24,C,431,386
2019-03-27T00:54:24,C,431,386
2019-03-27T01:02:24,C,431,386
2019-03-27T01:14:24,C,431,386
2019-03-27T01:22:43,C,431,385
2019-03-27T01:34:24,C,431,386
2019-03-27T01:42:24,C,431,386
2019-03-27T01:54:24,C,431,386
2019-03-27T02:02:24,C,431,386
2019-03-27T02:14:24,C,431,387
2019-03-27T02:22:24,C,431,387
2019-03-27T02:34:24,C,431,387
2019-03-27T02:42:24,C,431,387
2019-03-27T02:54:24,C,431,387
2019-03-27T03:14:24,C,431,387
2019-03-27T03:22:24,C,431,387
2019-03-27T03:34:24,C,431,387
2019-03-27T03:42:25,C,431,387
2019-03-27T03:54:25,C,431,387
2019-03-27T04:02:25,C,431,387
2019-03-27T04:14:25,C,431,387
2019-03-27T04:22:25,C,431,387
2019-03-27T04:34:25,C,431,387
2019-03-27T04:42:25,C,431,387
2019-03-27T04:54:25,C,431,387
2019-03-27T05:02:25,C,431,387
2019-03-27T05:14:25,C,431,387
2019-03-27T05:22:25,C,431,387
2019-03-27T05:34:25,C,431,387
2019-03-27T05:42:25,C,431,387
2019-03-27T05:54:25,C,431,387
2019-03-27T06:02:25,C,431,387
2019-03-27T06:14:25,C,431,387
2019-03-27T06:22:25,C,431,387
2019-03-27T06:34:25,C,431,387
2019-03-27T06:42:25,C,431,387
2019-03-27T06:54:25,C,431,387
2019-03-27T07:02:25,C,431,387
2019-03-27T07:14:25,C,431,387
2019-03-27T07:22:25,C,431,387
2019-03-27T07:34:25,C,431,387
2019-03-27T07:42:25,C,431,387
2019-03-27T07:55:46,C,431,386
2019-03-27T08:02:26,C,431,385
2019-03-27T08:14:26,C,431,385
2019-03-27T08:23:45,C,431,386
2019-03-27T08:36:27,C,431,383
2019-03-27T08:42:26,C,431,383
2019-03-27T08:54:27,C,431,384
2019-03-27T09:02:26,C,431,385
2019-03-27T09:14:26,C,431,385
2019-03-27T09:23:14,C,431,383
2019-03-27T09:34:26,C,431,383
2019-03-27T09:42:26,C,431,383
2019-03-27T09:55:16,C,431,384
2019-03-27T10:06:26,C,431,384
2019-03-27T10:15:37,C,431,380
2019-03-27T10:22:26,C,431,379
2019-03-27T10:34:27,C,431,379
2019-03-27T10:45:45,C,431,379
2019-03-27T10:56:58,C,431,377
2019-03-27T11:02:26,C,431,379
2019-03-27T11:15:18,C,431,378
2019-03-27T11:26:26,C,431,378
2019-03-27T11:34:26,C,431,379
2019-03-27T11:45:39,C,431,380
2019-03-27T11:54:42,C,431,379
2019-03-27T12:06:26,C,431,378
2019-03-27T12:16:03,C,431,379
2019-03-27T12:26:27,C,431,380
2019-03-27T12:34:27,C,431,379
2019-03-27T12:46:27,C,431,379
2019-03-27T12:54:27,C,431,379
2019-03-27T13:06:27,C,431,377
2019-03-27T13:15:34,C,431,377
2019-03-27T13:26:27,C,431,381
2019-03-27T13:34:32,C,431,380
2019-03-27T13:46:27,C,431,380
2019-03-27T13:54:27,C,431,382
2019-03-27T14:06:27,C,431,382
2019-03-27T14:14:27,C,431,381
2019-03-27T14:26:27,C,431,379
2019-03-27T14:35:37,C,431,377
2019-03-27T14:47:00,C,431,374
2019-03-27T14:54:27,C,431,374
2019-03-27T15:07:29,C,431,374
2019-03-27T15:15:08,C,431,375
2019-03-27T15:26:27,C,431,374
2019-03-27T15:35:55,C,431,371
2019-03-27T15:47:31,C,431,373
2019-03-27T15:54:31,C,431,376
2019-03-27T16:06:27,C,431,373
2019-03-27T16:14:27,C,431,371
2019-03-27T16:26:27,C,431,369
2019-03-27T16:36:44,C,431,370
2019-03-27T16:47:31,C,431,371
2019-03-27T16:57:34,C,431,373
2019-03-27T17:07:41,C,431,373
2019-03-27T17:18:27,C,431,376
2019-03-27T17:26:27,C,431,377
2019-03-27T17:38:27,C,431,377
2019-03-27T17:46:27,C,431,380
2019-03-27T17:54:27,C,431,379
2019-03-27T18:07:59,C,431,379
2019-03-27T18:14:27,C,431,378
2019-03-27T18:26:27,C,431,382
2019-03-27T18:34:27,C,431,382
2019-03-27T18:47:14,C,431,383
2019-03-27T18:58:27,C,431,382
2019-03-27T19:06:27,C,431,383
2019-03-27T19:14:27,C,431,383
2019-03-27T19:27:23,C,431,384
2019-03-27T19:34:27,C,431,384
2019-03-27T19:49:02,C,431,386
2019-03-27T19:58:27,C,431,386
2019-03-27T20:06:27,C,431,386
2019-03-27T20:18:27,C,431,387
2019-03-27T20:26:27,C,431,387
2019-03-27T20:38:28,C,431,387
2019-03-27T20:46:28,C,431,387
2019-03-27T20:54:28,C,431,387
2019-03-27T21:06:28,C,431,387
2019-03-27T21:18:28,C,431,387
2019-03-27T21:26:28,C,431,386
2019-03-27T21:38:28,C,431,386
2019-03-27T21:46:28,C,431,386
2019-03-27T21:58:28,C,431,385
2019-03-27T22:06:28,C,431,386
2019-03-27T22:18:28,C,431,386
2019-03-27T22:26:28,C,431,386
2019-03-27T22:38:28,C,431,386
2019-03-27T22:46:28,C,431,387
2019-03-27T22:58:28,C,431,386
2019-03-27T23:06:28,C,431,386
2019-03-27T23:18:28,C,431,386
2019-03-27T23:26:28,C,431,386
2019-03-27T23:38:57,C,431,387
2019-03-27T23:46:28,C,431,387
2019-03-27T23:58:28,C,431,387
2019-03-28T00:06:28,C,431,387
2019-03-28T00:18:28,C,431,387
2019-03-28T00:26:28,C,431,387
2019-03-28T00:38:28,C,431,387
2019-03-28T00:46:28,C,431,387
2019-03-28T00:58:28,C,431,387
2019-03-28T01:06:28,C,431,387
2019-03-28T01:18:28,C,431,387
2019-03-28T01:30:28,C,431,387
2019-03-28T01:38:28,C,431,387
2019-03-28T01:46:28,C,431,387
2019-03-28T01:58:28,C,431,387
2019-03-28T02:06:28,C,431,387
2019-03-28T02:18:28,C,431,387
2019-03-28T02:30:28,C,431,387
2019-03-28T02:38:28,C,431,386
2019-03-28T02:50:29,C,431,386
2019-03-28T02:58:29,C,431,386
2019-03-28T03:10:29,C,431,387
2019-03-28T03:18:29,C,431,387
2019-03-28T03:30:29,C,431,387
2019-03-28T03:38:29,C,431,387
2019-03-28T03:46:29,C,431,387
2019-03-28T03:58:29,C,431,387
2019-03-28T04:10:29,C,431,387
2019-03-28T04:18:29,C,431,387
2019-03-28T04:30:29,C,431,387
2019-03-28T04:38:29,C,431,387
2019-03-28T04:50:29,C,431,387
2019-03-28T04:58:29,C,431,387
2019-03-28T05:10:29,C,431,387
2019-03-28T05:18:29,C,431,387
2019-03-28T05:30:29,C,431,387
2019-03-28T05:38:29,C,431,387
2019-03-28T05:50:29,C,431,387
2019-03-28T05:58:29,C,431,387
2019-03-28T06:10:29,C,431,387
2019-03-28T06:18:29,C,431,387
2019-03-28T06:26:29,C,431,387
2019-03-28T06:38:29,C,431,387
2019-03-28T06:50:29,C,431,387
2019-03-28T06:58:29,C,431,387
2019-03-28T07:10:29,C,431,387
2019-03-28T07:18:29,C,431,387
2019-03-28T07:30:29,C,431,387
2019-03-28T07:38:30,C,431,386
2019-03-28T07:50:30,C,431,386
2019-03-28T07:58:30,C,431,384
2019-03-28T08:10:30,C,431,385
2019-03-28T08:18:30,C,431,385
2019-03-28T08:30:30,C,431,382
2019-03-28T08:38:30,C,431,381
2019-03-28T08:50:30,C,431,381
2019-03-28T08:58:30,C,431,381
2019-03-28T09:10:30,C,431,381
2019-03-28T09:20:37,C,431,377
2019-03-28T09:30:30,C,431,378
2019-03-28T09:41:28,C,431,377
2019-03-28T09:50:30,C,431,376
2019-03-28T09:58:30,C,431,374
2019-03-28T10:10:30,C,431,372
2019-03-28T10:22:30,C,431,374
2019-03-28T10:30:30,C,431,373
2019-03-28T10:38:49,C,431,374
2019-03-28T10:50:30,C,431,373
2019-03-28T11:02:30,C,431,374
2019-03-28T11:10:30,C,431,371
2019-03-28T11:20:37,C,431,372
2019-03-28T11:31:25,C,431,371
2019-03-28T11:42:30,C,431,373
2019-03-28T11:50:30,C,431,375
2019-03-28T12:01:36,C,431,374
2019-03-28T12:10:30,C,431,374
2019-03-28T12:19:21,C,431,373
2019-03-28T12:30:31,C,431,375
2019-03-28T12:42:31,C,431,375
2019-03-28T12:50:31,C,431,374
2019-03-28T13:02:31,C,431,372
2019-03-28T13:11:58,C,431,373
2019-03-28T13:22:31,C,431,371
2019-03-28T13:32:32,C,431,372
2019-03-28T13:40:54,C,431,373
2019-03-28T13:50:31,C,431,370
2019-03-28T14:02:31,C,431,367
2019-03-28T14:10:31,C,431,367
2019-03-28T14:19:10,C,431,367
2019-03-28T14:31:37,C,431,368
2019-03-28T14:42:31,C,431,368
2019-03-28T14:52:41,C,431,370
2019-03-28T15:02:31,C,431,371
2019-03-28T15:10:31,C,431,371
2019-03-28T15:20:09,C,431,368
2019-03-28T15:30:31,C,431,367
2019-03-28T15:50:31,C,431,368
2019-03-28T16:02:31,C,431,369
2019-03-28T16:23:35,C,431,367
2019-03-28T16:42:31,C,431,368
2019-03-28T16:54:32,C,431,368
2019-03-28T17:02:35,C,431,369
2019-03-28T17:14:32,C,431,371
2019-03-28T17:22:32,C,431,371
2019-03-28T17:44:21,C,431,377
2019-03-28T17:54:32,C,431,377
2019-03-28T18:02:32,C,431,378
2019-03-28T18:10:39,C,431,380
2019-03-28T18:22:32,C,431,379
2019-03-28T18:31:09,C,431,380
2019-03-28T18:42:32,C,431,379
2019-03-28T18:50:32,C,431,380
