date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:45,C,85,23
2019-03-26T13:10:46,C,85,25
2019-03-26T13:20:46,C,85,23
2019-03-26T13:30:16,C,85,29
2019-03-26T13:40:16,C,85,31
2019-03-26T13:50:17,C,85,34
2019-03-26T14:00:17,C,85,28
2019-03-26T14:10:47,C,85,32
2019-03-26T14:20:47,C,85,27
2019-03-26T14:30:47,C,85,29
2019-03-26T14:40:17,C,85,28
2019-03-26T14:51:17,C,85,29
2019-03-26T15:00:17,C,85,31
2019-03-26T15:11:17,C,85,32
2019-03-26T15:20:47,C,85,31
2019-03-26T15:31:47,C,85,33
2019-03-26T15:40:48,C,85,38
2019-03-26T15:51:18,C,85,39
2019-03-26T16:00:18,C,85,41
2019-03-26T16:10:19,C,85,44
2019-03-26T16:21:19,C,85,43
2019-03-26T16:31:50,C,85,38
2019-03-26T16:41:50,C,85,44
2019-03-26T16:51:50,C,85,42
2019-03-26T17:00:50,C,85,45
2019-03-26T17:11:21,C,85,46
2019-03-26T17:21:21,C,85,47
2019-03-26T17:31:21,C,85,48
2019-03-26T17:41:51,C,85,43
2019-03-26T17:51:51,C,85,47
2019-03-26T18:11:52,C,85,46
2019-03-26T18:32:24,C,85,40
2019-03-26T18:42:24,C,85,39
2019-03-26T18:52:23,C,85,41
2019-03-26T19:02:54,C,85,39
2019-03-26T19:13:54,C,85,40
2019-03-26T19:21:54,C,85,42
2019-03-26T19:33:25,C,85,41
2019-03-26T19:42:25,C,85,42
2019-03-26T19:53:25,C,85,39
2019-03-26T20:02:27,C,85,40
2019-03-26T20:13:56,C,85,36
2019-03-26T20:22:58,C,85,39
2019-03-26T20:32:57,C,85,42
2019-03-26T20:42:57,C,85,38
2019-03-26T20:53:28,C,85,41
2019-03-26T21:03:27,C,85,40
2019-03-26T21:13:27,C,85,42
2019-03-26T21:22:27,C,85,43
2019-03-26T21:33:58,C,85,43
2019-03-26T21:42:58,C,85,44
2019-03-26T21:52:57,C,85,45
2019-03-26T22:02:28,C,85,46
2019-03-26T22:13:28,C,85,48
2019-03-26T22:23:28,C,85,47
2019-03-26T22:33:28,C,85,44
2019-03-26T22:43:58,C,85,44
2019-03-26T22:52:58,C,85,44
2019-03-26T23:02:57,C,85,44
2019-03-26T23:14:27,C,85,42
2019-03-26T23:24:27,C,85,42
