date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:45,C,158,53
2019-03-26T13:10:46,C,158,52
2019-03-26T13:20:45,C,158,36
2019-03-26T13:30:16,C,158,18
2019-03-26T13:40:16,C,158,39
2019-03-26T13:50:16,C,158,52
2019-03-26T14:00:16,C,158,53
2019-03-26T14:10:47,C,158,56
2019-03-26T14:20:48,C,158,52
2019-03-26T14:30:47,C,158,52
2019-03-26T14:40:19,C,158,51
2019-03-26T14:51:19,C,158,49
2019-03-26T15:00:18,C,158,50
2019-03-26T15:11:18,C,158,52
2019-03-26T15:20:49,C,158,51
2019-03-26T15:31:50,C,158,43
2019-03-26T15:40:49,C,158,52
2019-03-26T15:50:49,C,158,56
2019-03-26T16:00:20,C,158,56
2019-03-26T16:10:20,C,158,57
2019-03-26T16:21:20,C,158,60
2019-03-26T16:31:51,C,158,58
2019-03-26T16:41:51,C,158,56
2019-03-26T16:51:52,C,158,62
2019-03-26T17:00:52,C,158,62
2019-03-26T17:11:22,C,158,68
2019-03-26T17:21:25,C,158,69
2019-03-26T17:31:23,C,158,70
2019-03-26T17:41:23,C,158,81
2019-03-26T17:51:54,C,158,79
2019-03-26T18:11:54,C,158,73
2019-03-26T18:32:26,C,158,69
2019-03-26T18:42:25,C,158,66
2019-03-26T18:52:25,C,158,63
2019-03-26T19:02:55,C,158,64
2019-03-26T19:13:56,C,158,62
2019-03-26T19:21:56,C,158,62
2019-03-26T19:32:56,C,158,61
2019-03-26T19:42:27,C,158,58
2019-03-26T19:53:26,C,158,51
2019-03-26T20:02:30,C,158,52
2019-03-26T20:13:57,C,158,52
2019-03-26T20:22:59,C,158,51
2019-03-26T20:32:58,C,158,51
2019-03-26T20:42:58,C,158,50
2019-03-26T20:53:28,C,158,46
2019-03-26T21:03:28,C,158,41
2019-03-26T21:13:29,C,158,39
2019-03-26T21:22:29,C,158,37
2019-03-26T21:33:59,C,158,31
2019-03-26T21:42:59,C,158,32
2019-03-26T21:53:00,C,158,29
2019-03-26T22:02:01,C,158,26
2019-03-26T22:13:31,C,158,21
2019-03-26T22:23:31,C,158,20
2019-03-26T22:33:32,C,158,16
2019-03-26T22:44:02,C,158,14
2019-03-26T22:53:01,C,158,14
2019-03-26T23:03:02,C,158,13
2019-03-26T23:14:02,C,158,12
2019-03-26T23:24:33,C,158,13
2019-03-26T23:34:36,C,158,13
2019-03-26T23:44:33,C,158,13
2019-03-26T23:54:33,C,158,12
2019-03-27T00:05:04,C,158,11
2019-03-27T00:14:04,C,158,9
2019-03-27T00:22:04,C,158,8
2019-03-27T00:29:04,C,158,8
2019-03-27T00:43:35,C,158,6
2019-03-27T00:54:36,C,158,6
2019-03-27T01:04:35,C,158,6
2019-03-27T01:15:05,C,158,6
2019-03-27T01:25:06,C,158,6
2019-03-27T01:34:07,C,158,5
2019-03-27T01:44:06,C,158,5
2019-03-27T01:54:37,C,158,5
2019-03-27T02:04:37,C,158,5
2019-03-27T02:14:37,C,158,5
2019-03-27T02:24:37,C,158,5
2019-03-27T02:35:08,C,158,5
2019-03-27T02:44:08,C,158,4
2019-03-27T02:55:08,C,158,4
2019-03-27T03:15:39,C,158,3
2019-03-27T03:25:39,C,158,3
2019-03-27T03:34:39,C,158,3
2019-03-27T03:46:11,C,158,3
2019-03-27T03:55:10,C,158,2
2019-03-27T04:05:11,C,158,2
2019-03-27T04:14:10,C,158,2
2019-03-27T04:24:41,C,158,2
2019-03-27T04:35:42,C,158,2
2019-03-27T04:44:41,C,158,2
2019-03-27T04:56:12,C,158,2
2019-03-27T05:05:01,C,158,2
2019-03-27T05:15:30,C,158,2
2019-03-27T05:25:30,C,158,1
2019-03-27T05:35:31,C,158,1
2019-03-27T05:45:31,C,158,2
2019-03-27T05:56:01,C,158,2
2019-03-27T06:06:05,C,158,4
2019-03-27T06:16:01,C,158,4
2019-03-27T06:25:02,C,158,6
2019-03-27T06:35:32,C,158,6
2019-03-27T06:45:33,C,158,16
2019-03-27T06:55:33,C,158,22
2019-03-27T07:05:33,C,158,23
2019-03-27T07:17:04,C,158,33
2019-03-27T07:25:04,C,158,35
2019-03-27T07:35:05,C,158,47
2019-03-27T07:45:35,C,158,50
2019-03-27T07:55:36,C,158,54
2019-03-27T08:06:35,C,158,56
2019-03-27T08:15:36,C,158,61
2019-03-27T08:26:05,C,158,70
2019-03-27T08:37:05,C,158,71
2019-03-27T08:45:06,C,158,71
2019-03-27T08:55:07,C,158,72
2019-03-27T09:06:37,C,158,79
2019-03-27T09:16:37,C,158,81
2019-03-27T09:25:37,C,158,82
2019-03-27T09:37:07,C,158,81
2019-03-27T09:46:07,C,158,80
2019-03-27T09:56:08,C,158,74
2019-03-27T10:06:08,C,158,74
2019-03-27T10:16:38,C,158,69
2019-03-27T10:26:39,C,158,62
2019-03-27T10:35:39,C,158,57
2019-03-27T10:46:39,C,158,58
2019-03-27T10:57:10,C,158,57
2019-03-27T11:06:10,C,158,54
2019-03-27T11:16:10,C,158,52
2019-03-27T11:26:10,C,158,51
2019-03-27T11:36:40,C,158,54
2019-03-27T11:46:41,C,158,54
2019-03-27T11:57:42,C,158,51
2019-03-27T12:07:11,C,158,52
2019-03-27T12:17:13,C,158,57
2019-03-27T12:27:12,C,158,55
2019-03-27T12:36:12,C,158,50
2019-03-27T12:47:46,C,158,38
2019-03-27T12:56:43,C,158,26
2019-03-27T13:07:43,C,158,31
2019-03-27T13:16:43,C,158,59
2019-03-27T13:27:14,C,158,57
2019-03-27T13:36:14,C,158,54
2019-03-27T13:47:14,C,158,57
2019-03-27T13:56:15,C,158,59
2019-03-27T14:07:45,C,158,54
2019-03-27T14:16:45,C,158,48
2019-03-27T14:27:45,C,158,47
2019-03-27T14:38:16,C,158,50
2019-03-27T14:47:19,C,158,50
2019-03-27T14:56:16,C,158,49
2019-03-27T15:07:16,C,158,54
2019-03-27T15:17:47,C,158,53
2019-03-27T15:26:47,C,158,49
2019-03-27T15:37:47,C,158,47
2019-03-27T15:47:47,C,158,47
2019-03-27T15:57:18,C,158,48
