date,lot_type_0,lots_total_0,lots_available_0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
2019-03-25T16:41:32,C,85,0
