date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:40,C,410,297
2019-03-26T13:09:41,C,410,297
2019-03-26T13:20:41,C,410,293
2019-03-26T13:30:41,C,410,283
2019-03-26T13:40:41,C,410,287
2019-03-26T13:50:41,C,410,275
2019-03-26T14:00:41,C,410,267
2019-03-26T14:10:42,C,410,265
2019-03-26T14:20:42,C,410,263
2019-03-26T14:29:42,C,410,265
2019-03-26T14:40:42,C,410,259
2019-03-26T14:51:42,C,410,257
2019-03-26T15:00:42,C,410,253
2019-03-26T15:11:42,C,410,249
2019-03-26T15:20:43,C,410,244
2019-03-26T15:30:43,C,410,237
2019-03-26T15:39:43,C,410,229
2019-03-26T15:51:43,C,410,225
2019-03-26T16:00:43,C,410,219
2019-03-26T16:10:43,C,410,218
2019-03-26T16:21:43,C,410,217
2019-03-26T16:31:44,C,410,208
2019-03-26T16:41:44,C,410,202
2019-03-26T16:50:44,C,410,196
2019-03-26T17:01:44,C,410,198
2019-03-26T17:11:44,C,410,190
2019-03-26T17:21:44,C,410,190
2019-03-26T17:31:44,C,410,183
2019-03-26T17:41:45,C,410,177
2019-03-26T17:51:45,C,410,169
2019-03-26T18:12:45,C,410,141
2019-03-26T18:32:45,C,410,123
2019-03-26T18:42:46,C,410,113
2019-03-26T18:52:46,C,410,105
2019-03-26T19:02:46,C,410,89
2019-03-26T19:12:46,C,410,82
2019-03-26T19:21:46,C,410,70
2019-03-26T19:33:46,C,410,62
2019-03-26T19:42:46,C,410,50
2019-03-26T19:53:46,C,410,41
2019-03-26T20:02:47,C,410,40
2019-03-26T20:13:47,C,410,32
2019-03-26T20:21:47,C,410,20
2019-03-26T20:32:47,C,410,12
2019-03-26T20:43:47,C,410,7
2019-03-26T20:53:47,C,410,0
2019-03-26T21:03:48,C,410,0
2019-03-26T21:13:48,C,410,0
2019-03-26T21:22:48,C,410,0
2019-03-26T21:32:48,C,410,0
2019-03-26T21:42:48,C,410,0
2019-03-26T21:53:48,C,410,0
2019-03-26T22:02:48,C,410,0
2019-03-26T22:13:48,C,410,0
2019-03-26T22:23:49,C,410,0
2019-03-26T22:33:49,C,410,0
2019-03-26T22:43:49,C,410,0
2019-03-26T22:52:49,C,410,0
2019-03-26T23:02:49,C,410,0
2019-03-26T23:14:49,C,410,0
2019-03-26T23:24:50,C,410,0
2019-03-26T23:34:50,C,410,0
2019-03-26T23:44:50,C,410,0
2019-03-26T23:54:50,C,410,0
2019-03-27T00:03:50,C,410,0
2019-03-27T00:12:50,C,410,0
2019-03-27T00:22:50,C,410,0
2019-03-27T00:29:50,C,410,0
2019-03-27T00:43:51,C,410,0
2019-03-27T00:54:51,C,410,0
2019-03-27T01:04:51,C,410,0
2019-03-27T01:13:51,C,410,0
2019-03-27T01:23:51,C,410,0
2019-03-27T01:34:51,C,410,0
2019-03-27T01:44:52,C,410,0
2019-03-27T01:54:52,C,410,0
2019-03-27T02:04:52,C,410,0
2019-03-27T02:14:52,C,410,0
2019-03-27T02:23:52,C,410,0
2019-03-27T02:33:52,C,410,0
2019-03-27T02:43:52,C,410,0
2019-03-27T02:55:53,C,410,0
2019-03-27T03:15:30,C,410,0
2019-03-27T03:25:30,C,410,0
2019-03-27T03:35:30,C,410,410
2019-03-27T03:45:31,C,410,410
2019-03-27T03:55:31,C,410,410
2019-03-27T04:05:31,C,410,410
2019-03-27T04:14:31,C,410,410
2019-03-27T04:24:31,C,410,410
2019-03-27T04:35:31,C,410,409
2019-03-27T04:44:31,C,410,408
2019-03-27T04:55:32,C,410,406
2019-03-27T05:05:32,C,410,405
2019-03-27T05:15:32,C,410,404
2019-03-27T05:25:32,C,410,404
2019-03-27T05:35:32,C,410,403
2019-03-27T05:45:32,C,410,399
2019-03-27T05:55:33,C,410,400
2019-03-27T06:05:33,C,410,397
2019-03-27T06:15:33,C,410,400
2019-03-27T06:25:33,C,410,397
2019-03-27T06:35:33,C,410,396
2019-03-27T06:45:33,C,410,392
2019-03-27T06:55:33,C,410,392
2019-03-27T07:05:34,C,410,390
2019-03-27T07:16:34,C,410,385
2019-03-27T07:25:34,C,410,377
2019-03-27T07:35:34,C,410,375
2019-03-27T07:45:34,C,410,370
2019-03-27T07:55:34,C,410,372
2019-03-27T08:06:34,C,410,367
2019-03-27T08:15:35,C,410,363
2019-03-27T08:24:35,C,410,361
2019-03-27T08:36:35,C,410,362
2019-03-27T08:45:35,C,410,360
2019-03-27T08:55:35,C,410,354
2019-03-27T09:06:35,C,410,350
2019-03-27T09:16:35,C,410,347
2019-03-27T09:25:35,C,410,350
2019-03-27T09:36:36,C,410,349
2019-03-27T09:45:36,C,410,346
2019-03-27T09:56:36,C,410,347
2019-03-27T10:06:36,C,410,341
2019-03-27T10:16:36,C,410,337
2019-03-27T10:26:36,C,410,335
2019-03-27T10:35:36,C,410,337
2019-03-27T10:46:37,C,410,332
2019-03-27T10:56:37,C,410,332
2019-03-27T11:06:37,C,410,331
2019-03-27T11:16:37,C,410,327
2019-03-27T11:26:37,C,410,324
2019-03-27T11:36:37,C,410,321
2019-03-27T11:46:38,C,410,315
2019-03-27T11:57:38,C,410,317
2019-03-27T12:05:38,C,410,312
2019-03-27T12:17:38,C,410,310
2019-03-27T12:27:38,C,410,308
2019-03-27T12:36:38,C,410,301
2019-03-27T12:47:38,C,410,300
2019-03-27T12:56:39,C,410,302
2019-03-27T13:07:39,C,410,298
2019-03-27T13:15:39,C,410,298
2019-03-27T13:27:39,C,410,291
2019-03-27T13:36:39,C,410,292
2019-03-27T13:47:39,C,410,285
2019-03-27T13:56:39,C,410,282
2019-03-27T14:07:40,C,410,274
2019-03-27T14:16:40,C,410,269
2019-03-27T14:26:40,C,410,271
2019-03-27T14:37:40,C,410,269
2019-03-27T14:47:40,C,410,262
2019-03-27T14:56:40,C,410,258
2019-03-27T15:07:40,C,410,257
2019-03-27T15:17:41,C,410,255
2019-03-27T15:26:41,C,410,248
2019-03-27T15:37:41,C,410,244
2019-03-27T15:46:41,C,410,241
2019-03-27T15:57:41,C,410,235
2019-03-27T16:07:41,C,410,235
2019-03-27T16:17:41,C,410,234
2019-03-27T16:28:42,C,410,224
2019-03-27T16:38:42,C,410,223
2019-03-27T16:48:42,C,410,216
2019-03-27T16:57:42,C,410,210
2019-03-27T17:08:42,C,410,202
2019-03-27T17:18:42,C,410,194
2019-03-27T17:27:42,C,410,193
2019-03-27T17:38:43,C,410,182
2019-03-27T17:47:43,C,410,175
2019-03-27T17:57:43,C,410,166
2019-03-27T18:07:43,C,410,158
2019-03-27T18:17:43,C,410,148
2019-03-27T18:27:43,C,410,134
2019-03-27T18:37:43,C,410,129
2019-03-27T18:48:44,C,410,115
2019-03-27T18:58:44,C,410,107
2019-03-27T19:08:44,C,410,89
2019-03-27T19:17:44,C,410,76
2019-03-27T19:27:44,C,410,74
2019-03-27T19:38:44,C,410,69
2019-03-27T19:48:45,C,410,56
2019-03-27T19:58:45,C,410,44
2019-03-27T20:08:45,C,410,44
2019-03-27T20:19:45,C,410,33
2019-03-27T20:29:45,C,410,31
2019-03-27T20:37:45,C,410,25
2019-03-27T20:48:45,C,410,26
2019-03-27T20:58:46,C,410,24
2019-03-27T21:08:46,C,410,19
2019-03-27T21:18:46,C,410,6
2019-03-27T21:28:46,C,410,0
2019-03-27T21:38:46,C,410,0
2019-03-27T21:47:46,C,410,0
2019-03-27T21:59:46,C,410,0
2019-03-27T22:08:47,C,410,0
2019-03-27T22:18:47,C,410,0
2019-03-27T22:29:47,C,410,0
2019-03-27T22:39:47,C,410,0
2019-03-27T22:48:47,C,410,0
2019-03-27T22:58:47,C,410,0
2019-03-27T23:08:47,C,410,0
2019-03-27T23:19:48,C,410,0
2019-03-27T23:28:48,C,410,0
2019-03-27T23:39:48,C,410,0
2019-03-27T23:49:48,C,410,0
2019-03-27T23:59:48,C,410,0
2019-03-28T00:08:48,C,410,0
2019-03-28T00:18:48,C,410,0
2019-03-28T00:29:49,C,410,0
2019-03-28T00:39:49,C,410,0
2019-03-28T00:49:49,C,410,0
2019-03-28T00:59:49,C,410,0
2019-03-28T01:10:49,C,410,0
2019-03-28T01:19:49,C,410,0
2019-03-28T01:29:49,C,410,0
2019-03-28T01:39:50,C,410,0
