date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:01:22,C,4,0
2019-03-26T13:10:22,C,4,1
2019-03-26T13:20:22,C,4,2
2019-03-26T13:30:22,C,4,0
2019-03-26T13:40:23,C,4,1
2019-03-26T13:50:23,C,4,2
2019-03-26T14:00:23,C,4,0
2019-03-26T14:11:23,C,4,1
2019-03-26T14:21:23,C,4,2
2019-03-26T14:30:23,C,4,2
2019-03-26T14:40:23,C,4,0
2019-03-26T14:51:24,C,4,0
2019-03-26T15:00:24,C,4,0
2019-03-26T15:11:24,C,4,0
2019-03-26T15:20:24,C,4,0
2019-03-26T15:31:24,C,4,0
2019-03-26T15:40:24,C,4,0
2019-03-26T15:51:24,C,4,0
2019-03-26T16:00:25,C,4,2
2019-03-26T16:10:25,C,4,3
2019-03-26T16:21:25,C,4,4
2019-03-26T16:31:25,C,4,2
2019-03-26T16:42:25,C,4,0
2019-03-26T16:51:25,C,4,0
2019-03-26T17:01:25,C,4,0
2019-03-26T17:11:26,C,4,0
2019-03-26T17:21:26,C,4,0
2019-03-26T17:31:26,C,4,0
2019-03-26T17:41:26,C,4,0
2019-03-26T17:52:26,C,4,0
2019-03-26T18:12:26,C,4,0
2019-03-26T18:32:27,C,4,0
2019-03-26T18:42:27,C,4,0
2019-03-26T18:52:27,C,4,0
2019-03-26T19:03:27,C,4,1
2019-03-26T19:13:27,C,4,0
2019-03-26T19:22:27,C,4,0
2019-03-26T19:33:28,C,4,0
2019-03-26T19:42:28,C,4,0
2019-03-26T19:53:28,C,4,0
2019-03-26T20:02:28,C,4,0
2019-03-26T20:13:28,C,4,0
2019-03-26T20:22:28,C,4,0
2019-03-26T20:33:28,C,4,0
2019-03-26T20:43:28,C,4,0
2019-03-26T20:53:29,C,4,0
2019-03-26T21:03:29,C,4,0
2019-03-26T21:13:29,C,4,0
2019-03-26T21:22:29,C,4,0
2019-03-26T21:33:29,C,4,0
2019-03-26T21:43:29,C,4,0
2019-03-26T21:53:29,C,4,0
2019-03-26T22:02:30,C,4,0
2019-03-26T22:13:30,C,4,0
2019-03-26T22:23:30,C,4,0
2019-03-26T22:33:30,C,4,0
2019-03-26T22:44:30,C,4,0
2019-03-26T22:53:30,C,4,0
2019-03-26T23:03:30,C,4,0
2019-03-26T23:14:31,C,4,1
2019-03-26T23:24:31,C,4,1
2019-03-26T23:34:31,C,4,0
2019-03-26T23:44:31,C,4,2
2019-03-26T23:54:31,C,4,2
2019-03-27T00:04:31,C,4,2
2019-03-27T00:13:31,C,4,0
2019-03-27T00:22:31,C,4,0
2019-03-27T00:29:32,C,4,1
2019-03-27T00:43:32,C,4,1
2019-03-27T00:54:32,C,4,1
2019-03-27T01:04:32,C,4,2
2019-03-27T01:14:32,C,4,1
2019-03-27T01:24:32,C,4,2
2019-03-27T01:34:33,C,4,3
2019-03-27T01:44:33,C,4,3
2019-03-27T01:54:33,C,4,3
2019-03-27T02:04:33,C,4,3
2019-03-27T02:14:33,C,4,3
2019-03-27T02:24:33,C,4,4
2019-03-27T02:34:33,C,4,4
2019-03-27T02:44:34,C,4,4
2019-03-27T02:55:34,C,4,4
2019-03-27T03:16:15,C,4,4
2019-03-27T03:26:15,C,4,4
