date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:43,C,566,251
2019-03-26T13:09:43,C,566,254
2019-03-26T13:20:43,C,566,256
2019-03-26T13:30:43,C,566,243
2019-03-26T13:40:43,C,566,240
2019-03-26T13:50:44,C,566,248
2019-03-26T14:00:44,C,566,249
2019-03-26T14:10:44,C,566,250
2019-03-26T14:20:44,C,566,252
2019-03-26T14:29:44,C,566,252
2019-03-26T14:40:44,C,566,252
2019-03-26T14:51:44,C,566,254
2019-03-26T15:00:45,C,566,254
2019-03-26T15:11:45,C,566,253
2019-03-26T15:20:45,C,566,253
2019-03-26T15:30:45,C,566,254
2019-03-26T15:39:45,C,566,253
2019-03-26T15:51:45,C,566,256
2019-03-26T16:00:45,C,566,254
2019-03-26T16:10:45,C,566,256
2019-03-26T16:21:46,C,566,250
2019-03-26T16:31:46,C,566,246
2019-03-26T16:41:46,C,566,240
2019-03-26T16:50:46,C,566,239
2019-03-26T17:01:46,C,566,237
2019-03-26T17:11:46,C,566,235
2019-03-26T17:21:46,C,566,235
2019-03-26T17:31:47,C,566,232
2019-03-26T17:41:47,C,566,230
2019-03-26T17:51:47,C,566,221
2019-03-26T18:11:47,C,566,212
2019-03-26T18:32:47,C,566,204
2019-03-26T18:42:48,C,566,198
2019-03-26T18:52:48,C,566,192
2019-03-26T19:02:48,C,566,195
2019-03-26T19:12:48,C,566,190
2019-03-26T19:21:48,C,566,187
2019-03-26T19:33:48,C,566,185
2019-03-26T19:42:48,C,566,180
2019-03-26T19:53:48,C,566,177
2019-03-26T20:02:49,C,566,175
2019-03-26T20:13:49,C,566,172
2019-03-26T20:21:49,C,566,172
2019-03-26T20:32:49,C,566,165
2019-03-26T20:43:49,C,566,160
2019-03-26T20:53:49,C,566,151
2019-03-26T21:03:49,C,566,149
2019-03-26T21:13:50,C,566,147
2019-03-26T21:22:50,C,566,150
2019-03-26T21:32:50,C,566,140
2019-03-26T21:42:50,C,566,137
2019-03-26T21:52:50,C,566,131
2019-03-26T22:02:50,C,566,122
2019-03-26T22:13:50,C,566,116
2019-03-26T22:23:50,C,566,109
2019-03-26T22:33:51,C,566,107
2019-03-26T22:43:51,C,566,102
2019-03-26T22:52:51,C,566,102
2019-03-26T23:02:51,C,566,97
2019-03-26T23:14:51,C,566,93
2019-03-26T23:24:51,C,566,89
2019-03-26T23:34:51,C,566,90
2019-03-26T23:44:52,C,566,85
2019-03-26T23:54:52,C,566,83
2019-03-27T00:03:52,C,566,82
2019-03-27T00:12:52,C,566,83
2019-03-27T00:22:52,C,566,80
2019-03-27T00:29:52,C,566,80
2019-03-27T00:43:52,C,566,79
2019-03-27T00:54:53,C,566,77
2019-03-27T01:04:53,C,566,76
2019-03-27T01:13:53,C,566,73
2019-03-27T01:23:53,C,566,71
2019-03-27T01:33:53,C,566,70
2019-03-27T01:44:53,C,566,71
2019-03-27T01:54:53,C,566,69
2019-03-27T02:04:53,C,566,69
2019-03-27T02:14:54,C,566,69
2019-03-27T02:23:54,C,566,69
2019-03-27T02:33:54,C,566,68
2019-03-27T02:43:54,C,566,68
2019-03-27T02:55:54,C,566,68
2019-03-27T03:15:38,C,566,67
2019-03-27T03:25:38,C,566,66
2019-03-27T03:33:38,C,566,73
2019-03-27T03:45:38,C,566,72
2019-03-27T03:55:38,C,566,71
2019-03-27T04:05:38,C,566,70
2019-03-27T04:14:38,C,566,67
2019-03-27T04:24:38,C,566,67
2019-03-27T04:35:39,C,566,67
2019-03-27T04:44:39,C,566,66
2019-03-27T04:54:39,C,566,67
2019-03-27T05:05:39,C,566,68
2019-03-27T05:15:39,C,566,69
2019-03-27T05:25:39,C,566,71
2019-03-27T05:35:39,C,566,73
2019-03-27T05:45:40,C,566,73
2019-03-27T05:55:40,C,566,75
2019-03-27T06:04:40,C,566,77
2019-03-27T06:15:40,C,566,82
2019-03-27T06:25:40,C,566,87
2019-03-27T06:35:40,C,566,93
2019-03-27T06:45:40,C,566,106
2019-03-27T06:55:40,C,566,114
2019-03-27T07:05:41,C,566,125
2019-03-27T07:15:41,C,566,134
2019-03-27T07:25:41,C,566,146
2019-03-27T07:35:41,C,566,152
2019-03-27T07:45:41,C,566,159
2019-03-27T07:55:41,C,566,175
2019-03-27T08:06:41,C,566,186
2019-03-27T08:15:42,C,566,193
2019-03-27T08:24:42,C,566,195
2019-03-27T08:35:42,C,566,206
2019-03-27T08:45:42,C,566,213
2019-03-27T08:55:42,C,566,219
2019-03-27T09:06:42,C,566,223
2019-03-27T09:16:42,C,566,232
2019-03-27T09:25:43,C,566,233
2019-03-27T09:36:43,C,566,233
2019-03-27T09:44:43,C,566,232
2019-03-27T09:56:43,C,566,235
2019-03-27T10:06:43,C,566,237
2019-03-27T10:16:43,C,566,244
2019-03-27T10:26:43,C,566,247
2019-03-27T10:35:43,C,566,250
2019-03-27T10:46:44,C,566,252
2019-03-27T10:55:44,C,566,252
2019-03-27T11:06:44,C,566,248
2019-03-27T11:16:44,C,566,255
2019-03-27T11:26:44,C,566,259
2019-03-27T11:36:44,C,566,259
2019-03-27T11:46:44,C,566,261
2019-03-27T11:57:45,C,566,262
2019-03-27T12:05:45,C,566,263
2019-03-27T12:17:45,C,566,262
2019-03-27T12:27:45,C,566,261
2019-03-27T12:36:45,C,566,261
2019-03-27T12:47:45,C,566,260
2019-03-27T12:56:45,C,566,257
2019-03-27T13:07:45,C,566,257
2019-03-27T13:15:46,C,566,260
2019-03-27T13:26:46,C,566,259
2019-03-27T13:36:46,C,566,250
2019-03-27T13:47:46,C,566,252
2019-03-27T13:56:46,C,566,251
2019-03-27T14:07:46,C,566,253
2019-03-27T14:16:46,C,566,257
2019-03-27T14:26:47,C,566,253
2019-03-27T14:36:47,C,566,253
2019-03-27T14:47:47,C,566,252
2019-03-27T14:56:47,C,566,251
2019-03-27T15:07:47,C,566,251
2019-03-27T15:17:47,C,566,248
2019-03-27T15:26:47,C,566,245
2019-03-27T15:37:48,C,566,249
2019-03-27T15:46:48,C,566,246
2019-03-27T15:56:48,C,566,246
2019-03-27T16:07:48,C,566,246
2019-03-27T16:17:48,C,566,240
2019-03-27T16:28:48,C,566,237
2019-03-27T16:38:48,C,566,234
2019-03-27T16:48:49,C,566,233
2019-03-27T16:57:49,C,566,236
2019-03-27T17:07:49,C,566,238
2019-03-27T17:18:49,C,566,232
2019-03-27T17:27:49,C,566,231
2019-03-27T17:38:49,C,566,230
2019-03-27T17:47:49,C,566,225
2019-03-27T17:57:49,C,566,223
2019-03-27T18:07:50,C,566,219
2019-03-27T18:16:50,C,566,217
2019-03-27T18:27:50,C,566,212
2019-03-27T18:37:50,C,566,206
2019-03-27T18:48:50,C,566,205
2019-03-27T18:58:50,C,566,194
2019-03-27T19:08:50,C,566,184
2019-03-27T19:17:51,C,566,179
2019-03-27T19:27:51,C,566,175
2019-03-27T19:37:51,C,566,170
2019-03-27T19:48:51,C,566,164
2019-03-27T19:58:51,C,566,159
2019-03-27T20:08:51,C,566,153
2019-03-27T20:19:51,C,566,148
2019-03-27T20:29:51,C,566,147
2019-03-27T20:37:52,C,566,140
2019-03-27T20:47:52,C,566,138
2019-03-27T20:58:52,C,566,138
2019-03-27T21:08:52,C,566,133
2019-03-27T21:18:52,C,566,127
2019-03-27T21:28:52,C,566,123
2019-03-27T21:38:52,C,566,120
2019-03-27T21:47:53,C,566,118
2019-03-27T21:58:53,C,566,120
2019-03-27T22:08:53,C,566,114
2019-03-27T22:18:53,C,566,111
2019-03-27T22:29:53,C,566,103
2019-03-27T22:39:53,C,566,103
2019-03-27T22:48:53,C,566,99
2019-03-27T22:58:53,C,566,96
2019-03-27T23:08:54,C,566,95
2019-03-27T23:18:54,C,566,94
2019-03-27T23:28:54,C,566,93
2019-03-27T23:39:54,C,566,90
2019-03-27T23:49:54,C,566,92
2019-03-27T23:59:54,C,566,89
2019-03-28T00:08:54,C,566,88
2019-03-28T00:18:55,C,566,86
