date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:48,C,21,9
2019-03-26T13:10:48,C,21,9
2019-03-26T13:20:49,C,21,11
2019-03-26T13:30:17,C,21,11
2019-03-26T13:40:20,C,21,12
2019-03-26T13:50:19,C,21,11
2019-03-26T14:00:18,C,21,12
2019-03-26T14:10:50,C,21,8
2019-03-26T14:20:52,C,21,8
2019-03-26T14:29:50,C,21,8
2019-03-26T14:40:19,C,21,9
2019-03-26T14:51:22,C,21,9
2019-03-26T15:00:21,C,21,9
2019-03-26T15:11:50,C,21,10
2019-03-26T15:20:51,C,21,11
2019-03-26T15:30:51,C,21,12
2019-03-26T15:40:22,C,21,9
2019-03-26T15:51:21,C,21,10
2019-03-26T16:00:23,C,21,11
2019-03-26T16:10:53,C,21,13
2019-03-26T16:21:53,C,21,14
2019-03-26T16:30:54,C,21,15
2019-03-26T16:40:57,C,21,15
2019-03-26T16:51:23,C,21,15
2019-03-26T17:01:26,C,21,14
2019-03-26T17:11:25,C,21,14
2019-03-26T17:21:55,C,21,15
2019-03-26T17:30:57,C,21,14
2019-03-26T17:40:56,C,21,15
2019-03-26T17:51:26,C,21,15
2019-03-26T18:12:27,C,21,16
2019-03-26T18:32:57,C,21,15
2019-03-26T18:41:59,C,21,14
2019-03-26T18:52:02,C,21,14
2019-03-26T19:02:29,C,21,13
2019-03-26T19:13:30,C,21,13
2019-03-26T19:22:29,C,21,12
2019-03-26T19:32:58,C,21,12
2019-03-26T19:42:01,C,21,12
2019-03-26T19:53:01,C,21,13
2019-03-26T20:02:30,C,21,13
2019-03-26T20:12:31,C,21,12
2019-03-26T20:22:03,C,21,9
2019-03-26T20:33:03,C,21,10
2019-03-26T20:43:01,C,21,11
2019-03-26T20:53:33,C,21,12
2019-03-26T21:03:32,C,21,11
2019-03-26T21:12:33,C,21,11
2019-03-26T21:22:02,C,21,11
2019-03-26T21:33:04,C,21,12
2019-03-26T21:43:34,C,21,11
2019-03-26T21:53:32,C,21,9
2019-03-26T22:02:34,C,21,10
2019-03-26T22:12:32,C,21,10
2019-03-26T22:24:03,C,21,10
2019-03-26T22:33:03,C,21,11
2019-03-26T22:43:07,C,21,9
2019-03-26T22:53:35,C,21,9
2019-03-26T23:03:35,C,21,7
2019-03-26T23:14:05,C,21,7
2019-03-26T23:24:05,C,21,7
2019-03-26T23:34:05,C,21,6
2019-03-26T23:44:36,C,21,6
2019-03-26T23:54:36,C,21,6
2019-03-27T00:04:35,C,21,6
2019-03-27T00:14:05,C,21,5
2019-03-27T00:23:06,C,21,6
