date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:32,C,148,90
2019-03-26T13:10:32,C,148,90
2019-03-26T13:21:03,C,148,91
2019-03-26T13:30:02,C,148,96
2019-03-26T13:40:03,C,148,103
2019-03-26T13:50:33,C,148,96
2019-03-26T14:00:34,C,148,102
2019-03-26T14:10:33,C,148,103
2019-03-26T14:21:04,C,148,104
2019-03-26T14:30:04,C,148,109
2019-03-26T14:40:04,C,148,114
2019-03-26T14:51:06,C,148,116
2019-03-26T15:00:36,C,148,115
2019-03-26T15:11:35,C,148,116
2019-03-26T15:20:36,C,148,117
2019-03-26T15:31:12,C,148,114
2019-03-26T15:40:07,C,148,117
2019-03-26T15:51:10,C,148,112
2019-03-26T16:00:37,C,148,109
2019-03-26T16:10:38,C,148,114
2019-03-26T16:21:38,C,148,116
2019-03-26T16:31:08,C,148,121
2019-03-26T16:41:09,C,148,118
2019-03-26T16:51:08,C,148,110
2019-03-26T17:01:38,C,148,116
2019-03-26T17:11:42,C,148,121
2019-03-26T17:21:40,C,148,119
2019-03-26T17:30:40,C,148,118
2019-03-26T17:41:11,C,148,117
2019-03-26T17:51:10,C,148,117
2019-03-26T18:12:41,C,148,119
2019-03-26T18:32:44,C,148,125
2019-03-26T18:42:12,C,148,125
2019-03-26T18:52:13,C,148,120
2019-03-26T19:02:13,C,148,120
2019-03-26T19:13:43,C,148,117
2019-03-26T19:22:44,C,148,121
2019-03-26T19:32:44,C,148,119
2019-03-26T19:42:13,C,148,120
2019-03-26T19:53:15,C,148,119
2019-03-26T20:01:46,C,148,117
2019-03-26T20:12:46,C,148,116
2019-03-26T20:21:45,C,148,117
2019-03-26T20:32:45,C,148,119
2019-03-26T20:43:16,C,148,117
2019-03-26T20:53:17,C,148,120
2019-03-26T21:03:46,C,148,122
2019-03-26T21:12:47,C,148,121
2019-03-26T21:21:47,C,148,122
2019-03-26T21:32:48,C,148,123
2019-03-26T21:43:18,C,148,123
2019-03-26T21:53:17,C,148,128
2019-03-26T22:02:19,C,148,127
2019-03-26T22:12:50,C,148,127
2019-03-26T22:23:48,C,148,128
2019-03-26T22:32:48,C,148,129
2019-03-26T22:43:19,C,148,128
2019-03-26T22:53:20,C,148,128
2019-03-26T23:03:49,C,148,128
2019-03-26T23:13:49,C,148,129
2019-03-26T23:23:50,C,148,130
2019-03-26T23:34:20,C,148,130
2019-03-26T23:44:20,C,148,129
2019-03-26T23:54:21,C,148,128
2019-03-27T00:04:50,C,148,127
2019-03-27T00:13:51,C,148,126
2019-03-27T00:22:51,C,148,127
2019-03-27T00:29:52,C,148,127
2019-03-27T00:43:22,C,148,127
2019-03-27T00:54:22,C,148,128
2019-03-27T01:04:26,C,148,128
2019-03-27T01:14:52,C,148,128
2019-03-27T01:24:53,C,148,125
2019-03-27T01:34:53,C,148,126
2019-03-27T01:44:54,C,148,126
2019-03-27T01:54:24,C,148,127
2019-03-27T02:04:24,C,148,127
2019-03-27T02:14:24,C,148,127
2019-03-27T02:24:55,C,148,128
2019-03-27T02:34:55,C,148,126
2019-03-27T02:44:55,C,148,127
2019-03-27T02:55:55,C,148,127
2019-03-27T03:15:26,C,148,128
2019-03-27T03:25:27,C,148,128
2019-03-27T03:34:28,C,148,128
2019-03-27T03:45:58,C,148,126
2019-03-27T03:55:57,C,148,127
2019-03-27T04:05:58,C,148,130
2019-03-27T04:13:58,C,148,129
2019-03-27T04:24:29,C,148,129
2019-03-27T04:35:29,C,148,129
2019-03-27T04:44:29,C,148,130
2019-03-27T04:55:59,C,148,130
2019-03-27T05:05:41,C,148,131
2019-03-27T05:16:11,C,148,129
2019-03-27T05:25:12,C,148,131
2019-03-27T05:35:12,C,148,128
2019-03-27T05:45:42,C,148,129
2019-03-27T05:55:43,C,148,126
2019-03-27T06:05:43,C,148,129
2019-03-27T06:15:44,C,148,129
2019-03-27T06:26:14,C,148,126
2019-03-27T06:35:14,C,148,129
2019-03-27T06:45:15,C,148,127
2019-03-27T06:55:14,C,148,121
2019-03-27T07:05:44,C,148,113
2019-03-27T07:16:45,C,148,99
2019-03-27T07:25:44,C,148,98
2019-03-27T07:36:15,C,148,92
2019-03-27T07:45:15,C,148,87
2019-03-27T07:55:16,C,148,64
2019-03-27T08:06:16,C,148,58
2019-03-27T08:15:46,C,148,61
2019-03-27T08:25:46,C,148,62
2019-03-27T08:36:47,C,148,55
2019-03-27T08:44:47,C,148,52
2019-03-27T08:55:21,C,148,47
2019-03-27T09:06:18,C,148,47
2019-03-27T09:16:18,C,148,39
2019-03-27T09:25:48,C,148,30
2019-03-27T09:36:48,C,148,28
2019-03-27T09:45:48,C,148,20
2019-03-27T09:56:19,C,148,14
2019-03-27T10:06:19,C,148,18
2019-03-27T10:16:19,C,148,14
2019-03-27T10:26:20,C,148,11
2019-03-27T10:35:50,C,148,11
2019-03-27T10:46:50,C,148,16
2019-03-27T10:56:50,C,148,20
2019-03-27T11:05:51,C,148,23
2019-03-27T11:16:21,C,148,20
2019-03-27T11:26:21,C,148,26
2019-03-27T11:36:21,C,148,30
2019-03-27T11:46:22,C,148,31
2019-03-27T11:57:52,C,148,42
2019-03-27T12:06:53,C,148,46
2019-03-27T12:16:53,C,148,43
2019-03-27T12:27:25,C,148,49
2019-03-27T12:36:23,C,148,57
2019-03-27T12:47:23,C,148,57
2019-03-27T12:56:23,C,148,57
2019-03-27T13:07:54,C,148,65
2019-03-27T13:16:54,C,148,69
2019-03-27T13:27:55,C,148,69
2019-03-27T13:35:54,C,148,68
2019-03-27T13:47:25,C,148,69
2019-03-27T13:56:25,C,148,70
2019-03-27T14:07:26,C,148,71
2019-03-27T14:16:56,C,148,75
2019-03-27T14:27:56,C,148,81
2019-03-27T14:37:56,C,148,83
2019-03-27T14:46:57,C,148,86
2019-03-27T14:56:27,C,148,87
2019-03-27T15:07:27,C,148,91
2019-03-27T15:17:27,C,148,95
2019-03-27T15:26:28,C,148,84
2019-03-27T15:37:58,C,148,85
2019-03-27T15:47:58,C,148,83
2019-03-27T15:57:01,C,148,93
2019-03-27T16:06:59,C,148,90
2019-03-27T16:17:30,C,148,92
2019-03-27T16:28:30,C,148,92
2019-03-27T16:38:31,C,148,99
2019-03-27T16:49:01,C,148,106
2019-03-27T16:59:01,C,148,107
2019-03-27T17:08:02,C,148,108
2019-03-27T17:18:02,C,148,108
2019-03-27T17:27:32,C,148,109
2019-03-27T17:38:33,C,148,107
2019-03-27T17:47:33,C,148,106
2019-03-27T17:57:33,C,148,108
2019-03-27T18:09:04,C,148,109
2019-03-27T18:18:05,C,148,110
2019-03-27T18:27:04,C,148,114
2019-03-27T18:37:04,C,148,109
2019-03-27T18:48:35,C,148,104
2019-03-27T18:58:35,C,148,105
2019-03-27T19:08:35,C,148,101
2019-03-27T19:19:07,C,148,98
2019-03-27T19:29:06,C,148,101
2019-03-27T19:38:06,C,148,91
2019-03-27T19:48:06,C,148,93
2019-03-27T19:58:37,C,148,93
2019-03-27T20:08:37,C,148,95
2019-03-27T20:19:37,C,148,93
2019-03-27T20:30:08,C,148,98
2019-03-27T20:39:08,C,148,98
2019-03-27T20:48:08,C,148,95
2019-03-27T20:58:09,C,148,99
2019-03-27T21:08:39,C,148,100
2019-03-27T21:18:39,C,148,98
2019-03-27T21:28:40,C,148,102
2019-03-27T21:38:40,C,148,100
2019-03-27T21:49:13,C,148,101
2019-03-27T21:59:10,C,148,100
2019-03-27T22:08:10,C,148,101
2019-03-27T22:18:11,C,148,102
2019-03-27T22:29:42,C,148,103
2019-03-27T22:39:42,C,148,109
2019-03-27T22:48:42,C,148,109
2019-03-27T23:00:12,C,148,115
2019-03-27T23:09:12,C,148,122
2019-03-27T23:19:13,C,148,126
2019-03-27T23:28:13,C,148,127
2019-03-27T23:39:43,C,148,128
2019-03-27T23:49:43,C,148,128
2019-03-27T23:59:44,C,148,128
2019-03-28T00:09:44,C,148,128
