date,lot_type_0,lots_total_0,lots_available_0
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
2017-03-31T12:00:21,C,320,181
