date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:19,C,474,419
2019-03-26T13:09:56,C,474,419
2019-03-26T13:18:34,C,474,417
2019-03-26T13:29:56,C,474,418
2019-03-26T13:38:33,C,474,421
2019-03-26T13:49:56,C,474,422
2019-03-26T14:00:35,C,474,420
2019-03-26T14:09:56,C,474,419
2019-03-26T14:18:32,C,474,421
2019-03-26T14:30:01,C,474,420
2019-03-26T14:37:56,C,474,422
2019-03-26T14:51:52,C,474,421
2019-03-26T14:58:44,C,474,418
2019-03-26T15:11:21,C,474,415
2019-03-26T15:19:06,C,474,414
2019-03-26T15:31:55,C,474,410
2019-03-26T15:38:45,C,474,411
2019-03-26T15:51:08,C,474,413
2019-03-26T15:58:10,C,474,412
2019-03-26T16:09:56,C,474,411
2019-03-26T16:21:22,C,474,410
2019-03-26T16:31:55,C,474,409
2019-03-26T16:38:22,C,474,405
2019-03-26T16:51:25,C,474,408
2019-03-26T17:01:57,C,474,409
2019-03-26T17:10:27,C,474,409
2019-03-26T17:18:11,C,474,407
2019-03-26T17:29:57,C,474,408
2019-03-26T17:41:06,C,474,415
2019-03-26T17:51:13,C,474,418
2019-03-26T18:12:11,C,474,413
2019-03-26T18:30:48,C,474,405
2019-03-26T18:41:57,C,474,397
2019-03-26T18:52:24,C,474,387
2019-03-26T19:01:57,C,474,383
2019-03-26T19:12:52,C,474,377
2019-03-26T19:21:57,C,474,370
2019-03-26T19:32:09,C,474,367
2019-03-26T19:41:57,C,474,367
2019-03-26T19:52:17,C,474,367
2019-03-26T20:01:57,C,474,364
2019-03-26T20:12:52,C,474,357
2019-03-26T20:22:29,C,474,348
2019-03-26T20:32:56,C,474,342
2019-03-26T20:42:27,C,474,336
2019-03-26T20:53:07,C,474,329
2019-03-26T21:03:06,C,474,325
2019-03-26T21:13:09,C,474,326
2019-03-26T21:19:45,C,474,324
2019-03-26T21:29:57,C,474,319
2019-03-26T21:41:57,C,474,315
2019-03-26T21:51:54,C,474,311
2019-03-26T22:01:57,C,474,305
2019-03-26T22:13:57,C,474,297
2019-03-26T22:22:38,C,474,296
2019-03-26T22:33:30,C,474,293
2019-03-26T22:41:57,C,474,291
2019-03-26T22:51:06,C,474,292
