date,lot_type_0,lots_total_0,lots_available_0
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
2016-02-25T22:52:35,C,8,8
